"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабурін
Олексій
Олексійович","Богуслаєв
Вячеслав
Олександрович","Кващук
Ігор
Святославович","Книш
Тімур
Станіславович","Мудраченко
Олександр
Сергійович","Охріменко
Андрій
Вячеславович","Дата підписання протоколу"
"230809","77","Запорізька область","школа №76, фойє
просп.Леніна, 154Г, м.Запоріжжя, 69095","2328","1200","2302","28","1109","19","1128","","0","1109","19","1128","37","1091","259","400","36","170","36","190","29.10.12"
"230810","77","Запорізька область","Державне підприємство ""Державний проектний інститут ""Запоріжцивільпроект"", фойє
пл.Пушкіна, 4, м.Запоріжжя, 69095","2272","950","2268","65","1263","59","1322","","0","1263","59","1322","53","1269","312","465","37","215","47","193","29.10.12"
"230812","77","Запорізька область","академічний ліцей, фойє
вул.Гоголя, 155, м.Запоріжжя, 69095","2256","853","2237","52","1358","45","1403","","0","1358","45","1403","65","1338","304","500","36","212","58","228","29.10.12"
"230813","77","Запорізька область","Запорізьке обласне управління водних ресурсів, фойє
просп.Леніна, 105, м.Запоріжжя, 69095","2352","1143","2355","40","1176","33","1209","","0","1176","33","1209","54","1155","256","426","30","171","54","218","29.10.12"
"230815","77","Запорізька область","торговий коледж, актова зала
вул.Героїв Сталінграду, 1, м.Запоріжжя, 69095","2392","1015","2365","28","1356","21","1377","","0","1356","21","1377","46","1331","256","636","30","170","56","183","29.10.12"
"230816","77","Запорізька область","коледж радіоелектроніки, фойє
просп.Леніна, 117, м.Запоріжжя, 69095","2376","1096","2380","35","1254","26","1280","","0","1253","26","1279","48","1231","236","475","44","218","38","220","29.10.12"
"230817","77","Запорізька область","колегіум №98, фойє
вул.Запорізька, 1А, м.Запоріжжя, 69095","2256","979","2215","25","1255","22","1277","","0","1255","22","1277","63","1214","288","440","37","190","55","204","29.10.12"
"230818","77","Запорізька область","колегіум №98, фойє
вул.Запорізька, 1А, м.Запоріжжя, 69095","2360","898","2336","52","1419","43","1462","","0","1419","43","1462","71","1391","321","533","39","203","46","249","29.10.12"
"230819","77","Запорізька область","колегіум №98, спортивний зал
вул.Запорізька, 1А, м.Запоріжжя, 69095","2296","863","2290","29","1409","24","1433","","0","1409","24","1433","64","1369","305","482","39","207","52","284","29.10.12"
"231061","77","Запорізька область","школа №53, актова зала, 2-й поверх
вул.Шевченка, 123, м.Запоріжжя, 69039","1968","998","1965","19","951","19","970","","0","951","19","970","44","926","143","427","19","140","43","154","29.10.12"
"231062","77","Запорізька область","школа №53, частина спортивної зали, 2-й поверх
вул.Шевченка, 123, м.Запоріжжя, 69039","2104","1009","2110","22","1079","16","1095","","0","1079","16","1095","50","1045","209","419","32","159","60","166","29.10.12"
"231063","77","Запорізька область","школа №53, частина спортивної зали, 2-й поверх
вул.Шевченка, 123, м.Запоріжжя, 69039","1672","852","1664","8","813","7","820","","0","813","7","820","30","790","143","349","15","121","19","143","29.10.12"
"231064","77","Запорізька область","школа №52, актова зала, 1-й поверх
вул.Шевченка, 241, м.Запоріжжя, 69007","2456","1206","2463","43","1208","42","1250","","0","1208","42","1250","41","1209","265","529","23","177","23","192","29.10.12"
"231065","77","Запорізька область","школа №52, коридор, 2-й поверх
вул.Шевченка, 241, м.Запоріжжя, 69007","2440","1069","2448","57","1320","51","1371","","0","1320","51","1371","50","1321","222","707","33","160","28","171","29.10.12"
"231066","77","Запорізька область","школа №42, медичний пункт, 1-й поверх
вул.Шевченка, 277, м.Запоріжжя, 69007","1744","767","1746","16","963","14","977","","0","963","14","977","48","929","179","491","17","115","15","112","29.10.12"
"231067","77","Запорізька область","школа №42, каб.102, 1-й поверх
вул.Шевченка, 277, м.Запоріжжя, 69007","1696","851","1690","19","827","18","845","","0","827","18","845","43","802","143","400","21","98","37","103","29.10.12"
"231068","77","Запорізька область","школа №42, каб.103, 1-й поверх
вул.Шевченка, 277, м.Запоріжжя, 69007","1736","938","1728","14","784","14","798","","0","784","14","798","29","768","122","383","19","120","20","104","29.10.12"
"231069","77","Запорізька область","школа №77, актова зала, 3-й поверх
вул.Памірська, 91, м.Запоріжжя, 69081","2400","1158","2406","30","1215","27","1242","","0","1215","27","1242","63","1179","223","609","27","120","35","165","29.10.12"
"231070","77","Запорізька область","вище професійне училище ""Моторобудівник"", рекреація, 1-й поверх
вул.Панфьорова, 146А, м.Запоріжжя, 69081","2450","1209","2436","14","1228","13","1241","","0","1228","13","1241","52","1189","246","631","26","108","52","126","29.10.12"
"231071","77","Запорізька область","школа №60, рекреація, 2-й поверх
вул.Уральська, 27, м.Запоріжжя, 69068","1304","657","1300","8","641","6","647","","0","641","6","647","28","619","100","304","9","89","16","101","29.10.12"
"231072","77","Запорізька область","навчально-виховний комплекс ""Світанок"", спортивна зала, 1-й поверх
вул.Грязнова, 92А, м.Запоріжжя, 69068","2320","1001","2314","16","1307","12","1319","","0","1307","12","1319","57","1262","247","600","24","158","37","196","29.10.12"
"231073","77","Запорізька область","ліцей ""Перспектива"", корпус №2, актова зала, 2-й поверх
вул.Уральська, 3Б, м.Запоріжжя, 69068","2224","1080","2242","16","1132","12","1144","","0","1132","12","1144","56","1088","170","496","34","160","46","182","29.10.12"
"231074","77","Запорізька область","школа №60, рекреація, 1-й поверх
вул.Уральська, 27, м.Запоріжжя, 69068","1696","829","1678","12","855","12","867","","0","855","12","867","36","831","135","391","19","117","23","146","29.10.12"
"231075","77","Запорізька область","школа №12, актова зала, 1-й поверх
просп.Моторобудівників, 60, м.Запоріжжя, 69068","2104","743","2070","11","1352","9","1361","","0","1352","9","1361","46","1315","150","879","13","116","27","130","29.10.12"
"231076","77","Запорізька область","школа №12, гардероб, 1-й поверх
просп.Моторобудівників, 60, м.Запоріжжя, 69068","2192","857","2164","27","1309","26","1335","","0","1309","26","1335","31","1304","166","832","26","122","30","128","29.10.12"
"231077","77","Запорізька область","авіаційний коледж імені О.Г.Івченка, спортивна зала, 1-й поверх
вул.Іванова, 97, м.Запоріжжя, 69068","1848","711","1845","6","1132","5","1137","","0","1132","5","1137","30","1107","157","668","19","122","30","111","29.10.12"
"231078","77","Запорізька область","авіаційний коледж імені О.Г.Івченка, актова зала, 1-й поверх
вул.Іванова, 97, м.Запоріжжя, 69068","2104","833","2128","26","1249","22","1271","","0","1249","22","1271","44","1227","167","691","23","145","38","163","29.10.12"
"231079","77","Запорізька область","обласний центр еколого-натуралістичної творчості учнівської молоді, виставкова зала
вул.Чарівна, 11, м.Запоріжжя, 69068","2184","629","2164","3","1553","2","1555","","0","1553","2","1555","43","1512","159","1018","20","134","30","151","29.10.12"
"231080","77","Запорізька область","школа №63, рекреація №1, 1-й поверх
вул.Пархоменка, 12А, м.Запоріжжя, 69071","2184","1050","2157","4","1131","3","1134","","0","1131","3","1134","32","1102","139","637","28","134","28","136","29.10.12"
"231081","77","Запорізька область","школа №63, рекреація №2, 1-й поверх
вул.Пархоменка, 12А, м.Запоріжжя, 69071","2032","749","2025","11","1273","10","1283","","0","1273","10","1283","55","1227","175","672","37","152","23","168","29.10.12"
"231082","77","Запорізька область","школа №63, рекреація №3, 1-й поверх
вул.Пархоменка, 12А, м.Запоріжжя, 69071","2160","897","2134","8","1256","7","1263","","0","1256","7","1263","52","1211","211","669","20","131","31","149","29.10.12"
