"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранов
Валерій
Олексійович","Боровков
Олександр
Анатолійович","Кушнірюк
Сергій
Георгійович","Пономарьов
Олександр
Сергійович","Дата підписання протоколу"
"230001","78","Запорізька область","районна лікарня, фойє
вул.Леніна, 41, смт Андріївка, Бердянський р-н, Запорізька обл., 71140","1416","577","1412","86","754","85","839","","0","754","85","839","15","824","176","164","24","460","29.10.12"
"230002","78","Запорізька область","будинок культури, фойє
вул.Леніна, 29, смт Андріївка, Бердянський р-н, Запорізька обл., 71140","1136","499","1120","91","566","71","637","","0","566","71","637","8","629","134","111","7","377","29.10.12"
"230003","78","Запорізька область","сільський клуб, фойє
вул.Куйбишева, 97, с.Успенівка, Бердянський р-н, Запорізька обл., 71141","824","347","817","60","420","57","477","","0","420","57","477","9","468","110","61","9","288","29.10.12"
"230004","78","Запорізька область","сільський клуб, фойє
вул.Чапаєва, 38, с.Іванівка, Бердянський р-н, Запорізька обл., 71143","80","26","81","0","54","0","54","","0","54","0","54","1","53","30","3","0","20","29.10.12"
"230005","78","Запорізька область","школа, фойє
вул.Леніна, 41, с.Софіївка, Бердянський р-н, Запорізька обл., 71143","408","172","403","18","220","16","236","","0","220","16","236","1","235","105","38","3","89","29.10.12"
"230006","78","Запорізька область","школа, фойє
вул.Шкільна, 65, с.Трояни, Бердянський р-н, Запорізька обл., 71151","1040","469","1024","38","533","38","571","","0","533","38","571","18","553","213","55","7","278","29.10.12"
"230007","78","Запорізька область","школа, фойє
вул.Шкільна, 82, с.Андрівка, Бердянський р-н, Запорізька обл., 71150","1056","471","1045","35","552","33","585","","0","552","33","585","9","576","294","44","12","226","29.10.12"
"230008","78","Запорізька область","будинок культури, фойє
вул.Кіорпе, 36, с.Полоузівка, Бердянський р-н, Запорізька обл., 71144","192","55","191","29","108","29","137","","0","108","29","137","3","134","39","4","0","91","29.10.12"
"230009","78","Запорізька область","будинок культури, фойє
вул.Краснобатальйонная, 12, с.Берестове, Бердянський р-н, Запорізька обл., 71130","728","292","716","31","405","31","436","","0","405","31","436","9","427","78","38","7","304","28.10.12"
"230010","78","Запорізька область","сільський клуб №2, фойє
вул.Леніна, 42А, с.Берестове, Бердянський р-н, Запорізька обл., 71130","464","223","459","24","220","21","241","","0","220","21","241","11","230","46","21","12","151","28.10.12"
"230011","78","Запорізька область","сільський клуб №1, фойє
вул.Миру, 104, с.Берестове, Бердянський р-н, Запорізька обл., 71130","640","242","641","39","361","37","398","","0","361","37","398","8","390","81","39","17","253","29.10.12"
"230012","78","Запорізька область","будинок культури, фойє
вул.Леніна, 1В, с.Дмитрівка, Бердянський р-н, Запорізька обл., 71153","1920","932","1882","112","886","102","988","","0","886","102","988","24","964","376","115","30","443","29.10.12"
"230013","78","Запорізька область","сільський фельдшерський пункт, фойє
вул.Побєди, 42, с.Шевченка, Бердянський р-н, Запорізька обл., 71153","120","34","127","4","83","3","86","","0","83","3","86","2","84","20","5","2","57","29.10.12"
"230014","78","Запорізька область","фельдшерсько-акушерський пункт, фойє
вул.Леніна, 73, с.Долинське, Бердянський р-н, Запорізька обл., 71145","496","168","485","43","285","43","328","","0","285","43","328","4","324","147","19","5","153","29.10.12"
"230015","78","Запорізька область","будинок культури, фойє
вул.Леніна, 88, с.Шевченкове, Бердянський р-н, Запорізька обл., 71153","432","130","432","31","278","24","302","","0","278","24","302","2","300","146","20","4","130","30.10.12"
"230016","78","Запорізька область","будинок культури, фойє
пров.Совєтський, 6, с.Карла Маркса, Бердянський р-н, Запорізька обл., 71133","664","173","652","44","457","34","491","","0","457","34","491","3","488","73","28","12","375","29.10.12"
"230017","78","Запорізька область","приміщення магазину, фойє
вул.Кірова, 3, с.Калайтанівка, Бердянський р-н, Запорізька обл., 71133","200","59","187","29","113","28","141","","0","113","28","141","1","140","16","10","10","104","29.10.12"
"230018","78","Запорізька область","школа, спортивна зала
вул.І-ої Бердянської Ради, 92, с.Луначарське, Бердянський р-н, Запорізька обл., 71154","2080","898","2057","53","1138","44","1182","","0","1138","44","1182","20","1162","334","63","25","740","29.10.12"
"230019","78","Запорізька область","будинок культури, фойє
вул.Перемоги, 2, с.Миколаївка, Бердянський р-н, Запорізька обл., 71135","1240","484","1228","90","681","75","756","","0","681","75","756","14","742","204","68","21","449","28.10.12"
"230020","78","Запорізька область","будинок культури, фойє
вул.Леніна, 48, с.Новопетрівка, Бердянський р-н, Запорізька обл., 71162","1672","798","1649","67","808","66","874","","0","808","66","874","19","855","238","219","19","379","29.10.12"
"230021","78","Запорізька область","сільський клуб, фойє
вул.Жигуліних, 30, с.Старопетрівка, Бердянський р-н, Запорізька обл., 71163","864","396","865","38","434","34","468","","0","434","34","468","14","454","116","60","9","269","29.10.12"
"230022","78","Запорізька область","приміщення сільської ради, зала засідань
вул.Лактіонова, 60, с.Новотроїцьке, Бердянський р-н, Запорізька обл., 71144","864","336","853","50","484","44","528","","0","484","44","528","7","521","174","52","16","279","29.10.12"
"230023","78","Запорізька область","приміщення сільської ради, зала засідань
вул.Маріупольське шосе, 23, с.Осипенко, Бердянський р-н, Запорізька обл., 71160","1648","705","1623","91","862","81","943","","0","862","81","943","19","924","160","102","32","630","29.10.12"
"230024","78","Запорізька область","будинок культури імені Чапаєва, фойє
вул.Чапаєва, 36, с.Осипенко, Бердянський р-н, Запорізька обл., 71160","1376","656","1368","97","650","70","720","","0","650","70","720","25","695","125","62","22","486","29.10.12"
"230025","78","Запорізька область","будинок культури ""Іскра"", фойє
вул.Проходи, 27, с.Осипенко, Бердянський р-н, Запорізька обл., 71160","544","223","545","37","294","27","321","","0","294","27","321","4","317","63","41","7","206","28.10.12"
"230026","78","Запорізька область","будинок культури, фойє
вул.Леніна, 111, с.Червоне Поле, Бердянський р-н, Запорізька обл., 71170","928","312","920","63","565","51","616","","0","565","51","616","13","603","145","35","15","408","29.10.12"
"230027","78","Запорізька область","будинок культури, фойє
вул.Дзержинського, 24, с-ще Бердянське, Бердянський р-н, Запорізька обл., 71172","368","125","367","21","224","19","243","","0","224","19","243","6","237","91","15","5","126","29.10.12"
"230266","78","Запорізька область","Куйбишевський експлуатаційний цех водопостачання та водовідведення, зал засідань
вул.Запорізька, 16, смт Куйбишеве, Куйбишевський р-н, Запорізька обл., 71001","2104","947","2077","100","1069","88","1157","","0","1069","88","1157","31","1126","350","133","143","500","29.10.12"
"230267","78","Запорізька область","адмінбудівля колишньої школи, коридор
вул.Шкільна, 6А, смт Куйбишеве, Куйбишевський р-н, Запорізька обл., 71001","1624","668","1613","73","889","67","956","","0","889","67","956","39","917","287","99","93","438","29.10.12"
"230268","78","Запорізька область","районний будинок культури, фойє
вул.Леніна, 50, смт Куйбишеве, Куйбишевський р-н, Запорізька обл., 71001","1376","562","1364","72","750","64","814","","0","750","64","814","22","792","276","62","108","346","29.10.12"
"230269","78","Запорізька область","школа ""Інтелект"", фойє
вул.Леніна, 1, смт Куйбишеве, Куйбишевський р-н, Запорізька обл., 71001","1440","624","1428","45","782","34","816","","0","782","34","816","22","794","232","68","112","382","29.10.12"
"230270","78","Запорізька область","сільський клуб, зал для глядачів
вул.Молодіжна, 12, с.Трудове, Куйбишевський р-н, Запорізька обл., 71006","600","158","593","39","405","37","442","","0","405","37","442","24","418","77","29","43","269","28.10.12"
"230271","78","Запорізька область","будинок культури, кінозал
вул.Вокзальна, 63, смт Комиш-Зоря, Куйбишевський р-н, Запорізька обл., 71030","1872","844","1855","125","916","112","1028","","0","916","112","1028","31","997","277","86","81","553","29.10.12"
"230272","78","Запорізька область","будинок культури, зал для глядачів
вул.Леніна, 22, с.Білоцерківка, Куйбишевський р-н, Запорізька обл., 71053","1112","436","1102","64","615","61","676","","0","615","61","676","21","655","225","46","37","347","29.10.12"
"230273","78","Запорізька область","фельдшерський пункт, к.1
вул.Глушкова, 19, с.Більманка, Куйбишевський р-н, Запорізька обл., 71051","312","85","304","65","167","60","227","","0","167","60","227","3","224","95","18","7","104","29.10.12"
"230274","78","Запорізька область","сільський будинок культури, дискозал
вул.Шевченка, 113, с.Благовіщенка, Куйбишевський р-н, Запорізька обл., 71050","1240","550","1235","116","589","101","690","","0","589","101","690","16","674","260","103","46","265","29.10.12"
"230275","78","Запорізька область","сільський будинок культури, фойє
вул.Карла Маркса, 3, с.Вершина, Куйбишевський р-н, Запорізька обл., 71014","456","137","451","65","254","65","319","","0","254","65","319","8","311","89","7","14","201","29.10.12"
"230276","78","Запорізька область","адмінбудівля сільської ради, актовий зал
вул.Запорізька, 2, с.Гусарка, Куйбишевський р-н, Запорізька обл., 71020","880","352","871","75","460","68","528","","0","460","68","528","17","511","188","78","18","227","29.10.12"
"230277","78","Запорізька область","адмінбудівля ТОВ ""Зразкове"", кабінет сільського голови
вул.Леніна, 1, с.Зразкове, Куйбишевський р-н, Запорізька обл., 71021","304","103","301","41","167","34","201","","0","167","34","201","6","195","79","7","8","101","29.10.12"
"230278","78","Запорізька область","сільський будинок культури, к.15
вул.Миру, 6, с.Ланцеве, Куйбишевський р-н, Запорізька обл., 71052","416","139","414","50","233","44","277","","0","233","44","277","12","265","103","32","16","114","29.10.12"
"230279","78","Запорізька область","сільський будинок культури, фойє
вул.Чапаєва, 49, с.Мар’янівка, Куйбишевський р-н, Запорізька обл., 71013","528","216","520","40","277","35","312","","0","277","35","312","7","305","118","20","5","162","29.10.12"
"230280","78","Запорізька область","сільський будинок культури, фойє
вул.Снитка, 64, с.Новоукраїнка, Куйбишевський р-н, Запорізька обл., 71012","816","278","807","69","475","63","538","","0","475","63","538","21","517","213","44","52","208","29.10.12"
"230281","78","Запорізька область","сільський будинок культури, фойє
вул.Леніна, 321, с.Гоголівка, Куйбишевський р-н, Запорізька обл., 71012","296","113","290","16","167","16","183","","0","167","16","183","8","175","88","16","12","59","30.10.12"
"230282","78","Запорізька область","сільський будинок культури, фойє
вул.Чкалова, 77, с.Сміле, Куйбишевський р-н, Запорізька обл., 71010","480","179","468","30","273","28","301","","1","272","28","300","7","293","130","29","9","125","29.10.12"
"230283","78","Запорізька область","сільський клуб, глядацька зала
вул.Степанюченка, 13, с.Червоноселівка, Куйбишевський р-н, Запорізька обл., 71011","232","86","229","14","135","11","146","","0","135","11","146","5","141","56","13","7","65","29.10.12"
"230284","78","Запорізька область","будинок культури, спортзал
вул.Смирнова, 7, с.Смирнове, Куйбишевський р-н, Запорізька обл., 71040","864","344","853","44","482","38","520","","0","482","38","520","23","497","171","43","21","262","29.10.12"
"230285","78","Запорізька область","будинок культури, танцювальний зал
вул.Юрченка, 13, с.Олексіївка, Куйбишевський р-н, Запорізька обл., 71042","960","354","882","68","544","62","606","","0","544","62","606","9","597","172","90","43","292","29.10.12"
"230286","78","Запорізька область","адмінбудівля колишньої школи, спортзал
вул.Свердлова, 11, с.Вершина Друга, Куйбишевський р-н, Запорізька обл., 71041","440","131","429","37","280","29","309","","0","280","29","309","4","305","71","39","6","189","29.10.12"
"230287","78","Запорізька область","адмінбудівля сільської ради, каб.3
вул.Челюскіна, 3, с.Титове, Куйбишевський р-н, Запорізька обл., 71043","464","133","461","46","291","40","331","","0","291","40","331","5","326","69","27","19","211","28.10.12"
"230288","78","Запорізька область","сільський будинок культури, малий актовий зал
вул.Шевченка, 22, с.Шевченківське, Куйбишевський р-н, Запорізька обл., 71031","888","431","880","39","424","33","457","","0","424","33","457","24","433","155","55","60","163","29.10.12"
"230524","78","Запорізька область","Розівська школа №1, їдальня, 1-й поверх
вул.Леніна, 34, смт Розівка, Розівський р-н, Запорізька обл., 70301","1872","923","1860","99","861","88","949","","0","861","88","949","40","909","463","149","66","231","29.10.12"
"230525","78","Запорізька область","будинок культури, мала зала, 1-й поверх
вул.Леніна, 92, смт Розівка, Розівський р-н, Запорізька обл., 70302","1832","891","1816","76","873","68","941","","0","873","68","941","44","897","434","189","47","227","29.10.12"
"230526","78","Запорізька область","сільська рада, актова зала
вул.Радянська, 3, с.Новомлинівка, Розівський р-н, Запорізька обл., 70320","440","173","433","56","216","51","267","","0","216","51","267","9","258","104","50","7","97","29.10.12"
"230527","78","Запорізька область","Вишнюватська школа, фойє, 1-й поверх
вул.Леніна, 16, с.Вишнювате, Розівський р-н, Запорізька обл., 70331","416","147","411","47","224","45","269","","0","224","45","269","7","262","114","39","3","106","29.10.12"
"230528","78","Запорізька область","Листвянська школа, спортивна зала
вул.Суворова, 77, с.Листвянка, Розівський р-н, Запорізька обл., 70333","312","91","308","37","184","37","221","","0","184","37","221","11","210","87","27","9","87","29.10.12"
"230529","78","Запорізька область","будинок культури, актова зала
вул.Леніна, 50, с.Солодководне, Розівський р-н, Запорізька обл., 70310","496","183","495","40","276","37","313","","0","276","37","313","12","301","125","32","10","134","29.10.12"
"230530","78","Запорізька область","сільська рада, актова зала, 1-й поверх
вул.Леніна, 10, с.Пролетарське, Розівський р-н, Запорізька обл., 70313","392","131","385","19","243","18","261","","0","243","18","261","17","244","93","11","3","137","29.10.12"
"230531","78","Запорізька область","Зеленопільська школа, спортивна зала, 1-й поверх
вул.Коновалова, 46, с.Зеленопіль, Розівський р-н, Запорізька обл., 70311","296","85","288","14","199","12","211","","0","199","12","211","12","199","81","25","11","82","29.10.12"
"230532","78","Запорізька область","будинок культури, фойє
вул.Леніна, 56, с.Маринопіль, Розівський р-н, Запорізька обл., 70314","288","89","282","8","191","8","199","","0","191","8","199","6","193","63","25","5","100","29.10.12"
