"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бандуров
Володимир
Володимирович","Величко
Володимир
Анатолійович","Водяников
Валерій
Володимирович","Морщавка
Іван
Євгенович","Шевченко
Анатолій
Вікторович","Дата підписання протоколу"
"230028","79","Запорізька область","Василівський коледж ТДАУ, вестибюль
мікрорайон 40 років Перемоги, 10, м.Василівка, Василівський р-н, Запорізька обл., 71600","2160","1035","2115","38","1091","34","1125","","0","1091","34","1125","39","1086","505","174","18","24","365","29.10.12"
"230029","79","Запорізька область","міська рада, зала одружень
вул.Чекістів, 1, м.Василівка, Василівський р-н, Запорізька обл., 71600","1496","720","1467","22","755","21","776","","0","755","21","776","36","740","388","109","10","17","216","29.10.12"
"230030","79","Запорізька область","центр культури та дозвілля, танцювальна зала
вул.Чекістів, 5, м.Василівка, Василівський р-н, Запорізька обл., 71600","1792","750","1784","38","1007","35","1042","","0","1007","35","1042","43","999","496","159","13","12","319","29.10.12"
"230031","79","Запорізька область","гімназія ""Сузір’я"", фойє
вул.Шевченка, 82, м.Василівка, Василівський р-н, Запорізька обл., 71600","1600","736","1573","29","844","20","864","","0","844","20","864","32","832","475","122","14","22","199","29.10.12"
"230032","79","Запорізька область","школа №3, зала 1
вул.Стадіонна, 23, м.Василівка, Василівський р-н, Запорізька обл., 71600","1184","640","1171","20","524","20","544","","0","524","20","544","24","520","263","81","4","6","166","29.10.12"
"230033","79","Запорізька область","школа №3, зала 2
вул.Стадіонна, 23, м.Василівка, Василівський р-н, Запорізька обл., 71600","1424","772","1411","38","618","34","652","","0","618","34","652","36","616","342","73","10","12","179","29.10.12"
"230034","79","Запорізька область","школа №3, зала 3
вул.Стадіонна, 23, м.Василівка, Василівський р-н, Запорізька обл., 71600","1984","1074","1962","39","873","37","910","","0","873","37","910","32","878","454","149","13","6","256","29.10.12"
"230035","79","Запорізька область","гімназія ""Софія"", фойє
вул.Комсомольська, 7, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1560","746","1536","44","784","30","814","","0","784","30","814","50","764","458","160","13","25","108","29.10.12"
"230036","79","Запорізька область","кінотеатр ""Сучасник"", глядацька зала
просп.Ентузіастів, 16, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1880","881","1869","64","963","36","999","","0","963","36","999","44","955","601","177","22","23","132","29.10.12"
"230037","79","Запорізька область","спеціальна школа ""Світоч"", фойє
вул.Шахтарська, 38, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","2168","1027","2135","57","1098","43","1141","","0","1098","43","1141","60","1081","619","229","17","32","184","29.10.12"
"230038","79","Запорізька область","гуртожиток ЗАТ ЗЗРК ""Гірник"", актова зала
просп.Ентузіастів, 17, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1432","808","1416","8","617","7","624","","0","617","7","624","47","577","360","104","9","14","90","29.10.12"
"230039","79","Запорізька область","індустріальний технікум, фойє
просп.Ентузіастів, 23, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1432","719","1416","6","708","5","713","","0","708","5","713","51","662","391","128","11","14","118","28.10.12"
"230040","79","Запорізька область","професійний ліцей №26, спортивна зала
просп.Ентузіастів, 25, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1328","609","1316","22","702","17","719","","0","702","17","719","32","687","401","124","7","18","137","28.10.12"
"230041","79","Запорізька область","палац культури ""Гірник"", художня школа
вул.Набережна, 13, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1840","933","1827","16","894","13","907","","0","894","13","907","40","867","450","184","17","19","197","29.10.12"
"230042","79","Запорізька область","спеціальна школа ""Талант"", фойє, праворуч
вул.Комсомольська, 25, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","1696","959","1684","2","735","2","737","","0","735","2","737","35","702","418","125","15","18","126","29.10.12"
"230043","79","Запорізька область","спеціальна школа ""Талант"", фойє, ліворуч
вул.Комсомольська, 25, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","2184","1153","2140","10","1024","7","1031","","0","1024","7","1031","48","983","509","179","27","42","226","29.10.12"
"230044","79","Запорізька область","школа, фойє
вул.Шкільна, 10, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","648","258","651","19","375","15","390","","0","375","15","390","19","371","224","53","10","12","72","29.10.12"
"230045","79","Запорізька область","селищна рада, каб.115, 1-й поверх
вул.Шкільна, 24, смт Степногірськ, Василівський р-н, Запорізька обл., 71611","1040","494","1037","53","497","49","546","","0","497","49","546","37","509","357","47","5","5","95","29.10.12"
"230046","79","Запорізька область","селищна рада, фойє, 2-й поверх
вул.Шкільна, 24, смт Степногірськ, Василівський р-н, Запорізька обл., 71611","1696","947","1670","18","735","14","749","","0","735","14","749","31","718","462","107","10","17","122","29.10.12"
"230047","79","Запорізька область","школа, фойє
вул.Лесі Українки, 2, смт Степногірськ, Василівський р-н, Запорізька обл., 71611","1568","869","1553","15","684","15","699","","0","683","15","698","32","666","412","97","9","14","134","29.10.12"
"230048","79","Запорізька область","адміністративний будинок ПРЗС, актова зала
вул.Нижня, 6, с.Балки, Василівський р-н, Запорізька обл., 71635","1304","631","1288","50","624","49","673","","0","624","49","673","33","640","438","75","8","19","100","28.10.12"
"230049","79","Запорізька область","школа, спортивна зала
вул.Каховська, 28, с.Балки, Василівський р-н, Запорізька обл., 71635","1472","704","1441","79","695","73","768","","0","694","73","767","34","733","460","119","10","30","114","29.10.12"
"230050","79","Запорізька область","ТОВ АПК ""Істок"", актова зала
вул.Миру, 206, с.Балки, Василівський р-н, Запорізька обл., 71635","1040","505","1036","46","490","45","535","","0","490","45","535","27","508","323","83","5","31","66","29.10.12"
"230051","79","Запорізька область","школа, спортивна зала
вул.Миру, 256, с.Балки, Василівський р-н, Запорізька обл., 71635","824","331","805","35","458","35","493","","0","458","35","493","41","452","311","5","70","23","43","29.10.12"
"230052","79","Запорізька область","школа, фойє
вул.Калініна, 160, с.Верхня Криниця, Василівський р-н, Запорізька обл., 71622","1240","518","1234","59","672","50","722","","0","672","50","722","32","690","390","94","9","20","177","29.10.12"
"230053","79","Запорізька область","школа, спортивна зала
вул.Центральна, 20, с.Кам’янське, Василівський р-н, Запорізька обл., 71612","1264","598","1228","60","611","55","666","","0","611","55","666","33","633","421","117","6","10","79","29.10.12"
"230054","79","Запорізька область","бригадний будинок, зала
вул.Телевізійна, 1Д, с.Кам’янське, Василівський р-н, Запорізька обл., 71612","600","244","610","26","331","25","356","","0","331","25","356","11","345","216","66","5","9","49","29.10.12"
"230055","79","Запорізька область","сільський клуб, фойє
вул.Набережна, 95, с.Плавні, Василівський р-н, Запорізька обл., 71613","264","98","259","8","158","8","166","","0","158","8","166","16","150","73","34","5","2","36","28.10.12"
"230056","79","Запорізька область","сільська рада, фойє
вул.Гагаріна, 108, с.Лугове, Василівський р-н, Запорізька обл., 71620","456","178","454","17","261","17","278","","0","261","17","278","12","266","187","40","2","2","35","29.10.12"
"230057","79","Запорізька область","гімназія ""Дивосвіт"", спортивна зала
вул.Щорса, 95, с.Мала Білозерка, Василівський р-н, Запорізька обл., 71670","1016","457","1023","55","507","52","559","","0","507","52","559","17","542","313","82","7","17","123","28.10.12"
"230058","79","Запорізька область","школа №2, спортивна зала
вул.Радянська, 1, с.Мала Білозерка, Всилівський р-н, Запорізька обл., 71670","904","415","914","42","448","41","489","","0","448","41","489","29","460","310","63","10","24","53","29.10.12"
"230059","79","Запорізька область","школа №1, фойє
вул.Гвардійська, 23, с.Мала Білозерка, Василівський р-н, Запорізька обл., 71670","1104","536","1098","50","521","47","568","","0","521","47","568","22","546","308","105","13","17","103","28.10.12"
"230060","79","Запорізька область","школа, фойє
вул.Тельмана, 62, с.Мала Білозерка, Василівський р-н, Запорізька обл., 71670","1040","460","1033","76","509","71","580","","0","509","71","580","32","548","317","98","7","21","105","29.10.12"
"230061","79","Запорізька область","сільський клуб, фойє
вул.Дніпровська, 1, с.Новобілозерка, Василівський р-н, Запорізька обл., 71673","104","22","99","7","76","6","82","","0","76","6","82","8","74","52","9","1","3","9","29.10.12"
"230062","79","Запорізька область","школа, спортивна зала
вул.Шкільна, 3, с.Орлянське, Василівський р-н, Запорізька обл., 71660","1416","666","1407","124","644","106","750","","0","644","106","750","43","707","346","90","13","51","207","29.10.12"
"230063","79","Запорізька область","адміністративний будинок СВК ""Орлянський"", актова зала
вул.Леніна, 172, с.Орлянське, Василівський р-н, Запорізька обл., 71660","888","409","879","43","438","41","479","","0","438","41","479","37","442","190","77","9","38","128","29.10.12"
"230064","79","Запорізька область","школа, фойє
вул.Шкільна, 50В, с.Відножине, Василівський р-н, Запорізька обл., 71663","384","157","381","25","206","21","227","","0","206","21","227","11","216","132","45","4","3","32","28.10.12"
"230065","79","Запорізька область","школа, фойє
вул.Гагаріна, 47, с.Тополине, Василівський р-н, Запорізька обл., 71664","512","174","502","37","305","33","338","","0","305","33","338","19","319","212","42","4","2","59","28.10.12"
"230066","79","Запорізька область","школа №2, фойє
вул.50 років Жовтня, 85, с.Приморське, Василівський р-н, Запорізька обл., 71610","640","261","645","36","343","36","379","","0","343","36","379","19","360","237","40","7","7","69","28.10.12"
"230067","79","Запорізька область","школа, фойє
вул.Східна, 76, с.Приморське, Василівський р-н, Запорізька обл., 71610","1608","862","1578","53","697","49","746","","0","697","49","746","59","687","419","123","15","14","116","29.10.12"
"230068","79","Запорізька область","школа №1, спортивна зала
вул.Весела, 66, с.Приморське, Василівський р-н, Запорізька обл., 71610","768","423","752","36","309","36","345","","0","309","36","345","29","316","190","68","14","7","37","29.10.12"
"230069","79","Запорізька область","школа, фойє
вул.Чкалова, 82, с.Підгірне, Василіський р-н, Запорізька обл., 71652","808","397","794","43","370","41","411","","0","370","41","411","22","389","255","65","6","4","59","29.10.12"
"230070","79","Запорізька область","фельдшерсько-акушерський пункт, маніпуляційна
вул.Миру, 69, с.Зелений Гай, Василівський р-н, Запорізька обл., 71654","192","55","190","12","127","10","137","","0","127","10","137","5","132","97","13","3","0","19","29.10.12"
"230071","79","Запорізька область","сільський клуб, фойє
вул.Леніна, 36, с.П’ятихатки, Василівський р-н, Запорізька обл., 71621","376","116","379","27","236","24","260","","0","236","24","260","17","243","193","21","2","1","26","28.10.12"
"230072","79","Запорізька область","сільський клуб, фойє
пров.Культурний, 2, с.Малі Щербаки, Василівський р-н, Запорізька обл., 71614","328","133","321","20","177","18","195","","0","177","18","195","10","185","136","29","2","0","18","29.10.12"
"230073","79","Запорізька область","школа, фойє
вул.Стадіонна, 2, с.Скельки, Василівський р-н, Запорізька обл., 71640","904","331","895","69","507","66","573","","0","507","66","573","24","549","360","85","7","4","93","28.10.12"
"230074","79","Запорізька область","школа, спортивна зала
вул.Стадіонна, 2, с.Скельки, Василівський р-н, Запорізька обл., 71640","704","266","693","46","396","42","438","","0","396","42","438","12","426","323","57","5","7","34","28.10.12"
"230075","79","Запорізька область","сільський клуб, фойє
вул.Центральна, 1, с.Златопіль, Василівський р-н, Запорізька обл., 71641","456","138","450","26","293","25","318","","0","293","25","318","9","309","212","30","0","26","41","29.10.12"
"230076","79","Запорізька область","школа, спортивна зала
вул.Леніна, 39, с.Шевченка, Василівський р-н, Запорізька обл., 71643","600","348","595","26","227","25","252","","0","227","25","252","11","241","103","73","8","3","54","29.10.12"
"230077","79","Запорізька область","школа, спортивна зала
вул.Леніна, 48Б, с.Широке, Василівський р-н, Запорізька обл., 71650","664","257","660","41","371","36","407","","0","371","36","407","12","395","248","82","4","3","58","29.10.12"
"230078","79","Запорізька область","школа, фойє
вул.Перемоги, 35, с.Червоноармійське, Василівський р-н, Запорізька обл., 71651","400","118","399","37","246","36","282","","0","246","36","282","6","276","200","29","8","1","38","29.10.12"
"230079","79","Запорізька область","Василівська центральна районна лікарня, актова зала
вул.Лікарняна, 5, м.Василівка, Василівський р-н, Запорізька обл., 71600","168","137","31","2","29","2","31","","0","29","2","31","0","31","26","1","0","0","4","29.10.12"
"230080","79","Запорізька область","Дніпрорудненська міська лікарня, хірургічний корпус, 2-й поверх, їдальня
вул.Зелена, 2, м.Дніпрорудне, Василівський р-н, Запорізька обл., 71630","168","136","34","6","26","6","32","","0","26","6","32","0","32","25","3","0","1","3","28.10.12"
"230081","79","Запорізька область","ТОВ ""Преображенське"", їдальня, зала
вул.Степова, 24, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71400","728","278","716","37","415","35","450","","0","415","35","450","24","426","236","120","4","13","53","29.10.12"
"230082","79","Запорізька область","районний будинок культури, фойє
вул.Щорса, 3, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71400","1296","536","1290","53","712","48","760","","0","712","48","760","43","717","411","151","13","15","127","29.10.12"
"230083","79","Запорізька область","Великобілозерський сільський клуб, фойє
вул.Яблунева, 15, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71400","584","217","574","53","319","48","367","","0","319","48","367","16","351","210","80","6","4","51","28.10.12"
"230084","79","Запорізька область","школа, спортивна зала
вул.Поштова, 1, с.Гюнівка, Великобілозерський р-н, Запорізька обл., 71410","488","151","477","53","284","53","337","","0","284","53","337","21","316","220","52","7","2","35","29.10.12"
"230085","79","Запорізька область","школа №2, спортивна зала
вул.Червонофлотська, 12, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71401","1112","513","1105","34","569","30","599","","0","569","30","599","32","567","312","164","10","13","68","29.10.12"
"230086","79","Запорізька область","школа ""Первоцвіт"", спортивна зала
вул.Пархоменка, 65, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71404","720","291","701","50","383","46","429","","0","383","46","429","24","405","214","116","9","7","59","29.10.12"
"230087","79","Запорізька область","школа №4, фойє
вул.Центральна, 290, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71402","496","181","493","19","296","19","315","","0","296","19","315","20","295","159","88","6","12","30","29.10.12"
"230088","79","Запорізька область","сільський клуб, фойє
вул.Центральна, 66А, с.Новопетрівка, Великобілозерський р-н, Запорізька обл., 71402","136","34","136","17","88","14","102","","0","88","14","102","9","93","60","20","0","1","12","28.10.12"
"230089","79","Запорізька область","будинок культури Трудової сільради, фойє
вул.Радянська, 9, с.Велика Білозерка, Великобілозерський р-н, Запорізька обл., 71402","912","342","902","57","519","51","570","","0","519","51","570","25","545","327","166","12","12","28","29.10.12"
"230234","79","Запорізька область","гімназія ""Скіфія"", спортивна зала
вул.Жовтнева, 101, м.Кам’янка-Дніпровська, Кам’янсько-Дніпровський р-н, Запорізька обл., 71304","1728","853","1697","69","811","64","875","","0","811","64","875","45","830","451","222","14","13","130","29.10.12"
"230235","79","Запорізька область","дитячий садок, хол
вул.Гоголя, 40, м.Кам’янка-Дніпровська, Кам’янсько-Дніпровський р-н, Запорізька обл., 71304","1486","744","1482","45","705","37","742","","0","705","37","742","36","706","399","199","6","16","86","28.10.12"
"230236","79","Запорізька область","будинок культури, хол
вул.Гоголя, 3, м.Кам’янка-Дніпровська, Кам’янсько-Дніпровський р-н, Запорізька обл., 71304","2016","939","2017","96","1000","77","1077","","0","1000","77","1077","50","1027","648","230","12","30","107","29.10.12"
