"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балицький
Євген
Віталійович","Волков
Олександр
Валерійович","Гудзь
Віктор
Васильович","Іванкевич
Олег
Костянтинович","Коржилов
Микола
Миколайович","Коротун
Володимир
Вікторович","Нещадим
Микола
Іванович","Пушня
Андрій
Григорович","Самбур
Марина
Леонідівна","Дата підписання протоколу"
"000001","80","Запорізька область","
вул. Леніна, 83, м. Мелітополь, Запорізька обл., 72315","32","26","7","0","6","0","6","","0","6","0","6","0","6","0","0","0","0","0","0","0","0","6","28.10.12"
"230289","80","Запорізька область","школа, актова зала
вул.Шкільна, 1, смт Мирне, Мелітопольський р-н, Запорізька обл., 72350","912","444","898","3","465","3","468","","0","465","3","468","12","456","295","10","8","54","8","55","1","1","24","28.10.12"
"230290","80","Запорізька область","будинок культури, актова зала
вул.Заводська, 41, с.Астраханка, Мелітопольський р-н, Запорізька обл., 72349","952","479","933","65","412","61","473","","0","412","61","473","16","457","353","1","4","29","3","46","0","6","15","29.10.12"
"230291","80","Запорізька область","сільський клуб, актова зала
вул.Сорок років Перемоги, 1, с.Свободне, Мелітопольський р-н, Запорізька обл., 72350","232","76","230","15","141","15","156","","0","141","15","156","3","153","124","1","1","6","3","11","1","0","6","28.10.12"
"230292","80","Запорізька область","будинок культури, актова зала
вул.Чапаєва, 121В, с.Вознесенка, Мелітопольський р-н, Запорізька обл., 72360","2376","1255","2364","56","1066","55","1121","","0","1066","55","1121","57","1064","684","27","21","102","19","138","4","10","59","29.10.12"
"230293","80","Запорізька область","школа, спортивна зала
вул.Калініна, 23Б, с.Вознесенка, Мелітопольський р-н, Запорізька обл., 72360","1880","999","1879","47","837","44","881","","0","837","44","881","29","852","536","17","16","80","13","137","2","3","48","29.10.12"
"230294","80","Запорізька область","спеціалізована школа ""Прометей"", фойє
вул.Маяковського, 22, с.Костянтинівка, Мелітопольський р-н, Запорізька обл., 72364","1872","1067","1863","32","781","24","805","","0","781","24","805","37","768","424","18","21","83","9","118","6","8","81","28.10.12"
"230295","80","Запорізька область","музична школа, актова зала
вул.Леніна, 20/9, с.Костянтинівка, Мелітопольський р-н, Запорізька обл., 72363","1816","976","1797","35","815","25","840","","0","815","25","840","40","800","414","17","20","115","15","89","1","3","126","28.10.12"
"230296","80","Запорізька область","школа ""Прометей"", актова зала
вул.Маяковського, 22, с.Костянтинівка, Мелітопольський р-н, Запорізька обл., 72364","2032","1097","2008","36","907","28","935","","0","907","28","935","42","893","524","18","20","84","12","121","5","9","100","28.10.12"
"230297","80","Запорізька область","гімназія ""Таврія"", каб.5
вул.Шкільна, 147, с.Костянтинівка, Мелітопольський р-н, Запорізька обл., 72364","1776","986","1760","26","770","20","790","","0","770","20","790","31","759","455","14","21","86","10","108","1","2","62","29.10.12"
