"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Драніков
Олександр
Едуардович","Дудка
Олександр
Іванович","Кривохатько
Вадим
Вікторович","Кузьменко
Олег
Анатолійович","Куценко
Владислав
Ігорович","Мараховська
Вікторія
Юріївна","Дата підписання протоколу"
"000001","82","Запорізька область","корпусне відділення №2 Вільнянського слідчого ізолятора
вул.Зелена, 34, смт Кам’яне, Вільнянський р-н, Запорізька обл., 70050","824","10","816","0","814","0","814","","0","814","0","814","158","656","35","484","45","24","41","27","29.10.12"
"230116","82","Запорізька область","школа №2, вестибюль
пров.Новий, 7, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","2200","860","2174","36","1312","28","1340","","0","1311","28","1339","47","1292","7","210","937","10","28","100","29.10.12"
"230117","82","Запорізька область","школа-інтернат, вестибюль
пров.Шкільний, 5, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","1792","793","1782","44","971","28","999","","0","971","28","999","37","962","6","172","656","7","28","93","29.10.12"
"230118","82","Запорізька область","гімназія, вестибюль
вул.Бочарова, 14, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","2480","973","2460","39","1475","32","1507","","0","1475","32","1507","43","1464","11","245","1070","10","18","110","29.10.12"
"230119","82","Запорізька область","школа №3, актова зала
вул.Бочарова, 13, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","2464","1031","2351","76","1369","64","1433","","0","1369","64","1433","37","1396","10","253","1023","3","20","87","29.10.12"
"230120","82","Запорізька область","будинок культури, танцювальна зала
вул.Радянська, 6, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","2224","975","2194","57","1211","38","1249","","0","1211","38","1249","37","1212","7","234","814","15","18","124","29.10.12"
"230121","82","Запорізька область","ліцей, вестибюль
вул.Космодем’янської, 3, м.Вільнянськ, Вільнянський р-н, Запорізька обл., 70002","2232","1015","2238","51","1170","47","1217","","0","1170","47","1217","38","1179","6","195","867","9","26","76","29.10.12"
"230122","82","Запорізька область","будинок культури, фойє
вул.Центральна, 9А, смт Кам'яне, Вільнянський р-н, Запорізька обл., 70050","1104","408","1100","37","664","32","696","","0","664","32","696","24","672","2","170","467","3","7","23","28.10.12"
"230123","82","Запорізька область","школа, вестибюль
вул.Леніна, 27, с.Антонівка, Вільнянський р-н, Запорізька обл., 70040","600","253","591","46","314","33","347","","0","314","33","347","20","327","2","83","217","2","8","15","29.10.12"
"230124","82","Запорізька область","школа, спортивна зала
вул.Центральна, 5, с.Гнаровське, Вільнянський р-н,Запорізька обл., 70017","944","464","933","50","438","42","480","","0","438","42","480","33","447","11","181","149","9","41","56","29.10.12"
"230125","82","Запорізька область","будинок культури, кімната поштового відділення
вул.60 років ВЛКСМ, 42Б, с.Дніпровка, Вільнянський р-н, Запорізька обл., 70014","864","334","858","50","482","48","530","","0","482","48","530","18","512","16","194","219","12","24","47","28.10.12"
"230126","82","Запорізька область","школа, спортивна зала
вул.Олімпійська, 6, с.Дружелюбівка, Вільнянський р-н, Запорізька обл., 70053","1160","566","1153","59","546","48","594","","0","546","48","594","33","561","5","147","331","9","29","40","29.10.12"
"230127","82","Запорізька область","школа, вестибюль
вул.Шкільна, 5А, с.Кірова, Вільнянський р-н, Запорізька обл., 70026","696","282","687","48","371","43","414","","0","371","43","414","29","385","3","128","219","0","18","17","29.10.12"
"230128","82","Запорізька область","будинок культури, обрядова зала
вул.Молодіжна, 1А, с.Купріянівка, Вільнянський р-н, Запорізька обл., 70054","720","244","715","52","427","49","476","","0","427","49","476","14","462","1","76","370","2","4","9","29.10.12"
"230129","82","Запорізька область","школа, спортивна зала
вул.Дзержинського, 95А, с.Любимівка, Вільнянський р-н, Запорізька обл., 70033","784","354","782","90","349","81","430","","0","348","81","429","10","419","12","156","201","6","25","19","29.10.12"
"230130","82","Запорізька область","навчально-виховний комплекс, вестибюль
вул.Шкільна, 1Е, с.Люцерна, Вільнянський р-н, Запорізька обл., 70037","904","313","897","22","573","18","591","","0","573","18","591","18","573","12","290","152","17","65","37","29.10.12"
"230131","82","Запорізька область","школа, к.2
вул.Гагаріна, 26А, с.Богатирівка, Вільнянський р-н, Запорізька обл., 70036","1056","518","1050","36","513","25","538","","0","513","25","538","46","492","32","206","91","47","55","61","28.10.12"
"230132","82","Запорізька область","адміністративний будинок сільської ради, актова зала
вул.Центральна, 18, с.Максимівка, Вільнянський р-н, Запорізька обл., 70024","568","222","564","45","308","38","346","","0","308","38","346","15","331","1","78","195","5","8","44","29.10.12"
"230133","82","Запорізька область","школа-сад, актова зала
вул.Нова, 1, с.Уральске, Вільнянський р-н, Запорізька обл., 70025","328","129","327","13","187","12","199","","0","187","12","199","8","191","0","76","97","6","6","6","28.10.12"
"230134","82","Запорізька область","будинок культури, танцювальна зала
вул.Леніна, 77В, с.Матвіївка, Вільнянський р-н, Запорізька обл., 70035","1872","860","1838","37","976","36","1012","","0","976","36","1012","55","957","15","284","408","31","82","137","29.10.12"
"230135","82","Запорізька область","будинок народної творчості, актова зала
вул.Леніна, 408Д, с.Матвіївка, Вільнянський р-н, Запорізька обл., 70035","1024","432","1020","57","535","57","592","","0","535","57","592","41","551","11","223","186","18","50","63","29.10.12"
"230136","82","Запорізька область","будинок культури, фойє
вул.Слободчикова, 13, с.Михайлівка, Вільнянський р-н, Запорізька обл., 70030","2176","964","2159","29","1184","28","1212","","0","1184","28","1212","59","1153","36","339","518","20","96","144","29.10.12"
"230137","82","Запорізька область","сільський клуб, актова зала
вул.Першотравнева, 40В, с.Соколівка, Вільнянський р-н, Запорізька обл., 70031","768","353","770","56","362","53","415","","0","362","53","415","25","390","2","180","149","7","19","33","29.10.12"
"230138","82","Запорізька область","будинок пошти, актова зала
вул.Дніпровська, 84Б, с.Вільноандріївка, Вільнянський р-н, Запорізька обл., 70032","592","210","583","23","359","23","382","","0","359","23","382","25","357","9","178","48","12","37","73","29.10.12"
