"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Григоришин
Роман
Мирославович","Дригало
Людмила
Борисівна","Зозуля
Руслан
Петрович","Костельнюк
Олександр
Васильович","Коча
Ігор
Юрійович","Ліневич
Олександр
Станіславович","Марченко
Олександр
Олександрович","Музика
Григорій
Дмитрович","Найвельт
Едуард
Михайлович","Нечас
Олександр
Вікторович","Пензарєв
Олексій
Якович","Підпалий
Юрій
Миколайович","Поляруш
Олександр
Олексійович","Чудновський
Віталій
Олегович","Дата підписання протоколу"
"000001","90","Київська область","
вул.Привокзальна, 3, м.Біла Церква, Київська обл.","60","42","18","0","18","0","18","","0","18","0","18","0","18","4","2","3","0","0","0","0","0","0","0","0","1","2","6","28.10.12"
"321097","90","Київська область","школа №8, великий спортзал
Гайок, м.Біла Церква, Київська обл., 09104","1998","678","1966","20","1303","17","1320","","0","1303","17","1320","31","1289","79","165","54","8","4","53","279","17","7","1","6","5","33","578","29.10.12"
"321098","90","Київська область","школа №8, малий спортивний зал
Гайок, м.Біла Церква, Київська обл., 09104","1836","640","1808","9","1187","9","1196","","0","1187","9","1196","38","1158","71","125","34","9","5","57","236","8","7","0","9","1","47","549","29.10.12"
"321099","90","Київська область","дитячо-юнацька спортивна школа ""Олімп"", хол
вул.Сломчинського, 15, м.Біла Церква, Київська обл., 09113","1998","840","1729","2","1157","1","1158","","0","1157","1","1158","23","1135","84","100","20","15","14","31","167","14","7","0","59","6","14","604","29.10.12"
"321100","90","Київська область","Білоцерківське вище професійне училище будівництва та сервісу, спортивний зал
вул.Турчанінова, 33/35, м.Біла Церква, Київська обл., 09113","2328","871","2290","38","1422","35","1457","","0","1422","35","1457","57","1400","136","186","42","13","4","71","447","12","7","5","9","6","20","442","29.10.12"
"321101","90","Київська область","Білоцерківське вище професійне училище будівництва та сервісу, вестибюль
вул.Турчанінова, 33/35, м.Біла Церква, Київська обл., 09113","468","166","468","1","301","1","302","","0","301","1","302","2","300","26","36","8","4","0","12","101","3","0","1","4","2","6","97","29.10.12"
"321102","90","Київська область","Білоцекрівський медичний коледж, фойє
вул.Сквирське шосе, 240, м.Біла Церква, Київська обл., 09113","2436","923","2432","13","1501","12","1513","","0","1501","12","1513","27","1486","148","201","58","16","5","64","321","10","5","2","5","1","8","642","29.10.12"
"321103","90","Київська область","школа №5, вестибюль
вул.Крижанівського, 7, м.Біла Церква, Київська обл., 09113","2496","867","2475","45","1592","37","1629","","0","1592","37","1629","48","1581","37","228","51","4","7","88","533","19","7","3","25","5","32","542","29.10.12"
"321104","90","Київська область","школа №5, спортивний зал
вул.Крижанівського, 7, м.Біла Церква, Київська обл., 09113","318","98","321","6","214","6","220","","0","214","6","220","9","211","15","45","6","0","1","28","73","3","0","0","2","0","0","38","29.10.12"
"321105","90","Київська область","Дитяча стоматологічна поліклініка, хол
вул.Січневого прориву, 2, м.Біла Церква, Київська обл., 09113","2394","865","2367","43","1497","32","1529","","0","1497","32","1529","28","1501","107","190","42","12","11","76","561","11","6","8","27","4","26","420","29.10.12"
"321106","90","Київська область","навчальний корпус №6 юридичного факультету аграрного університету, хол
бульв.50-річчя Перемоги, 96, м.Біла Церква, Київська обл., 09113","1908","770","1877","17","1124","14","1138","","0","1124","14","1138","31","1107","103","160","38","14","3","38","397","8","6","1","8","4","16","311","29.10.12"
"321107","90","Київська область","готель ""Рось"", фойє
бульв.50-річчя Перемоги, 94, м.Біла Церква, Київська обл., 09113","1476","425","1473","8","1045","6","1051","","0","1045","6","1051","16","1035","86","140","34","2","5","37","384","9","1","3","9","3","6","316","29.10.12"
"321108","90","Київська область","поліклініка сімейної медицини, хол
вул.Щорса, 65А, м.Біла Церква, Київська обл., 09113","1920","611","1913","22","1293","16","1309","","0","1293","16","1309","25","1284","94","152","35","10","11","32","542","6","2","1","22","5","2","370","29.10.12"
"321109","90","Київська область","школа №6, центральний вестибюль
вул.Сломчинського, 8, м.Біла Церква, Київська обл., 09113","2472","923","2443","25","1524","25","1549","","0","1524","25","1549","39","1510","125","220","49","11","11","69","528","16","7","2","17","3","22","430","29.10.12"
"321110","90","Київська область","школа №6, вестибюль 2
вул.Сломчинського, 8, м.Біла Церква, Київська обл., 09113","1662","661","1349","0","1001","0","1001","","0","1001","0","1001","13","988","58","49","19","17","8","19","57","12","5","3","8","7","7","719","28.10.12"
"321111","90","Київська область","7 спортивний клуб Міноборони України, спортзал
бульв.50-річчя Перемоги, 54Г, м.Біла Церква, Київська обл., 09117","2274","828","2246","34","1413","33","1446","","0","1413","33","1446","40","1406","110","230","36","11","6","68","469","0","3","0","20","0","2","451","29.10.12"
