"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Микола
Васильович","Горбик
Володимир
Миколайович","Довгаль
Олександр
Петрович","Запара
Микола
Іванович","Кравченко
Василь
Віталійович","Мисак
Ігор
Миколайович","Онищук
Любов
Іванівна","Опришко
Олександр
Миколайович","Поплавський
Михайло
Михайлович","Пустова
Тамара
Вікторівна","Сольвар
Руслан
Миколайович","Суслов
Олександр
Іванович","Токар
Валерій
Олексійович","Чулков
Олександр
Володимирович","Дата підписання протоколу"
"320562","91","Київська область","будинок культури, фойє
вул.Шкільна, 6, с.Бобриця, Києво-Святошинський р-н, Київська обл., 08142","498","160","493","14","324","14","338","","0","324","14","338","14","324","10","15","5","2","9","0","105","2","69","1","85","4","4","13","28.10.12"
"320578","91","Київська область","школа, фойє
вул.Леніна, 19, с.Бузова, Києво-Святошинський р-н, Київська обл., 08120","1266","447","1274","33","786","33","819","","0","786","33","819","31","788","23","18","21","2","12","3","146","4","107","6","415","14","9","8","30.10.12"
"320579","91","Київська область","будинок культури, актова зала, 1-й поверх
вул.Київська, 78/1, с.Гурівщина, Києво-Святошинський р-н, Київська обл., 08124","762","306","759","26","432","24","456","","0","432","24","456","15","440","27","45","17","3","6","1","107","6","101","5","111","8","0","3","30.10.12"
"320580","91","Київська область","клуб, фойє
вул.Кучерова, 58А, с.Хмільна, Києво-Святошинський р-н, Київська обл., 08124","150","48","158","0","102","0","102","","0","102","0","102","8","94","8","4","2","5","1","0","16","0","37","3","13","2","2","1","30.10.12"
"320581","91","Київська область","сільська рада, зал засідань, 2-й поверх
вул.Боярська, 4, с.Віта-Поштова, Києво-Святошинський р-н, Київська обл., 08170","1476","567","1518","14","898","11","909","","0","898","11","909","22","887","15","23","26","5","13","3","137","3","213","8","399","19","8","15","30.10.12"
"320582","91","Київська область","школа, фойє
вул.Шевченка, 3, с.Юрівка, Києво-Святошинський р-н, Київська обл., 08170","798","348","799","10","443","7","450","","0","443","7","450","10","440","2","8","17","0","2","1","131","1","138","4","119","4","5","8","28.10.12"
"320597","91","Київська область","школа, фойє
вул.Космонавтів, 1, с.Гатне, Києво-Святошинський р-н, Київська обл., 08160","1476","604","1483","11","862","10","872","","0","862","10","872","19","853","18","26","8","3","8","2","170","0","184","9","387","18","10","10","28.10.12"
"320598","91","Київська область","сільська рада, фойє, 2-й поверх
вул.Київська, 138, с.Гатне, Києво-Святошинський р-н, Київська обл., 08160","1350","487","1350","17","848","15","863","","0","846","15","861","30","831","16","18","11","3","7","2","157","0","138","6","451","10","3","9","29.10.12"
"320607","91","Київська область","школа, фойє
вул.Грисюка, 2, с.Забір’я, Києво-Святошинський р-н, Київська обл., 08145","1356","418","1387","23","915","23","938","","0","915","23","938","28","910","17","23","12","1","19","3","298","5","249","4","252","13","3","11","29.10.12"
"320608","91","Київська область","громадський центр, фойє
вул.Леніна, 2Б, с.Княжичі, Києво-Святошинський р-н, Київська обл., 08143","738","277","730","19","442","19","461","","0","442","19","461","5","456","4","19","4","4","6","0","94","2","186","3","117","6","1","10","29.10.12"
"320609","91","Київська область","сільський клуб, фойє
вул.Комсомольська, 2, с.Жорнівка, Києво-Святошинський р-н, Київська обл., 08143","426","119","423","17","292","15","307","","0","292","15","307","8","299","6","8","2","0","4","1","98","3","65","2","101","3","2","4","28.10.12"
