"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гудзенко
Віталій
Іванович","Гученко
Петро
Федорович","Демиденко
Євгеній
Вікторович","Добровольський
Володимир
Олександрович","Долюк
Олег
Борисович","Іонов
Олександр
Васильович","Кацуба
Сергій
Володимирович","Колодіна
Ярослава
Іванівна","Миненок
Наталія
Юріївна","Мороз
Олександр
Володимирович","Нечипорук
Юрій
Володимирович","Паршин
Олександр
Володимирович","Писанна
Надія
Андріївна","Радамовський
Микола
Миколайович","Рафальська
Валентина
Леонідівна","Савчук
Юрій
Степанович","Світовенко
Віктор
Вікторович","Світовенко
Максим
Володимирович","Тагієв
Ровшан
Сурхай Огли","Титаренко
Віталій
Анатолійович","Титарчук
Василь
Васильович","Ушинський
Олександр
Євгенович","Федоренко
Павло
Іванович"
"320037","92","Київська область","школа №5, актова зала
вул.Висока, 8, м.Узин, Білоцерківський р-н, Київська обл., 09161","1028","376","1024","64","595","57","652","","0","595","57","652","20","632","307","2","0","3","0","0","164","12","0","1","2","1","0","1","0","1","91","3","0","26","5","3",""
"320038","92","Київська область","школа №1, фойє
вул.Червоноармійська, 11А, м.Узин, Білоцерківський р-н, Київська обл., 09161","1792","707","1786","31","1062","23","1085","","0","1062","23","1085","24","1061","524","3","4","2","1","0","139","31","1","7","0","0","1","1","0","12","264","10","2","36","5","4",""
"320039","92","Київська область","офісне приміщення Товариства з обмеженою відповідальністю ""Техноінвестбуд""
вул. Поповича, 150, м.Узин, Білоцерківський р-н, Київська обл., 09161","700","260","682","29","413","27","440","","0","413","27","440","14","426","243","2","2","1","1","0","46","21","2","0","0","0","0","0","0","4","75","5","0","14","5","3",""
"320040","92","Київська область","центр ""Зоря"", актова зала
вул.Жовтнева, 27, м.Узин, Білоцерківський р-н, Київська обл., 09161","1164","432","1165","18","716","16","732","","0","716","16","732","19","713","284","3","0","3","0","0","192","21","1","3","2","0","3","1","1","2","153","12","1","14","3","3",""
"320041","92","Київська область","районний будинок культури, фойє
вул.Карла Маркса, 1, м.Узин, Білоцерківський р-н, Київська обл., 09161","1608","710","1599","25","873","25","898","","0","873","25","898","26","872","374","3","4","2","0","0","186","10","0","2","1","0","3","1","0","5","234","9","0","21","6","1",""
"320042","92","Київська область","гімназія, актова зала
вул.Жовтнева, 30, м.Узин, Білоцерківський р-н, Київська обл., 09161","1956","864","1935","15","1079","13","1092","","0","1079","13","1092","29","1063","361","0","3","2","0","0","366","15","2","7","1","3","0","2","0","1","218","8","2","28","4","3",""
"320043","92","Київська область","школа №2, спортивна зала
вул.Леніна, 64А, м.Узин, Білоцерківський р-н, Київська обл., 09161","1972","846","1951","12","1117","9","1126","","0","1117","9","1126","18","1108","436","2","4","2","1","0","384","32","1","5","1","0","2","0","0","7","174","9","0","29","3","2",""
"320044","92","Київська область","будинок культури, актова зала
вул.Першотравнева, 4, смт Терезине, Білоцерківський р-н, Київська обл., 09133","1160","349","1144","26","789","22","811","","0","789","22","811","17","794","181","3","0","3","0","1","167","20","0","2","1","1","0","1","0","4","238","7","2","147","12","2",""
"320045","92","Київська область","школа, фойє
вул.П.Кабули, 3, с.Бикова Гребля, Білоцерківський р-н, Київська обл., 09180","392","74","393","30","288","30","318","","0","288","30","318","5","313","47","1","0","0","1","0","187","3","0","0","1","0","0","0","0","1","63","0","0","5","0","1",""
"320046","92","Київська область","будинок культури, танцювальний зал
вул.Леніна, 22,с.Черкас, Білоцерківський р-н, Київська обл., 09180","480","101","476","35","345","34","379","","0","345","34","379","12","367","143","0","4","0","0","1","151","2","1","1","0","0","1","0","1","1","38","7","0","7","8","1",""
"320047","92","Київська область","будинок культури, фойє
вул.Леніна, 14, с.Василів, Білоцерківський р-н, Київська обл., 09141","212","48","208","21","143","21","164","","0","0","0","164","6","158","93","0","0","0","0","1","43","0","0","0","0","0","0","0","0","2","12","0","0","6","0","0",""
"320048","92","Київська область","будинок культури, актова зала
вул.Травнева, 1Д, с.Вільна Тарасівка, Білоцерківський р-н, Київська обл., 09132","704","178","707","61","467","59","526","","0","467","59","526","19","507","65","1","4","3","1","1","170","4","0","4","2","1","0","3","1","4","202","10","2","13","8","2",""
"320049","92","Київська область","сільський клуб, фойє
вул.Леніна, 39, с.Глушки, Білоцерківський р-н, Київська обл., 09135","368","75","364","23","270","23","293","","0","270","23","293","6","287","77","1","1","1","1","0","108","3","1","5","1","0","1","1","0","0","58","2","1","8","3","0",""
"320050","92","Київська область","будинок культури, фойє
вул.Польова, 1В, с.Дрозди, Білоцерківський р-н, Київська обл., 09130","792","189","775","72","531","72","603","","0","531","72","603","23","579","162","2","3","1","0","1","188","13","1","8","0","1","3","5","0","7","141","7","4","11","8","4",""
"320051","92","Київська область","Товариство з обмеженою відповідальністю ""Дім"", зала їдальні
вул.Радянська, Товариство з обмеженою відповідальністю ""Дім"", с.Мазепинці, Білоцерківський р-н, Київська обл., 09130","272","41","276","42","190","41","231","","0","190","41","231","11","220","84","1","2","1","1","0","54","2","0","3","2","1","0","3","0","4","52","3","0","4","1","1",""
"320052","92","Київська область","будинок культури, актова зала
вул.Жовтнева, 72А, с.Іванівка, Білоцерківський р-н, Київська обл., 09145","680","139","684","55","494","47","541","","0","494","47","541","9","532","461","2","0","0","0","0","47","1","0","1","0","0","0","0","0","2","13","1","1","2","1","0",""
"320053","92","Київська область","Товариство з обмеженою відповідальністю ""Надія"", актова зала
вул.Радянська, 44, с.Йосипівка, Білоцерківський р-н, Київська обл., 09142","276","60","276","34","183","33","216","","0","183","33","216","5","211","116","1","0","0","0","0","39","3","0","1","0","0","1","0","0","0","42","2","1","4","0","0",""
"320054","92","Київська область","сільський клуб, актова зала
вул.Пролетарська, 26, с.Красне, Білоцерківський р-н, Київська обл., 09143","164","30","161","24","110","24","134","","0","110","24","134","4","130","87","0","0","0","0","1","36","1","0","0","0","0","0","0","0","0","4","0","0","1","0","0",""
"320055","92","Київська область","навчально-виховне об’єднання, фойє
вул.Новосельська, 49, с.Коженики, Білоцерківський р-н, Київська обл., 09171","352","80","350","76","199","73","272","","0","199","73","272","8","264","28","0","0","0","0","0","136","3","4","1","0","1","0","0","1","0","81","2","1","1","1","2",""
"320056","92","Київська область","сільський клуб, танцювальна зала
вул.Комсомольська, 2, с.Макіївка, Білоцерківський р-н, Київська обл., 09140","452","39","460","89","324","89","413","","0","324","89","413","14","399","121","1","0","0","0","2","229","0","1","1","0","0","0","0","0","0","30","0","0","10","0","2",""
"320057","92","Київська область","навчально-виховне об’єднання, фойє
вул.Комінтерна, 3, с.Мала Антонівка, Білоцерківський р-н, Київська обл., 09138","404","137","398","32","238","29","267","","0","238","29","267","8","259","70","0","0","2","1","0","75","6","0","2","1","0","0","0","2","2","67","6","0","8","3","0",""
"320058","92","Київська область","будинок культури, актова зала
вул.Перемоги, 24А, с.Мала Вільшанка, Білоцерківський р-н, Київська обл., 09175","948","295","936","36","618","35","653","","0","618","35","653","29","624","106","5","0","1","1","2","268","10","1","3","1","1","0","0","2","4","184","9","2","7","12","0",""
