"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабушкін
Віктор
Матвійович","Гринчук
Віктор
Васильович","Книш
Ніна
Миколаївна","Кравчук
Анна
Миколаївна","Крищенко
Катерина
Сергіївна","Малкова
Інна
Миколаївна","Мартиненко
Тамара
Ярославівна","Медведєв
Олександр
Васильович","Мороз
Олександр
Олександрович","Мостіпан
Уляна
Миколаївна","Онищенко
Олександр
Романович","Первухін
Ігор
Миколайович","Смірнов
Олександр
Володимирович","Стельмах
Микола
Іванович","Стужук
Олена
Анатоліївна","Тарасенко
Леся
Іванівна","Томашевський
Віктор
Михайлович","Яра
Оксана
Олександрівна","Дата підписання протоколу"
"000001","93","Київська область","кімната для проведення слідчих дій Кагарлицького РВ ГУ МВС України
вул.Комсомольська, 13, м.Кагарлик, Київська обл., 09200","20","11","9","0","9","0","9","","0","9","0","9","0","9","0","2","0","1","0","0","0","0","0","1","4","0","1","0","0","0","0","0","29.10.12"
"320094","93","Київська область","школа №2, фойє
вул.Училищна, 11, м.Богуслав, Богуславський р-н, Київська обл., 09700","2012","387","1995","219","1416","209","1625","","0","1416","209","1625","28","1597","5","20","12","3","3","10","8","6","98","517","862","9","10","1","4","7","16","6","29.10.12"
"320095","93","Київська область","будинок школяра, актовий зал
пров.Корсунський, 11, м.Богуслав, Богуславський р-н, Київська обл., 09700","1804","761","1785","73","1002","41","1043","","0","1002","41","1043","28","1015","3","5","3","0","0","0","0","0","123","410","463","0","0","0","0","0","8","0","29.10.12"
"320096","93","Київська область","школа №3, фойє
вул.Свердлова, 54, м.Богуслав, Богуславський р-н, Київська обл., 09700","1832","589","1818","66","1188","55","1243","","0","1188","55","1243","20","1223","0","5","2","3","1","1","4","2","134","409","645","3","6","1","2","0","5","0","30.10.12"
"320097","93","Київська область","будинок культури, зал для урочистих подій
вул.Острів, 1, м.Богуслав, Богуславський р-н, Київська обл., 09700","1524","401","1519","47","1076","47","1123","","0","1076","47","1123","11","1112","2","17","5","2","3","6","11","3","71","167","766","14","4","4","2","4","26","5","29.10.12"
"320098","93","Київська область","школа №1, фойє
вул.Миколаївська, 72, м.Богуслав, Богуславський р-н, Київська обл., 09700","2284","607","2273","241","1452","225","1677","","0","1452","225","1677","26","1651","0","22","7","10","3","15","5","3","144","205","1197","6","5","4","3","4","17","1","29.10.12"
"320099","93","Київська область","спортивна школа, фойє
вул.40-років Перемоги, 10, м.Богуслав, Богуславський р-н, Київська обл., 09700","2004","672","1970","73","1268","64","1332","","0","1268","64","1332","25","1307","0","14","5","9","1","4","2","4","130","410","693","2","8","0","7","2","15","1","29.10.12"
"320100","93","Київська область","Вище професійне училище сфери послуг, фойє
вул.Миколаївська, 122, м.Богуслав, Богуславський р-н, Київська обл., 09700","2068","657","2047","24","1389","22","1411","","0","1389","22","1411","25","1386","7","21","6","5","1","8","10","3","72","190","1001","10","5","9","4","8","23","3","29.10.12"
"320101","93","Київська область","будинок культури, к.1
вул.Леніна, 2, с.Мисайлівка, Богуславський р-н, Київська обл., 09712","1412","314","1403","101","1005","93","1098","","0","1005","93","1098","3","1095","0","0","0","0","0","0","0","0","130","331","622","0","0","0","0","0","12","0","29.10.12"
"320102","93","Київська область","будинок культури, фойє
вул.Центральна, 6, с.Чайки, Богуславський р-н, Київська обл., 09713","316","58","315","20","238","20","258","","0","238","20","258","2","256","2","6","1","1","0","2","1","2","22","112","93","0","2","2","0","1","9","0","29.10.12"
