"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Засуха
Тетяна
Володимирівна","Кияниця
Валерій
Миколайович","Лазебник
Віталій
Михайлович","Михайлівський
Юрій
Ігорович","Мосійчук
Ігор
Володимирович","Онищенко
Віталій
Петрович","Пашкевич
Станіслав
Петрович","Попович
Валерій
Федорович","Продіус
Віктор
Миколайович","Романюк
Віктор
Миколайович","Савицький
Володимир
Іванович","Скороход
Андрій
Валерійович","Тимченко
Катерина
Петрівна","Тугай
Сергій
Іванович","Яковець
Юрій
Миколайович","Дата підписання протоколу"
"000001","94","Київська область","
вул.Луначарського, 1, м. Васильків, Київська обл., 08600","16","3","18","0","13","0","13","","0","13","0","13","0","13","10","0","0","0","0","0","0","0","0","2","0","0","1","0","0","28.10.12"
"320278","94","Київська область","навчально-виховний комплекс, актовий зал
вул.Леніна, 38, с.Барахти, Васильківський р-н, Київська обл., 08646","844","323","838","55","470","51","521","","0","470","51","521","14","507","268","13","4","2","5","1","2","13","2","189","1","3","3","0","1","30.10.12"
"320279","94","Київська область","Приватне підприємство ""Агрофірма Данилівська"", актовий зал
вул.Леніна, 1А, с.Варовичі, Васильківський р-н, Київська обл., 08619","284","53","280","19","213","18","231","","0","213","18","231","6","225","134","5","1","0","4","0","1","0","0","79","0","0","0","0","1","28.10.12"
"320280","94","Київська область","будинок культури, фойє
вул.Шевченка, 37, с.Велика Бугаївка, Васильківський р-н, Київська обл., 08636","460","152","454","38","273","35","308","","0","273","35","308","6","302","197","9","3","1","1","2","2","14","1","67","0","0","0","2","3","29.10.12"
"320281","94","Київська область","сільська рада, зал засідань
вул.Польова, 1, с.Велика Вільшанка, Васильківський р-н, Київська обл., 08671","680","247","674","57","380","53","433","","0","380","53","433","22","411","223","12","5","4","7","3","9","8","1","123","4","1","4","3","4","28.10.12"
"320282","94","Київська область","школа, вестибюль
вул.Леніна, 36, с.Велика Солтанівка, Васильківський р-н, Київська обл., 08641","520","178","513","54","290","52","342","","0","290","52","342","9","333","152","10","6","1","5","0","5","3","4","134","3","0","4","1","5","29.10.12"
"320283","94","Київська область","навчально-виховний комплекс, вестибюль
вул.Щорса, 7А, с.Вінницькі Стави, Васильківський р-н, Київська обл., 08651","344","36","341","26","282","26","308","","0","282","26","308","2","306","294","0","0","0","1","1","0","0","0","10","0","0","0","0","0","28.10.12"
"320284","94","Київська область","школа, вестибюль
вул.Леніна, 10, с.Вільшанська-Новоселиця, Васильківський р-н, Київська обл., 08675","368","127","363","47","196","45","241","","0","196","45","241","10","231","61","11","2","1","6","1","6","4","1","121","1","4","3","1","8","28.10.12"
"320285","94","Київська область","сільський клуб, актовий зал
вул.Леніна, 2, с.Гвоздів, Васильківський р-н, Київська обл., 08634","352","126","350","14","212","14","226","","0","212","14","226","9","217","142","11","2","0","1","1","4","8","1","36","0","2","2","5","2","29.10.12"
"320286","94","Київська область","школа, вестибюль
вул.Вокзальна, 20, смт Глеваха, Васильківський р-н, Київська обл., 08631","2180","728","2163","5","1447","5","1452","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320287","94","Київська область","Науковий національний центр ""Інститут механізації та електрофікації сільського господарстрва"", фойє
вул.Вокзальна, 11, смт Глеваха, Васильківський р-н, Київська обл., 08631","1668","699","1637","19","957","12","969","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320288","94","Київська область","будинок культури, зал
вул.Київська, 78, смт Глеваха, Васильківський р-н, Київська обл., 08631","2084","830","2076","14","1243","11","1254","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320289","94","Київська область","кафе ""Патіфон"", фойє
вул.Київська, 96, смт Глеваха, Васильківський р-н, Київська обл., 08631","1880","863","1863","5","1013","4","1017","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320290","94","Київська область","вул.Південна,3, смт Гребінки, Васильківський р-н, Київська обл., 08662
вул.Південна,3, смт Гребінки, Васильківський р-н, Київська обл., 08662","1464","397","1454","29","1048","19","1067","","0","1048","19","1067","18","1049","683","30","6","0","6","0","19","5","0","300","0","0","0","0","0","28.10.12"
"320291","94","Київська область","Міжшкільний навчально-виробничий комбінат, актовий зал
вул.Карла Маркса, 94, смт Гребінки, Васильківський р-н, Київська обл., 08662","1300","417","1287","46","842","41","883","","0","842","41","883","6","877","512","12","4","0","3","1","8","8","4","313","1","2","1","0","8","29.10.12"
"320292","94","Київська область","гімназія, зал, 2-й поверх
вул.Леніна, 5, смт Гребінки, Васильківський р-н, Київська обл., 08662","1384","464","1367","48","876","44","920","","0","876","44","920","10","910","459","11","8","2","7","3","11","14","3","377","1","5","4","0","5","28.10.12"
"320293","94","Київська область","школа, актовий зал, 2-й поверх
вул.Леніна, 23, смт Гребінки, Васильківський р-н, Київська обл., 08662","1512","475","1500","31","1008","29","1037","","0","1008","29","1037","13","1024","585","15","8","3","6","2","27","16","1","347","3","4","3","1","3","29.10.12"
"320294","94","Київська область","будинок культури, актовий зал
військове містечко 21, будинок культури, с.Данилівка, Васильківський р-н, Київська обл., 08619","1604","674","1529","4","926","4","930","","0","926","4","930","20","910","334","37","23","5","11","14","58","24","10","339","10","5","14","4","22","29.10.12"
"320295","94","Київська область","школа, спортивний зал
вул.Щорса, 88, с.Данилівка, Васильківський р-н, Київська обл., 08618","1268","659","1235","31","584","25","609","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320296","94","Київська область","навчально-виховний комплекс, вестибюль
вул.Грушевського, 34, с.Дзвінкове, Васильківський р-н, Київська обл., 08620","244","70","243","22","152","22","174","","0","152","22","174","2","172","74","15","4","0","0","0","3","1","0","73","1","0","0","0","1","28.10.12"
"320297","94","Київська область","будинок культури, актовий зал
вул.Леніна, 19, с.Діброва, Васильківський р-н, Київська обл., 08627","924","361","925","24","539","24","563","","0","539","24","563","13","550","159","53","8","0","6","2","7","5","3","296","0","1","2","1","7","30.10.12"
"320298","94","Київська область","школа, спортивний зал
вул.Вчених, 1, смт Дослідницьке, Васильківський р-н, Київська обл., 08654","1744","490","1736","22","1233","21","1254","","0","1233","21","1254","26","1228","642","22","10","4","11","6","15","16","5","479","4","2","3","1","8","28.10.12"
"320299","94","Київська область","бібліотека, зал
вул.Мічуріна, 6, с.Залізне, Васильківський р-н, Київська обл., 08606","696","233","749","12","452","11","463","","0","452","11","463","11","452","222","6","13","2","5","3","23","26","2","137","2","1","5","3","2","29.10.12"
"320300","94","Київська область","школа, вестибюль
вул.Пушкінська, 28, с.Здоровка, Васильківський р-н, Київська обл., 08628","1060","483","1047","30","548","29","577","","0","548","29","577","16","561","213","15","11","1","10","1","13","19","0","260","5","3","2","2","6","29.10.12"
"320301","94","Київська область","школа, вестибюль, 1-й поверх
вул.Освіти, 11, с.Зелений Бір, Васильківський р-н, Київська обл., 08635","680","271","672","17","392","17","409","","0","392","17","409","13","396","148","17","4","0","5","1","17","4","2","184","2","1","2","4","5","30.10.12"
