"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бовсуновський
Олександр
Михайлович","Захарчук
Микола
Петрович","Кандиба
Олександр
Володимирович","Крейнін
Дмитро
Олександрович","Купченко
Вадим
Володимирович","Лупейко
Олександр
Васильович","Москаленко
Ярослав
Миколайович","Наєлапєа
Галина
Миколаївна","Дата підписання протоколу"
"320182","96","Київська область","селищна рада, обрядова зала
вул.1 Травня, 64А, смт Бабинці, Бородянський р-н, Київська обл., 07832","1088","495","1078","34","563","30","593","","0","563","30","593","17","576","31","31","294","56","10","3","142","9","28.10.12"
"320183","96","Київська область","школа, їдальня
вул.1 Травня, 68, смт Бабинці, Бородянський р-н, Київська обл., 07832","1056","507","1045","49","507","42","549","","0","507","42","549","7","542","37","9","234","70","13","2","163","14","28.10.12"
"320184","96","Київська область","сільський клуб, глядацька зала
вул.Великого Жовтня, 2, с.Буда Бабинецька, Бородянський р-н, Київська обл., 07832","256","96","249","13","149","11","160","","0","149","11","160","6","154","7","9","71","5","1","0","60","1","28.10.12"
"320185","96","Київська область","школа №2, вестибюль
вул.Паркова, 5, смт Бородянка, Бородянський р-н, Київська обл., 07800","2264","977","2256","17","1272","15","1287","","0","1272","15","1287","24","1263","25","51","478","255","19","16","390","29","29.10.12"
"320186","96","Київська область","школа №1, рекреація, коридор
вул.Леніна, 222, смт Бородянка, Бородянський р-н, Київська обл., 07800","2160","1101","2127","82","982","77","1059","","0","982","77","1059","36","1023","9","52","415","149","9","13","361","15","29.10.12"
"320187","96","Київська область","Палац культури ім.Т.Г.Шевченка, фойє
вул.Паркова, 1А, смт Бородянка, Бородянський р-н, Київська обл., 07800","2264","1051","2252","22","1195","18","1213","","0","1194","18","1212","26","1186","9","51","501","221","9","8","359","28","29.10.12"
"320188","96","Київська область","професійний аграрний ліцей, фойє
пл.Київська, 3, смт Бородянка, Бородянський р-н, Київська обл., 07800","2224","1056","2211","15","1158","10","1168","","0","1158","10","1168","33","1134","14","52","482","229","6","11","316","24","29.10.12"
"320189","96","Київська область","Приватне акціонерне товариство ""Бородянське автотранспортне підприємство 13237"", к.23
вул.Вокзальна, 88, смт Бородянка, Бородянський р-н, Київська обл., 07800","1696","778","1683","18","906","12","918","","0","906","12","918","29","889","7","48","420","179","2","9","206","18","28.10.12"
"320190","96","Київська область","Державне підприємство ""Клавдіївське лісове господарство"", актова зала
вул.В.Жовтня, 4, смт Клавдієво-Тарасове, Бородянський р-н, Київська обл., 07850","1760","805","1746","37","924","31","955","","0","923","31","954","29","925","13","45","482","147","8","10","198","22","31.10.12"
"320191","96","Київська область","шкільний клуб, актова зала
вул.Франка, 9, смт Клавдієво-Тарасове, Бородянський р-н, Київська обл., 07850","2296","997","2283","54","1257","42","1299","","0","1256","42","1298","35","1263","13","66","677","199","12","19","259","18","29.10.12"
"320192","96","Київська область","будинок культури, обрядова зала
вул.Петровського, 1, смт Немішаєве, Бородянський р-н, Київська обл., 07853","2440","897","2413","47","1508","35","1543","","0","1508","35","1543","53","1490","28","55","798","229","8","15","333","24","29.10.12"
"320193","96","Київська область","будинок побуту, кімната засідань майстерні художньої творчості
вул.Технікумівська, 1, смт Немішаєве, Бородянський р-н, Київська обл., 07853","2424","1063","2408","12","1355","6","1361","","0","1355","6","1361","34","1327","46","53","685","247","3","13","255","25","29.10.12"
"320194","96","Київська область","гімназія, фойє
вул.Н.Сосніної, 12А, смт Пісківка, Бородянський р-н, Київська обл., 07820","2456","1186","2427","39","1239","31","1270","","0","1239","31","1270","38","1232","12","85","542","191","15","38","329","20","31.10.12"
"320195","96","Київська область","школа, спортивна зала
вул.Піонерська, 33, смт Пісківка, Бородянський р-н, Київська обл., 07820","1848","985","1829","60","817","46","863","","0","817","46","863","28","835","11","52","352","122","8","18","251","21","30.10.12"
"320196","96","Київська область","будинок культури, глядацька зала
вул.Шевченка, 2, смт Пісківка, Бородянський р-н, Київська обл., 07820","1280","605","1288","43","638","37","675","","0","638","37","675","33","642","8","51","262","119","8","11","169","14","29.10.12"
"320197","96","Київська область","сільський клуб, глядацька зала
вул.Раска, 43, с.Раска, Бородянський р-н, Київська обл., 07820","96","27","96","9","60","9","69","","0","60","9","69","1","68","2","1","13","4","0","1","47","0","29.10.12"
"320198","96","Київська область","будинок культури, фойє
вул.Леніна, 1, с.Блиставиця, Бородянський р-н, Київська обл., 07835","864","293","853","47","527","44","571","","0","527","44","571","29","542","2","25","240","81","8","6","163","17","29.10.12"
"320199","96","Київська область","будинок культури, актова зала
вул.Леніна, 1, с.Дружня, Бородянський р-н, Київська обл., 07807","1520","681","1488","68","773","66","839","","0","773","66","839","21","818","12","29","234","87","8","5","423","20","28.10.12"
"320200","96","Київська область","сільський клуб, актова зала
вул.Червонопрапорна, 80, с.Жовтневе, Бородянський р-н, Київська обл., 07841","160","55","155","17","88","17","105","","0","88","17","105","1","104","1","2","31","2","1","3","61","3","28.10.12"
"320201","96","Київська область","сільський клуб, актова зала
вул.Гагаріна, 41, с.Озерщина, Бородянський р-н, Київська обл., 07841","144","39","136","17","90","15","105","","0","90","15","105","6","99","2","2","55","7","2","0","30","1","28.10.12"
"320202","96","Київська область","сільська рада, актова зала
вул.Жовтнева, 136Б, с.Загальці, Бородянський р-н, Київська обл., 07823","1632","863","1625","33","740","29","769","","0","740","29","769","26","743","11","45","330","106","7","11","211","22","29.10.12"
"320203","96","Київська область","будинок культури, актова зала
вул.Піонерська, 33, с.Нова Буда, Бородянський р-н, Київська обл., 07823","632","296","625","29","309","27","336","","0","309","27","336","7","329","4","15","156","34","2","7","101","10","30.10.12"
"320204","96","Київська область","будинок культури, актова зала
вул.Поташня, 114Б, с.Поташня, Бородянський р-н, Київська обл., 07823","184","66","173","11","107","11","118","","0","107","11","118","1","117","1","8","45","7","2","0","53","1","28.10.12"
"320205","96","Київська область","будинок культури, актова зала
вул.Леніна, 104, с.Здвижівка, Бородянський р-н, Київська обл., 07830","816","263","809","62","493","60","553","","0","493","60","553","28","525","15","21","209","59","6","7","195","13","28.10.12"
"320206","96","Київська область","сільський клуб, фойє
вул.Кооперативна, 113, с.Качали, Бородянський р-н, Київська обл., 07813","440","189","429","20","234","17","251","","0","234","17","251","13","238","4","7","92","12","1","1","115","6","28.10.12"
"320207","96","Київська область","Фельдшерсько- акушерський пункт, приймальна кімната
вул.Леніна, 71А, с.Галинка, Бородянський р-н, Київська обл., 07813","216","79","208","30","108","29","137","","0","108","29","137","2","135","7","2","52","14","1","0","56","3","28.10.12"
"320208","96","Київська область","Фельдшерсько- акушерський пункт, приймальна кімната
вул.Короленка, 42А, с.Стара Буда, Бородянський р-н, Київська обл., 07813","72","13","72","4","55","4","59","","0","55","4","59","6","53","0","1","10","7","3","0","32","0","28.10.12"
"320209","96","Київська область","будинок культури, фойє
вул.Шкільна, 42/1, с.Козинці, Бородянський р-н, Київська обл., 07855","840","306","827","28","507","27","534","","0","507","27","534","20","514","4","18","248","54","4","5","171","10","31.10.12"
"320210","96","Київська область","сільський клуб, актова зала
вул.Шевченка, 16/1, с.Діброво-Ленінське, Бородянський р-н, Київська обл., 07855","312","116","310","10","186","10","196","","0","186","10","196","6","190","2","11","112","10","3","2","46","4","28.10.12"
"320211","96","Київська область","школа, спортивна зала
вул.Шевченка, 17, с.Луб’янка, Бородянський р-н, Київська обл., 07831","944","324","943","60","562","58","620","","0","562","58","620","16","604","10","30","254","78","8","7","208","9","29.10.12"
"320212","96","Київська область","сільський клуб, актова зала
вул.Кірова, 25, с.Майданівка, Бородянський р-н, Київська обл., 07824","624","244","619","27","355","25","380","","0","355","25","380","16","364","6","22","84","26","7","4","210","5","28.10.12"
"320213","96","Київська область","будинок культури, актова зала
вул.Петровського, 2В, с.Мигалки, Бородянський р-н, Київська обл., 07822","928","338","922","37","554","36","590","","0","554","36","590","21","569","7","34","220","65","6","7","220","10","28.10.12"
"320214","96","Київська область","сільська рада, бібліотека
вул.Центральна, 1, с.Микуличі, Бородянський р-н, Київська обл., 07852","2112","842","2090","58","1213","57","1270","","0","1213","57","1270","25","1245","26","36","629","98","30","12","397","17","29.10.12"
"320215","96","Київська область","сільський клуб, фойє
вул.Петровського, 1, с.Мирча, Бородянський р-н, Київська обл., 07810","528","194","528","64","275","59","334","","0","275","59","334","11","323","6","18","92","27","2","5","170","3","28.10.12"
