"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аскєров
Хазар
Думан Огли","Базір
Анатолій
Михайлович","Галицький
Володимир
Віталійович","Говоруха
Юрій
Миколайович","Діденко
Микола
Федорович","Іваненко
Олег
Валерійович","Коробчинський
Артур
Валерійович","Коханівський
Микола
Миколайович","Кравець
Юрій
Григорович","Куліченко
Олеся
Юріївна","Мотрич
Лариса
Михайлівна","Немчина
Тетяна
Федорівна","Петров
Володимир
Георгійович","Ратніков
Дмитро
Геннадійович","Ришко
Григорій
Васильович","Різаненко
Павло
Олександрович","Розуменко
Микола
Васильович","Рокоман
Олена
Григорівна","Семеняка
Микола
Миколайович","Супрун
Андрій
Васильович","Федоренко
Сергій
Миколайович","Шапран
Сергій
Валентинович","Юрченко
Анатолій
Анатолійович"
"000001","97","Київська область","
вул. Кірова, 24, м. Бровари, Київська обл., 07400","40","15","29","0","25","0","25","","0","25","0","25","3","22","0","0","0","0","1","2","0","0","3","1","0","1","0","4","1","3","0","2","1","1","2","0",""
"320001","97","Київська область","навчально-виробничий комбінат, фойє
вул.Жовтнева, 66, смт Баришівка, Баришівський р-н, Київська обл., 07500","1964","748","1944","36","1188","28","1216","","0","1188","28","1216","39","1177","0","2","16","4","1","42","1","2","15","1","0","2","2","37","0","260","7","6","725","4","25","19",""
"320002","97","Київська область","ЦПР ""Мрія"", фойє
вул.Комсомольська, 21, смт Баришівка, Баришівський р-н, Київська обл., 07500","1968","786","1954","45","1144","38","1182","","0","1144","38","1182","22","1160","0","2","22","4","1","57","1","2","26","0","1","1","3","72","1","227","5","0","647","2","35","43",""
"320003","97","Київська область","районний будинок культури, фойє
вул.Леніна, 29, смт Баришівка, Баришівський р-н, Київська обл., 07500","2312","769","2291","63","1485","58","1543","","0","1485","58","1543","35","1508","2","1","15","2","3","51","0","7","33","2","2","1","6","58","1","312","3","0","902","3","57","41",""
"320004","97","Київська область","районний центр зайнятості, актова зала
вул.Леніна, 61А, смт Баришівка, Баришівський р-н, Київська обл., 07500","1072","385","1063","12","675","12","687","","0","675","12","687","11","676","0","0","15","1","1","11","1","3","7","2","1","3","2","31","0","196","1","3","352","1","19","16",""
"320005","97","Київська область","клуб СТОВ ""Баришівське"", актова зала
вул.Пархоменка, 34, смт Баришівка, Баришівський р-н, Київська обл., 07500","2040","868","2022","40","1133","39","1172","","0","1133","39","1172","39","1133","2","3","19","5","3","108","1","8","13","2","4","2","4","77","3","240","11","2","552","2","38","27",""
"320006","97","Київська область","сільський клуб, актова зала
вул.Чкалова, 36, с.Пасічна, Баришівський р-н, Київська обл., 07500","620","175","609","38","413","32","445","","0","413","32","445","9","436","0","0","7","0","0","7","1","1","4","4","1","0","0","15","1","78","0","1","280","2","15","15",""
"320007","97","Київська область","будинок культури, актова зала
вул.Леніна, 18, с.Бзів, Баришівський р-н, Київська обл., 07527","676","254","669","42","381","41","422","","0","381","41","422","12","410","1","1","10","3","1","13","1","1","4","1","1","3","2","25","3","89","5","2","217","4","10","4",""
"320008","97","Київська область","будинок культури, актова зала
вул.Леніна, 62, с.Веселинівка, Баришівський р-н, Київська обл., 07560","968","419","962","94","461","88","549","","0","461","88","549","15","534","2","2","15","3","1","26","1","3","15","3","1","4","2","24","1","67","3","1","294","2","36","22",""
"320009","97","Київська область","навчально-виховний комплекс, фойє
вул.Червоноармійська, 15, с.Волошинівка, Баришівський р-н, Київська обл., 07545","1216","451","1206","43","727","38","765","","0","727","38","765","20","745","3","5","6","2","3","18","0","1","14","1","2","2","2","14","2","124","6","2","488","2","23","23",""
"320010","97","Київська область","школа, хол
вул.Шевченка, 1, с.Борщів, Баришівський р-н, Київська обл., 07545","340","108","338","23","209","23","232","","0","209","23","232","4","228","0","0","3","0","0","6","0","0","4","3","1","4","0","32","0","21","1","0","110","2","15","26",""
"320011","97","Київська область","будинок культури, актова зала
вул.Леніна, 82, с.Гостролуччя, Баришівський р-н, Київська обл., 07520","792","228","787","75","491","73","564","","0","491","73","564","17","547","1","1","5","1","2","9","0","1","3","2","0","0","3","27","0","79","1","1","374","0","12","19",""
"320012","97","Київська область","сільський клуб, фойє
пров.Шевченка, 1А, с.Дернівка, Баришівський р-н, Київська обл., 07523","412","129","413","39","245","38","283","","0","245","38","283","7","276","1","1","3","1","0","7","1","1","0","0","1","0","0","12","2","28","0","0","191","1","17","4",""
"320013","97","Київська область","будинок культури, актова зала
пл.Незалежності, 1, с.Коржі, Баришівський р-н, Київська обл., 07544","1244","429","1227","22","794","21","815","","0","794","21","815","9","806","1","0","0","0","3","9","0","3","8","1","1","1","0","6","1","60","1","3","691","0","7","2",""
"320014","97","Київська область","сільський клуб, актова зала
вул.Щорса, 40А, с.Корніївка, Баришівський р-н, Київська обл., 07571","780","332","774","49","399","49","448","","0","399","49","448","24","424","0","1","3","1","2","11","2","0","8","0","1","1","2","26","1","56","3","6","258","1","18","16",""
"320015","97","Київська область","сільська рада, актова зала
бульв.Леніна, 14А, с.Лехнівка, Баришівський р-н, Київська обл., 07532","1088","485","1076","65","549","54","603","","0","549","54","603","26","577","0","6","11","2","2","14","0","0","0","5","1","4","5","19","2","102","10","0","323","2","25","33",""
"320016","97","Київська область","сільська рада, актова зала
вул.Щорса, 2, с.Лукаші, Баришівський р-н, Київська обл., 07513","996","444","987","74","491","61","552","","0","491","61","552","16","536","3","2","17","0","8","11","2","1","8","5","1","5","1","47","5","86","3","0","281","3","32","10",""
"320017","97","Київська область","сільський клуб, актова зала
вул.Кирпоноса, 4, с.Лук’янівка, Баришівський р-н, Київська обл., 07511","516","139","511","66","313","64","377","","0","313","64","377","14","363","1","1","8","0","1","6","2","0","2","1","0","1","1","37","1","71","6","0","201","5","8","2",""
"320018","97","Київська область","сільський клуб, актова зала
вул.Леніна, 4, с.Масківці, Баришівський р-н, Київська обл., 07562","236","68","233","25","146","22","168","","0","146","22","168","3","165","1","0","1","0","0","3","1","2","7","0","2","0","3","11","1","12","2","0","105","0","5","8",""
"320019","97","Київська область","навчально-виховний комплекс, їдальня
вул.Садова, 15, с.Морозівка, Баришівський р-н, Київська обл., 07526","1956","846","1937","93","1046","64","1110","","0","1046","64","1110","39","1071","1","8","15","4","3","22","1","11","4","4","2","5","4","44","7","247","7","4","602","8","37","16",""
"320020","97","Київська область","сільський клуб, актова зала
пл.Леніна, 4, с.Недра, Баришівський р-н, Київська обл., 07533","1012","381","1007","73","566","65","631","","0","566","65","631","29","602","0","6","22","5","5","11","1","3","7","4","3","1","1","25","2","53","4","4","416","5","12","6",""
"320021","97","Київська область","сільська рада, актова зала
вул.Голосіївська, 1, с.Паришків, Баришівський р-н, Київська обл., 07522","484","176","481","40","275","33","308","","0","275","33","308","8","300","0","2","5","0","1","2","0","1","1","1","0","0","1","50","0","19","5","2","189","1","8","11",""
"320022","97","Київська область","навчально-виховний комплекс, хол
вул.Шевченка, 2А, с.Пилипче, Баришівський р-н, Київська обл., 07531","340","101","337","24","217","22","239","","0","217","22","239","6","233","2","1","2","1","1","2","0","1","3","0","1","1","2","17","1","27","1","0","118","0","13","18",""
"320023","97","Київська область","навчально-виховний комплекс, хол
вул.Старокиївська, 8, с.Перемога, Баришівський р-н, Київська обл., 07510","1068","363","1078","176","535","170","705","","0","535","170","705","16","689","2","3","12","2","3","31","4","1","15","4","5","2","3","54","3","163","6","0","277","2","41","34",""
"320024","97","Київська область","будинок культури, актова зала
вул.Леніна, 83Г, с.Поділля, Баришівський р-н, Київська обл., 07561","660","172","654","102","390","98","488","","0","390","98","488","18","470","2","5","7","2","1","23","0","3","21","2","2","0","5","25","1","61","3","4","258","3","21","14",""
"320025","97","Київська область","навчально-виховний комплекс, актова зала
вул.Шевченка, 4В, с.Рудницьке, Баришівський р-н, Київська обл., 07512","644","243","636","55","352","49","401","","0","352","49","401","8","393","0","0","3","4","0","11","0","5","8","1","0","1","0","13","1","60","4","0","269","1","4","8",""
"320026","97","Київська область","будинок культури, актова зала
вул.Фабрична, 2, с.Садове, Баришівський р-н, Київська обл., 07534","1296","476","1285","85","747","73","820","","0","747","73","820","16","804","2","7","22","0","3","37","0","8","25","6","1","0","5","49","1","117","6","1","483","5","19","2",""
"320027","97","Київська область","навчально-виховний комплекс, фойє
вул.Леніна, 31, с.Сезенків, Баришівський р-н, Київська обл., 07524","508","131","503","62","325","52","377","","0","325","52","377","10","367","1","0","11","1","2","12","2","0","3","2","2","2","2","14","0","51","6","0","228","3","12","11",""
"320028","97","Київська область","сільський клуб, актова зала
вул.Жовтнева, 21А, с.Власівка, Баришівський р-н, Київська обл., 07524","156","44","155","23","93","19","112","","0","93","19","112","0","112","0","0","4","1","0","3","0","2","0","0","0","0","1","0","0","15","1","0","79","0","2","4",""
"320029","97","Київська область","сільський клуб, актова зала
вул.Гоголя, 1А, с.Селичівка, Баришівський р-н, Київська обл., 07525","888","332","878","38","526","30","556","","0","526","30","556","23","533","1","1","7","4","4","16","1","3","2","4","2","1","4","23","2","139","4","0","262","6","8","28",""
"320030","97","Київська область","сільський клуб, фойє
вул.Паризької Комуни, 11, с.Селище, Баришівський р-н, Київська обл., 07521","776","251","769","66","466","59","525","","0","466","59","525","10","515","1","0","7","0","0","5","0","2","0","2","3","0","0","32","1","136","3","3","286","1","9","17",""
"320031","97","Київська область","будинок культури, актова зала
вул.Братів Греськів, 2А, с.Семенівка, Баришівський р-н, Київська обл., 07552","1016","401","1001","41","574","41","615","","0","574","41","615","16","599","0","3","15","1","5","16","2","1","11","2","3","2","2","14","0","150","5","0","334","3","12","11",""
"320032","97","Київська область","сільський клуб, актова зала
вул.Постишева, 1, с.Леляки, Баришівський р-н, Київська обл., 07552","336","102","333","33","203","31","234","","0","203","31","234","13","221","2","0","3","1","3","7","1","0","8","1","1","1","0","2","1","53","2","1","107","0","7","16",""
"320033","97","Київська область","сільський клуб, актова зала
вул.Шевченка, 3/4, с.Яблуневе, Баришівський р-н, Київська обл., 07550","964","431","955","24","511","22","533","","0","511","22","533","13","520","1","5","17","5","3","18","1","0","4","1","1","0","5","22","2","102","1","3","273","6","19","24",""
"320034","97","Київська область","сільський клуб, актова зала
вул.Арсеньєва, 12/1, с.Більшовик, Баришівський р-н, Київська обл., 07550","132","31","129","10","91","10","101","","0","91","10","101","2","99","1","1","2","0","0","0","1","1","1","3","1","0","2","7","1","26","1","0","28","1","8","11",""
