"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
Микола
Миколайович","Бойко
Олег
Васильович","Ганжа
Олександр
Іванович","Зіньковська
Наталія
Володимирівна","Ковалевич
Ігор
Капітонович","Кондратенко
Віктор
Іванович","Лііс
Руслан
Миколайович","Ломако
Євгеній
Володимирович","Міщенко
Сергій
Григорович","Мостіпан
Олександр
Олексійович","Нечипорук
Сергій
Володимирович","Поліщук
Кирило
Ананійович","Поліщук
Юрій
Миколайович","Ходаківський
Юліан
Станіславович","Чередніченко
Юрій
Анатолійович","Дата підписання протоколу"
"320137","98","Київська область","школа, фойє
вул.Гагаріна, 11А, с.Велика Олександрівка, Бориспільський р-н, Київська обл., 08320","1832","662","1816","35","1141","29","1170","","0","1141","29","1170","27","1143","18","100","4","9","36","159","13","13","453","125","23","116","3","0","71","29.10.12"
"320138","98","Київська область","Бориспільське районне агро-промислове будівництво, зала
вул.Гагаріна, 18, с.Мала Олександрівка, Бориспільський р-н, Київська обл., 08320","576","218","578","38","322","36","358","","0","322","36","358","9","349","10","25","3","3","8","44","7","5","126","16","18","58","6","1","19","28.10.12"
"320139","98","Київська область","науково-дослідний інститут розведення, генетики тварин, фойє
вул.Погребняка, 1, с.Чубинське, Бориспільський р-н, Київська обл., 08321","1072","390","1070","4","678","4","682","","0","678","4","682","33","649","8","47","6","5","11","19","9","6","240","69","10","128","5","5","81","29.10.12"
"320140","98","Київська область","будинок культури, зала
вул.Леніна, 87, с.Вишеньки, Бориспільський р-н, Київська обл., 08341","1228","543","1221","37","661","24","685","","0","661","24","685","26","659","14","31","28","6","10","10","9","4","264","104","7","98","7","5","62","29.10.12"
"320141","98","Київська область","школа, спортивний зал
вул.Леніна, 150, с.Вишеньки, Бориспільський р-н, Київська обл., 08341","1216","508","1207","27","685","23","708","","0","685","23","708","21","687","11","24","18","6","11","4","8","8","294","96","21","105","5","3","73","29.10.12"
"320142","98","Київська область","будинок дитячої юнацької творчості, к.2
вул.Переселенців, 17, с.Петровське, Бориспільський р-н, Київська обл., 08341","612","229","610","15","368","15","383","","0","368","15","383","11","372","8","29","4","5","6","6","2","2","105","59","13","48","6","2","77","30.10.12"
"320143","98","Київська область","школа, рекреація, 1-й поверх
вул.Київська, 1, с.Вороньків, Бориспільський р-н, Київська обл., 08352","1524","697","1506","37","797","30","827","","0","797","30","827","35","792","16","107","7","4","7","8","8","4","369","94","25","68","7","1","67","30.10.12"
"320144","98","Київська область","будинок культури, зала
вул.Жовтнева, 2А, с.Вороньків, Бориспільський р-н, Київська обл., 08352","1664","744","1650","45","889","31","920","","0","889","31","920","26","894","17","135","5","11","11","4","8","9","426","100","10","78","7","4","69","30.10.12"
"320145","98","Київська область","сільський клуб, зала
вул.Лісова, 1, с.Жовтневе, Бориспільський р-н, Київська обл., 08352","96","18","102","4","74","4","78","","0","74","4","78","3","75","0","7","0","2","0","0","1","1","27","5","1","6","1","0","24","29.10.12"
"320146","98","Київська область","школа, спортивний зал
вул.Центральна, 3, с.Гора, Бориспільський р-н, Київська обл., 08324","1412","476","1409","58","887","49","936","","0","887","49","936","36","900","25","65","7","10","6","20","25","5","364","134","14","137","8","4","76","30.10.12"
