"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрющенко
Богдан
Вікторович","Березкін
Станіслав
Семенович","Гранатова
Ольга
Арсентіївна","Гук
Вадим
Ігорович","Дорохіна
Людмила
Володимирівна","Іванченко
Павло
Петрович","Манженко
Євгеній
Іванович","Подорожний
Сергій
Михайлович","Порубай
Валерій
Юрійович","Секрет
Зоя
Федорівна","Сіненко
Ігор
Михайлович","Дата підписання протоколу"
"350001","100","Кіровоградська область","ПТУ №32, актовий зал
вул.Димитрова, 1, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1896","988","1878","24","886","22","908","","0","886","22","908","25","883","99","249","312","4","6","15","49","7","7","130","5","29.10.12"
"350002","100","Кіровоградська область","школа №1, фойє
вул.Леніна, 62, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1944","997","1871","33","919","28","947","","0","919","28","947","27","920","69","297","293","1","5","21","42","7","5","175","5","29.10.12"
"350003","100","Кіровоградська область","ВАТ ""Сільгосптехніка"", актовий зал
вул.Промислова, 6, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1860","818","1850","31","1011","31","1042","","0","1011","31","1042","15","1027","107","312","335","2","7","19","80","12","6","141","6","29.10.12"
"350004","100","Кіровоградська область","Сільськогосподарський технікум імені В.В.Порика, спортивний зал
пров.Порика, 4, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","2022","1053","1963","48","925","44","969","","0","925","44","969","28","941","77","333","293","7","4","15","51","8","6","145","2","29.10.12"
"350005","100","Кіровоградська область","школа №4, фойє
вул.Ломоносова, 19, м.Бобринець, Бобринецький р-н, Кіровоградська обл., 27200","1356","830","1327","14","512","14","526","","0","512","14","526","25","501","34","149","168","4","1","5","17","3","2","113","5","29.10.12"
"350006","100","Кіровоградська область","сільський клуб, актовий зал
сільський клуб, с.Дібрівка, Бобринецький р-н, Кіровоградська обл., 27200","258","86","256","24","149","23","172","","0","149","23","172","10","162","8","78","25","0","1","3","3","3","0","39","2","28.10.12"
"350007","100","Кіровоградська область","сільська рада, зал засідань
вул.Шкільна, 1, с.Бобринка, Бобринецький р-н, Кіровоградська обл., 27233","294","123","284","28","145","26","171","","0","145","26","171","5","166","10","43","67","3","1","3","14","5","1","19","0","02.11.12"
"350008","100","Кіровоградська область","сільський клуб, актовий зал
вул.Щорса, 40, с.Буховецьке, Бобринецький р-н, Кіровоградська обл., 27254","402","123","396","25","254","25","279","","0","254","25","279","16","263","6","94","121","1","4","0","5","2","4","25","1","29.10.12"
"350009","100","Кіровоградська область","будинок культури, актовий зал
вул.Л.Топор, 4, с.Василівка, Бобринецький р-н, Кіровоградська обл., 27244","276","90","276","33","157","29","186","","0","157","29","186","4","182","4","65","56","0","2","4","8","0","1","40","2","29.10.12"
"350010","100","Кіровоградська область","сільський клуб, актовий зал
вул.Гагаріна, 14, с.Береславка, Бобринецький р-н, Кіровоградська обл., 27244","48","22","46","8","22","4","26","","0","22","4","26","0","26","2","6","8","0","0","0","2","0","0","8","0","28.10.12"
"350011","100","Кіровоградська область","будинок культури, актовий зал
вул.Набережна, 16, с.Верхньоінгульське, Бобринецький р-н, Кіровоградська обл., 27214","354","115","357","23","217","22","239","","0","217","22","239","8","231","7","129","61","3","2","4","9","3","2","10","1","29.10.12"
"350012","100","Кіровоградська область","школа, фойє
вул.Молодіжна, 17, с.Веселівка, Бобринецький р-н, Кіровоградська обл., 27261","348","147","347","25","179","22","201","","0","179","22","201","7","194","3","31","58","0","3","3","6","0","1","87","2","28.10.12"
"350013","100","Кіровоградська область","будинок культури, актовий зал
вул.Базарна, 19, с.Витязівка, Бобринецький р-н, Кіровоградська обл., 27232","750","313","748","74","370","67","437","","0","370","67","437","12","425","17","176","116","4","11","11","16","4","4","64","2","29.10.12"
"350014","100","Кіровоградська область","ФАП, фойє
вул.Садова, 11А, с.Зоряне, Бобринецький р-н, Кіровоградська обл., 27232","108","29","105","8","71","8","79","","0","71","8","79","1","78","6","37","19","0","0","4","6","2","0","4","0","28.10.12"
"350015","100","Кіровоградська область","будинок культури, актовий зал
вул.Віктора Куліша, 2, с.Володимиро-Іллінка, Бобринецький р-н, Кіровоградська обл., 27253","198","57","197","16","127","14","141","","0","127","14","141","5","136","6","51","28","4","1","6","5","2","2","30","1","29.10.12"
"350016","100","Кіровоградська область","СТОВ ""Агровіта"", контора
вул.Комсомольська, 20, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247","486","135","494","50","303","48","351","","0","303","48","351","8","343","24","140","89","0","4","3","14","1","2","63","3","29.10.12"
"350017","100","Кіровоградська область","сільська рада, зал засідань
вул.Леніна, 47, с.Кетрисанівка, Бобринецький р-н, Кіровоградська обл., 27247","390","166","377","24","200","24","224","","0","200","24","224","4","220","13","61","100","2","3","1","5","3","1","29","2","28.10.12"
"350018","100","Кіровоградська область","сільський клуб, актовий зал
вул.70-річчя Жовтня, 32, с.Костомарівка, Бобринецький р-н, Кіровоградська обл., 27260","336","120","328","10","208","8","216","","0","208","8","216","6","210","18","90","43","2","3","5","5","6","0","36","2","28.10.12"
"350019","100","Кіровоградська область","будинок культури, актовий зал
вул.Шевченка, 6, с.Кохане, Бобринецький р-н, Кіровоградська обл., 27260","150","87","146","4","59","4","63","","0","59","4","63","2","61","2","20","13","1","0","1","3","1","0","17","3","28.10.12"
"350020","100","Кіровоградська область","дитячий садок, актовий зал
вул.Центральна, 2А, с.Куйбишеве, Бобринецький р-н, Кіровоградська обл., 27222","468","201","457","29","239","28","267","","0","239","28","267","8","259","18","123","60","0","3","3","8","7","1","34","2","29.10.12"
"350021","100","Кіровоградська область","сільський клуб, актовий зал
вул.Куйбишева, 3А, с.Кірове, Бобринецький р-н, Кіровоградська обл., 27222","156","45","157","24","88","23","111","","0","88","23","111","2","109","4","63","24","0","2","1","1","1","2","11","0","29.10.12"
"350022","100","Кіровоградська область","будинок культури, актовий зал
вул.Димитрова, 4, с.Мар’янівка, Бобринецький р-н, Кіровоградська обл., 27220","186","64","186","11","111","11","122","","0","111","11","122","6","116","3","55","21","3","0","2","5","2","2","23","0","29.10.12"
"350023","100","Кіровоградська область","будинок культури, актовий зал
вул.Молодіжна, 21, с.Миколо-Бабанка, Бобринецький р-н, Кіровоградська обл., 27250","432","180","430","42","210","42","252","","0","210","42","252","6","246","33","62","81","0","0","0","6","2","2","60","0","29.10.12"
"350024","100","Кіровоградська область","ФАП, фойє
вул.Жовтнева, 7А, с.Сорочанове, Бобринецький р-н, Кіровоградська обл., 27250","126","42","119","5","79","5","84","","0","79","5","84","3","81","2","41","24","0","1","1","4","3","0","4","1","29.10.12"
"350025","100","Кіровоградська область","сільська рада, зал засідань
вул.Молодіжна, 39, с.Новоградівка, Бобринецький р-н, Кіровоградська обл., 27255","582","256","574","49","278","48","326","","0","278","48","326","9","317","15","151","76","2","3","5","9","6","1","48","1","31.10.12"
