"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Грушевський
Віталій
Анатолійович","Дем’янчук
Вікторія
Олександрівна","Діденко
Олег
Валентинович","Колючий
Володимир
Данилович","Кропівка
Анатолій
Федосійович","Литвин
Юрій
Олексійович","Маральов
Юрій
Васильович","Ролінський
Володимир
Іванович","Супрун
Людмила
Павлівна","Сухін
Юрій
Михайлович","Чорноіваненко
Олександр
Анатолійович","Дата підписання протоколу"
"350065","101","Кіровоградська область","школа №3, фойє
вул.Шкільна, 11, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1458","691","1450","46","721","46","767","","0","721","46","767","20","747","247","33","99","2","0","31","2","1","95","78","159","29.10.12"
"350066","101","Кіровоградська область","комбінат комунальних послуг, каб.1А
вул.Запотоцького, 3, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1086","477","1090","40","577","32","609","","0","577","32","609","13","596","110","40","70","4","0","22","1","5","93","93","158","29.10.12"
"350067","101","Кіровоградська область","машинобудівний технікум, новий корпус, коридор
вул.Карла Маркса, 94, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1548","699","1557","36","817","32","849","","0","817","32","849","35","814","128","58","112","2","6","36","0","9","114","156","193","29.10.12"
"350068","101","Кіровоградська область","молодіжний клуб ""Оріон"", зал
вул.Леніна, 37, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","2460","1168","2404","58","1249","43","1292","","0","1249","43","1292","21","1271","197","115","148","2","4","34","7","4","142","301","317","29.10.12"
"350069","101","Кіровоградська область","професійний аграрний ліцей, їдальня
вул.Чапаєва, 14, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1728","795","1707","27","909","24","933","","0","909","24","933","30","903","114","78","134","3","4","35","3","3","67","216","246","29.10.12"
"350070","101","Кіровоградська область","районний будинок культури, фойє
вул.Кірова, 17, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","2148","1015","2139","30","1107","26","1133","","0","1107","26","1133","28","1105","145","45","131","10","4","58","2","5","110","300","295","29.10.12"
"350071","101","Кіровоградська область","школа №1, хол
вул.Куйбишева, 74, м.Гайворон, Гайворонський р-н, Кіровоградська обл., 26300","1962","914","1934","46","1014","34","1048","","0","1014","34","1048","28","1020","161","60","118","9","4","34","6","10","82","209","327","29.10.12"
"350072","101","Кіровоградська область","школа, каб.1Б
вул.40 років Перемоги, 8, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","1662","736","1636","37","891","35","926","","0","891","35","926","27","899","345","64","128","4","6","33","15","0","70","47","187","29.10.12"
"350073","101","Кіровоградська область","управління ПАТ ЗКГ, каб.2
вул.Жовтнева, 14, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","1536","752","1512","29","756","28","784","","0","756","28","784","21","763","233","32","115","2","2","31","7","4","66","49","222","29.10.12"
"350074","101","Кіровоградська область","будинок культури, зала
вул.Леніна, 14, смт Завалля, Гайворонський р-н, Кіровоградська обл., 26334","504","145","534","34","328","31","359","","0","328","31","359","15","344","150","12","40","3","3","16","9","0","21","21","69","29.10.12"
