"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беляй
Олександр
Іванович","Боденчук
Олександр
Сергійович","Василюк
Сергій
Юрійович","Величко
Ігор
Валентинович","Єдін
Олександр
Йосипович","Золотарьов
Євгеній
Григорович","Крюков
Віктор
Васильович","Мороз
Олександр
Олександрович","Пантелішин
Геннадій
Олександрович","Прилуцький
Олександр
Семенович","Рустамян
Ігор
Манукович","Дата підписання протоколу"
"350214","102","Кіровоградська область","школа №1, вестибюль
вул.Миру, 14, с.Богданівка, Знам’янський р-н, Кіровоградська обл., 27431","1752","895","1737","82","787","70","857","","0","787","70","857","34","823","34","5","159","22","285","2","24","158","13","14","107","29.10.12"
"350215","102","Кіровоградська область","школа №2, вестибюль
вул.Перемоги, 1/1, с.Богданівка, Знам’янський р-н, Кіровоградська обл., 27432","1644","876","1589","91","690","78","768","","0","690","78","768","46","722","37","7","88","18","312","3","27","95","6","12","117","29.10.12"
"350216","102","Кіровоградська область","фельдшерський пункт, каб.1
вул.Центральна, 3, с.Кучерівка, Знам’янський р-н, Кіровоградська обл., 27434","84","42","80","3","39","3","42","","0","39","3","42","2","40","3","1","5","0","15","0","2","10","2","1","1","29.10.12"
"350217","102","Кіровоградська область","школа, вестибюль
вул.Суворова, 2, с.Володимирівка, Знам’янський р-н, Кіровоградська обл., 27452","900","431","891","116","366","103","469","","0","366","103","469","12","457","34","3","64","17","115","3","15","85","15","10","96","29.10.12"
"350218","102","Кіровоградська область","школа, їдальня
вул.Невського, 1, с.Саблине, Знам’янський р-н, Кіровоградська обл., 27452","408","170","397","50","193","45","238","","0","193","45","238","11","227","9","6","37","10","56","3","7","51","5","8","35","29.10.12"
"350219","102","Кіровоградська область","сільський клуб, глядацька зала
вул.Кооперативна, 14А, с.Новороманівка, Знам’янський р-н, Кіровоградська обл., 27452","210","97","209","15","98","15","113","","0","98","15","113","2","111","6","1","31","4","38","0","1","15","4","0","11","29.10.12"
"350220","102","Кіровоградська область","школа, вестибюль молодших класів
вул.Шкільна, 1, с.Диківка, Знам’янський р-н, Кіровоградська обл., 27428","1092","594","1074","109","395","103","498","","0","395","103","498","18","480","35","6","76","11","198","2","9","71","11","6","55","29.10.12"
"350221","102","Кіровоградська область","школа №2, вестибюль
вул.Поштова, 8, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422","1002","521","981","52","440","41","481","","0","440","41","481","24","457","38","4","106","8","132","6","9","86","12","8","48","29.10.12"
"350222","102","Кіровоградська область","школа №1, вестибюль
вул.Шкільна, 1, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422","870","405","885","100","390","75","465","","0","390","75","465","10","455","48","8","117","10","109","3","11","77","9","14","49","29.10.12"
"350223","102","Кіровоградська область","ліцей №3, вестибюль
вул.Миру, 42, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422","474","272","467","41","168","34","202","","0","168","34","202","8","194","15","2","52","3","42","0","10","39","1","1","29","29.10.12"
"350224","102","Кіровоградська область","сільский клуб №2, глядацька зала
вул.Правди, 2, с.Дмитрівка, Знам’янський р-н, Кіровоградська обл., 27422","810","441","788","62","314","55","369","","0","314","55","369","12","357","31","6","105","5","67","2","15","82","11","9","24","29.10.12"
"350225","102","Кіровоградська область","сільський клуб, глядацька зала
вул.Центральна, 1А, с.Гостинне, Знам’янський р-н, Кіровоградська обл., 27400","192","90","186","13","89","13","102","","0","89","13","102","7","95","4","2","19","3","34","0","0","12","1","3","17","29.10.12"
"350226","102","Кіровоградська область","школа, вестибюль
вул.Кооперативна, 1А, с.Веселий Кут, Знам’янський р-н, Кіровоградська обл., 27425","132","36","135","30","71","25","96","","0","71","25","96","1","95","0","0","31","0","24","0","4","7","0","1","28","29.10.12"
"350227","102","Кіровоградська область","школа, вестибюль
вул.Шкільна, 1, с.Плоске, Знам’янський р-н, Кіровоградська обл., 27426","210","86","209","15","112","12","124","","0","112","12","124","2","122","16","4","35","6","27","0","5","12","1","1","15","29.10.12"
"350228","102","Кіровоградська область","сільська рада, зала засідань
вул.Шевченка, 1, с.Іванківці, Знам’янський р-н, Кіровоградська обл., 27420","666","288","651","48","336","42","378","","0","336","42","378","12","366","64","3","71","12","105","3","22","60","3","1","22","29.10.12"
"350229","102","Кіровоградська область","фельдшерський пункт, вестибюль
вул.Центральна, 29, с.Юхимове, Знам’янський р-н, Кіровоградська обл., 27421","150","50","142","18","86","14","100","","0","86","14","100","6","94","3","0","14","3","40","2","2","21","3","1","5","29.10.12"
"350230","102","Кіровоградська область","сільський будинок культури, мала зала
вул.Миру, 41, с.Казарня, Знам’янський р-н, Кіровоградська обл., 27443","486","181","480","41","265","40","305","","0","265","40","305","8","297","7","2","40","9","124","10","11","62","9","3","20","29.10.12"
"350231","102","Кіровоградська область","фельдшерський пункт, вестибюль
вул.Центральна, 60, с.Глибока Балка, Знам’янський р-н, Кіровоградська обл., 27443","222","78","214","15","129","15","144","","0","129","15","144","5","139","2","0","44","7","52","1","2","16","3","3","9","29.10.12"
"350232","102","Кіровоградська область","сільський будинок культури, мала зала
вул.Леніна, 31, с.Макариха, Знам’янський р-н, Кіровоградська обл., 27427","390","153","379","34","203","34","237","","0","203","34","237","19","218","32","2","30","2","69","2","3","42","4","1","31","30.10.12"
"350233","102","Кіровоградська область","сільський будинок культури, мала зала
вул.Леніна, 1, с.Мошорине, Знам’янський р-н, Кіровоградська обл., 27453","1314","602","1301","187","553","159","712","","0","553","159","712","27","685","52","11","113","21","290","4","23","90","11","11","59","30.10.12"
"350234","102","Кіровоградська область","школа, їдальня
вул.Леніна, 1, с.Васине, Знам’янський р-н, Кіровоградська обл., 27454","138","29","136","21","88","21","109","","0","88","21","109","2","107","2","2","24","6","41","1","1","16","0","1","13","29.10.12"
