"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Великий
Іван
Дмитрович","Гриценко
Сергій
Петрович","Давиденко
Людмила
Вадимівна","Журавльов
Віталій
Володимирович","Кузьменко
Сергій
Анатолійович","Ліщенко
Костянтин
Олександрович","Панібратенко
Олег
Іванович","Сібірцев
Сергій
Вікторович","Ставицька
Вікторія
Іванівна","Дата підписання протоколу"
"350172","103","Кіровоградська область","школа №3, рекреація
вул.Щорса, 13, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1488","697","1468","9","784","7","791","","0","784","7","791","37","754","12","17","39","286","233","83","5","11","68","29.10.12"
"350173","103","Кіровоградська область","житлово-комунальне управління, зал засідань
вул.Нова, 80А, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1608","710","1570","9","893","5","898","","0","893","5","898","22","876","12","5","47","352","282","103","3","5","67","29.10.12"
"350174","103","Кіровоградська область","школа №4, рекреація
вул.Щорса, 1, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1904","942","1887","26","945","17","962","","0","945","17","962","39","923","17","14","50","371","297","93","3","7","71","29.10.12"
"350175","103","Кіровоградська область","молодіжний центр ""Червона калина"", фойє
вул.Леніна, 44, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1440","725","1429","51","677","38","715","","0","677","38","715","28","687","7","9","45","241","237","69","5","7","67","29.10.12"
"350176","103","Кіровоградська область","школа №1, малий спортивний зал
вул.Жовтнева, 4А, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","808","407","803","28","383","18","401","","0","383","18","401","21","380","14","3","16","147","125","45","1","3","26","29.10.12"
"350177","103","Кіровоградська область","будинок дитячої творчості, фойє
вул.Радянська, 139, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1232","593","1229","33","614","25","639","","0","614","25","639","18","621","6","9","44","251","187","62","2","6","54","29.10.12"
"350178","103","Кіровоградська область","культурно-дозвіллєвий комплекс, фойє
вул.Лазарєва, 8, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","568","302","567","8","260","6","266","","0","260","6","266","16","250","3","5","11","106","68","34","0","1","22","29.10.12"
"350179","103","Кіровоградська область","стадіон ""Колос"", спортивний зал
вул.Радянська, 84, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","560","277","566","21","267","16","283","","0","267","16","283","8","275","3","4","11","107","99","27","1","2","21","29.10.12"
"350180","103","Кіровоградська область","міський клуб, зала
вул.Радянська, 2Б, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1040","515","1026","31","501","24","525","","0","501","24","525","20","505","10","10","49","187","166","38","6","6","33","29.10.12"
"350181","103","Кіровоградська область","адміністративний будинок дистанції колії, актова зала
вул.Войкова, 35, м.Долинська, Долинський р-н, Кіровоградська обл., 28500","1216","699","1190","35","490","27","517","","0","490","27","517","18","499","4","3","25","215","177","32","4","1","38","29.10.12"
