"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богданович
Андрій
Ростиславович","Ветвицький
Дмитро
Олександрович","Горбатенко
Володимир
Миколайович","Дануца
Олександр
Анатолійович","Заболотний
Геннадій
Вадимович","Іванов
Віктор
Анатолійович","Кідрук
Максим
Іванович","Короб
Сергій
Миколайович","Коцар
Олексій
Миколайович","Лінько
Дмитро
Володимирович","Михальонок
Сергій
Анатолійович","Ратушняк
Олександр
Михайлович","Табалов
Андрій
Олександрович","Турчин
Ярослав
Олексійович","Шаталов
Олександр
Сергійович","Дата підписання протоколу"
"000001","99","Кіровоградська область","режимний корпус №1 та №2 Кіровоградського слідчого ізолятора
вул.Куроп’ятникова, 50, м.Кіровоград, 25001","1108","229","881","16","863","16","879","","0","863","16","879","17","862","4","6","10","12","7","9","26","5","1","5","7","6","90","10","664","29.10.12"
"350814","99","Кіровоградська область","колективне сільськогосподарське підприємство ""Тюльпан"", актова зала
вул.Мінська, 112, м.Кіровоград, 25018","1772","909","1773","1","862","1","863","","0","862","1","863","18","845","11","75","46","21","5","25","106","2","0","0","11","6","311","3","223","29.10.12"
"350815","99","Кіровоградська область","ВАТ Кіровоградське міжрайонне управління водного господарства, актова зала
вул.Московська, 210, м.Кіровоград, 25018","2036","1150","2023","9","878","8","886","","0","878","8","886","24","862","17","86","45","18","7","23","93","6","0","1","7","6","304","6","243","30.10.12"
"350816","99","Кіровоградська область","притулок для дітей ""Надія"", вестибюль
вул.Бєлінського, 3, м.Кіровоград, 25005","2244","1051","2232","12","1182","11","1193","","0","1182","11","1193","41","1152","8","85","84","20","5","33","148","8","0","0","13","12","290","9","437","29.10.12"
"350817","99","Кіровоградська область","школа №25, фойє
вул.Леваневського, 2Б, м.Кіровоград, 25005","1384","568","1375","7","809","7","816","","0","809","7","816","15","801","20","61","72","13","5","20","81","6","1","1","7","14","205","9","286","29.10.12"
"350818","99","Кіровоградська область","учбовий корпус №2 льотної академії, хол
вул.Добровольського, 4, м.Кіровоград, 25005","1336","812","1339","0","524","0","524","","0","524","0","524","20","504","11","19","17","17","9","14","84","4","2","2","5","6","162","10","142","29.10.12"
"350819","99","Кіровоградська область","будинок культури ""Авіатор"", хол
вул.Добровольського, 1, м.Кіровоград, 25005","1524","606","1522","17","901","17","918","","0","901","17","918","37","881","10","57","73","25","4","22","89","7","2","1","13","6","220","4","348","29.10.12"
"350820","99","Кіровоградська область","школа №3, актова зала
вул.Авіаційна, 64, м.Кіровоград, 25005","1716","903","1689","7","808","5","813","","0","808","5","813","18","795","18","55","44","17","5","22","99","6","2","0","8","11","288","0","220","29.10.12"
"350821","99","Кіровоградська область","Кіровоградський комбінат хлібопродуктів №1, хол
вул.Варшавська, 90, м.Кіровоград, 25005","1352","695","1338","17","640","17","657","","0","640","17","657","12","645","12","65","41","15","2","19","68","3","0","1","7","5","192","3","212","29.10.12"
"350822","99","Кіровоградська область","початкова школа №3, спортивна зала
вул.Тельмана, 75, м.Кіровоград, 25005","1316","644","1304","10","663","9","672","","0","663","9","672","24","648","5","49","34","25","2","15","61","9","0","2","8","11","194","7","226","29.10.12"
