"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіна
Наталія
Олександрівна","Вікторов
Андрій
Сергійович","Горохов
Сергій
Олександрович","Жданова
Валентина
Олександрівна","Кривобоков
Владислав
Анатолійович","Мошенський
Сергій
Захарович","Попов
Володимир
Євгенович","Скіріч
Андрій
Степанович","Тамашев
Геннадій
Анатолійович","Чаленко
Максим
Михайлович","Дата підписання протоколу"
"000001","105","Луганська область","
вул.23 лінія, 4, м.Луганськ, 91055","1764","182","1661","243","1339","243","1582","","0","1339","243","1582","149","1433","83","27","1074","35","37","28","30","25","65","29","29.10.12"
"441331","105","Луганська область","Палац культури ім.В.І.Леніна, фойє, 1-й поверх
пл.Рози Люксембург, 2А, м.Луганськ, 91000","1782","801","1763","36","953","28","981","","0","953","28","981","58","923","25","4","423","24","78","12","18","25","144","170","29.10.12"
"441332","105","Луганська область","школа №10, актова зала
вул.Октябрьская, 103, м.Луганськ, 91000","1488","704","1466","33","756","28","784","","0","756","28","784","34","750","23","2","441","14","53","2","12","14","71","118","29.10.12"
"441333","105","Луганська область","МКП ""Луганськ-житло"", кімната, 1-й поверх
вул.Совєтская, 92А, м.Луганськ, 91000","1494","667","1469","22","810","17","827","","0","810","17","827","60","767","28","4","407","17","71","4","16","12","86","122","29.10.12"
"441334","105","Луганська область","школа №44, актова зала
вул.Дальнєвосточная, 1, м.Луганськ, 91000","2028","991","1992","34","1004","33","1037","","0","1004","33","1037","32","1005","38","8","529","22","89","5","16","17","128","153","28.10.12"
"441335","105","Луганська область","Коледж СНУ ім.В.Даля, корп.14, фойє, 1-й поверх
вул.Фрунзе, 110, м.Луганськ, 91000","1314","614","1280","26","679","21","700","","0","679","21","700","43","657","15","3","399","6","51","3","14","20","59","87","29.10.12"
"441336","105","Луганська область","Центр професійно-технічної освіти, їдальня
вул.Фрунзе, 109, м.Луганськ, 91000","1704","761","1685","55","890","53","943","","0","890","53","943","44","899","26","3","499","18","67","7","20","23","91","145","29.10.12"
"441337","105","Луганська область","МКП ""Луганськ-житло"", червоний куток
вул.Гвардєйская, 4, м.Луганськ, 91000","846","387","834","14","445","14","459","","0","445","14","459","33","426","16","3","229","9","32","0","11","16","42","68","28.10.12"
"441338","105","Луганська область","школа №25, хореографічна зала, 1-й поверх
вул.Щаденко, 1, м.Луганськ, 91000","1800","752","1773","33","1019","29","1048","","0","1019","29","1048","52","996","28","2","529","13","73","7","21","24","122","177","28.10.12"
"441339","105","Луганська область","школа №25, спортзал
вул.Щаденко, 1, м.Луганськ, 91000","1818","755","1789","24","1043","20","1063","","0","1043","20","1063","66","997","32","14","516","17","70","6","38","27","108","169","29.10.12"
"441340","105","Луганська область","Управління механізації, спортзал
вул.Ломоносова, 98, м.Луганськ, 91000","2238","1010","2193","42","1188","40","1228","","0","1188","40","1228","65","1163","41","8","671","21","76","7","24","26","120","169","29.10.12"
"441341","105","Луганська область","Інститут культури і мистецтв, актова зала
вул.Годуванцева, 3, м.Луганськ, 91000","2046","938","2020","29","1085","23","1108","","0","1085","23","1108","71","1037","30","6","561","18","61","6","16","26","105","208","29.10.12"
"441342","105","Луганська область","Художньо-промисловий професійний ліцей, актова зала
вул.Новий городок, 13, м.Луганськ, 91000","2076","960","2024","38","1080","36","1116","","0","1079","36","1115","49","1066","37","15","605","22","74","8","27","27","93","158","29.10.12"
"441343","105","Луганська область","Художньо-промисловий професійний ліцей, спорт зала
вул.Новий городок, 13, м.Луганськ, 91000","1596","697","1587","47","856","43","899","","0","856","43","899","38","861","26","3","500","13","54","1","13","17","98","136","29.10.12"
