"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беркут
Ігор
Віталійович","Грицишин
Геннадій
Андрійович","Казаков
Олег
Іванович","Казаков
Сергій
Вікторович","Карацуба
Павло
Васильович","Комчадалов
Євгеній
Євгенович","Корчагін
Павло
Петрович","Кунченко
Олексій
Петрович","Луговцов
Олексій
Сергійович","Припотень
Володимир
Юрійович","Самарський
Сергій
Вікторович","Сідєльнікова
Галина
Анатоліївна","Фурман
Юрій
Анатолійович","Хітько
Ірина
Сергіївна","Шахов
Сергій
Олександрович","Шевчук
Вячеслав
Анатолійович","Дата підписання протоколу"
"440393","106","Луганська область","сільський будинок культури, фойє, 1-й поверх
вул.Кірова, 4, смт Білогорівка, Попаснянський р-н, Луганська обл., 93310","764","228","758","55","481","55","536","","0","481","55","536","19","517","77","3","0","4","2","2","42","267","3","0","14","8","62","3","28","2","29.10.12"
"440394","106","Луганська область","школа, хол, 1-й поверх
пров.Шкільний, 2, с.Шипилівка, Попаснянський р-н, Луганська обл., 93311","416","99","412","26","293","24","317","","0","293","24","317","11","306","19","0","1","2","1","0","23","232","1","1","8","4","2","1","10","1","28.10.12"
"440395","106","Луганська область","школа, хол, 1-й поверх
вул.Шкільна, 4, с.Золотарівка, Попаснянський р-н, Луганська обл., 93312","520","154","518","32","334","32","366","","0","334","32","366","8","358","36","1","2","2","2","0","20","200","1","2","8","7","52","0","21","4","29.10.12"
"440396","106","Луганська область","школа, ліва частина спортзалу, 1-й поверх
вул.Чапаєва, 2, смт Вовчоярівка, Попаснянський р-н, Луганська обл., 93315","368","78","368","31","265","25","290","","0","265","25","290","8","282","19","0","3","1","0","0","23","222","0","0","11","0","0","1","2","0","29.10.12"
"440397","106","Луганська область","приватний будинок, кабінет 1, 1-й поверх
вул.Октябрьська, 19, смт Вовчоярівка, Попаснянський р-н, Луганська обл., 93315","320","71","315","29","223","26","249","","0","223","26","249","5","244","26","0","7","3","1","1","20","169","0","0","4","3","1","2","5","2","29.10.12"
"440398","106","Луганська область","школа, фойє, 1-й поверх
вул.Артема, 5, смт Врубівка, Попаснянський р-н, Луганська обл., 93330","860","340","857","55","470","50","520","","0","470","50","520","16","504","72","1","5","2","1","2","42","321","3","1","7","6","4","2","32","3","29.10.12"
"440399","106","Луганська область","фельдшерсько-акушерський пункт, приймальна кімната, 1-й поверх
вул.Кірова, фельдшерсько-акушерський пункт, с-ще Миколаївка, Попаснянський р-н, Луганська обл., 93331","104","27","106","18","60","17","77","","0","60","17","77","2","75","4","0","1","1","0","2","2","46","0","0","5","0","4","1","9","0","29.10.12"
"440400","106","Луганська область","школа, їдальня, 1-й поверх
вул.Первомайська, школа, с.Новоіванівка, Попаснянський р-н, Луганська обл., 93332","408","130","405","51","234","44","278","","0","234","44","278","21","257","13","2","3","2","1","0","32","175","0","0","4","4","4","5","11","1","29.10.12"
"440401","106","Луганська область","школа, коридор, 1-й поверх
вул.Шкільна, 1, смт Калинове, Попаснянський р-н, Луганська обл., 93350","624","263","614","20","344","17","361","","0","344","17","361","9","352","24","1","3","1","9","0","45","181","0","1","4","2","61","0","20","0","29.10.12"
"440402","106","Луганська область","сільський будинок культури, глядацький зал, 1-й поверх
вул.Леніна, 13А, смт Калинове, Попаснянський р-н, Луганська обл., 93350","896","394","884","56","446","56","502","","0","446","56","502","19","483","19","1","2","3","9","4","56","181","0","3","5","3","141","1","55","0","29.10.12"
