"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріянов
Олександр
Олександрович","Гуславський
Володимир
Станіславович","Заіка
Артем
Миколайович","Кириченко
Людмила
Федорівна","Колесніков
Володимир
Анатолійович","Мошенський
Валерій
Захарович","Підгорний
Володимир
Миколайович","Ржавський
Олександр
Миколайович","Сафонова
Дар’я
Євгеніївна","Терніков
Юрій
Миколайович","Федоров
Василь
Васильович","Фролов
Володимир
Миколайович","Чередник
Геннадій
Олександрович","Дата підписання протоколу"
"440316","108","Луганська область","палац культури ім.Леніна, фойє
вул.Серго, 8, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1830","829","1800","34","973","28","1001","","0","973","28","1001","27","974","39","65","16","20","12","539","1","18","4","253","4","1","2","29.10.12"
"440317","108","Луганська область","школа №8, спортивна зала
вул.Горчака, 15, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1668","660","1652","42","968","40","1008","","0","968","40","1008","25","983","47","43","5","30","7","512","1","12","3","312","4","3","4","28.10.12"
"440318","108","Луганська область","гімназія №7, їдальня
вул.Комсомольська, 1, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1350","608","1336","28","720","22","742","","0","720","22","742","14","728","61","58","5","16","10","345","2","11","4","208","2","4","2","29.10.12"
"440319","108","Луганська область","станція ""Кипуча"", зала очікування
вул.Акименка, 37А, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","594","252","583","33","313","29","342","","0","313","29","342","3","339","21","5","4","20","2","207","2","1","0","73","1","1","2","28.10.12"
"440320","108","Луганська область","палац культури р-ну Комсомольський, фойє
вул.Будівельників, 1, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","894","344","883","42","509","41","550","","0","509","41","550","5","545","19","7","1","9","2","406","0","2","0","97","0","1","1","29.10.12"
"440321","108","Луганська область","контора ВВП ""Шахта ""Ніканор-Нова"", актова зала
вул.Кірова, 1, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1176","460","1166","54","675","41","716","","0","675","41","716","22","694","49","59","5","18","6","341","0","7","6","193","5","2","3","29.10.12"
"440322","108","Луганська область","будинок культури ""Шахтар"", хол
вул.Театральна, 6А, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1296","467","1296","40","801","28","829","","0","801","28","829","23","806","75","82","3","18","9","325","0","16","5","260","5","6","2","28.10.12"
"440323","108","Луганська область","школа №10, хол
вул.Маяковського, 1, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1176","488","1173","22","669","19","688","","0","669","19","688","17","671","30","94","11","17","4","328","0","9","6","167","2","2","1","30.10.12"
"440324","108","Луганська область","станція ""Мануїлівка"" ДП ""Донецька залізниця"", зала очікування
вул.Вокзальна, 7А, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","882","321","872","46","519","42","561","","0","0","0","561","24","537","36","45","4","26","5","219","0","8","8","185","0","1","0","02.11.12"
"440325","108","Луганська область","школа №30, хол
вул.Театральна, 2, смт Байрачки, Перевальський р-н, Луганська обл., 94309","702","217","691","29","459","26","485","","0","459","26","485","16","469","85","49","8","10","4","200","0","4","2","106","0","1","0","29.10.12"
