"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
Володимир
Олександрович","Букаєва
Марина
Володимирівна","Данієлян
Вадим
Романович","Дудник
Олена
Григорівна","Кісельов
Олег
Валентинович","Корнієвський
Аркадій
Юрійович","Кривобоков
Артем
Анатолійович","Лозко
Ігор
Якович","Макаров
Костянтин
Костянтинович","Макаров
Олександр
Костянтинович","Медяник
Володимир
Юрійович","Моравський
Юрій
Вікторович","Павлінський
Олексій
Вікторович","Пригеба
Григорій
Валентинович","Рєзнік
Микола
Миколайович","Суглобов
Євген
Валерійович","Дата підписання протоколу"
"000001","109","Луганська область","Ізолятор тимчасового тримання
вул.Артема, 2, м.Краснодон, Донецька обл.","28","19","9","0","9","0","9","","0","9","0","9","0","9","0","2","0","0","0","0","0","0","0","0","7","0","0","0","0","0","29.10.12"
"000002","109","Луганська область","Ізолятор тимчасового тримання
квартал Т. Шевченка, 50, м. Луганськ","40","30","10","0","10","0","10","","0","10","0","10","0","10","0","1","1","0","0","0","0","0","0","0","4","0","1","1","2","0","29.10.12"
"440097","109","Луганська область","селищна рада, актова зала
вул.Поштова, 2, смт Великий Лог, Краснодонський р-н, Луганська обл., 94480","492","93","493","33","366","33","399","","0","366","33","399","7","392","0","19","212","1","0","0","0","0","10","69","44","3","0","2","32","0","29.10.12"
"440098","109","Луганська область","бібліотека, к.2
вул.1-Мая, 135, с-ще Верхня Краснянка, Краснодонський р-н, Луганська обл., 94480","368","133","362","33","203","32","235","","0","203","32","235","3","232","1","12","58","1","3","0","0","0","4","68","53","3","1","0","28","0","28.10.12"
"440099","109","Луганська область","сільський клуб, глядацька зала
вул.Сєвєрна, 19, смт Мирне, Краснодонський р-н, Луганська обл., 94475","248","77","250","5","166","5","171","","0","166","5","171","1","170","1","4","15","0","0","0","0","0","5","60","42","8","1","1","32","1","28.10.12"
"440100","109","Луганська область","школа, фойє
вул.Совєтська, 85, смт Талове, Краснодонський р-н, Луганська обл., 94476","1080","391","1062","41","649","40","689","","0","649","40","689","27","662","2","70","60","4","3","0","2","1","12","109","226","12","4","9","145","3","29.10.12"
"440101","109","Луганська область","школа, їдальня
вул.Леніна, 27, смт Новоолександрівка, Краснодонський р-н, Луганська обл., 94482","1192","417","1176","61","716","59","775","","0","716","59","775","22","753","1","55","175","1","5","1","1","2","14","146","242","4","2","4","99","1","29.10.12"
"440102","109","Луганська область","районний будинок культури, діско-зал
вул.Дорожна, 38А, смт Новосвітлівка, Краснодонський р-н, Луганська обл., 94455","1740","733","1691","40","968","39","1007","","0","968","39","1007","21","986","2","18","24","2","8","1","4","2","16","113","393","14","15","8","358","8","29.10.12"
"440103","109","Луганська область","бібліотека, фойє
вул.Почтова, 3, смт Новосвітлівка, Краснодонський р-н, Луганська обл., 94455","1136","479","1116","60","600","57","657","","0","600","57","657","17","640","3","16","27","9","3","1","2","0","9","76","309","14","10","10","149","2","29.10.12"
"440104","109","Луганська область","сільський клуб, глядацька зала
вул.Садова, 22, с.Лисе, Краснодонський р-н, Луганська обл., 94458","344","127","339","28","190","27","217","","0","190","27","217","5","212","0","7","2","0","0","0","2","0","4","12","121","7","1","2","54","0","29.10.12"
"440105","109","Луганська область","селищна рада, зал засідань
вул.Поштова, 1, смт Сімейкине, Краснодонський р-н, Луганська обл., 94473","1116","413","1090","59","644","59","703","","0","644","59","703","13","690","1","32","104","2","6","0","2","0","131","22","277","10","4","9","88","2","29.10.12"
"440106","109","Луганська область","вагонне депо Сімейкине, актова зала
вул.Вагонна, 1А, смт Сімейкине, Краснодонський р-н, Луганська обл., 94473","688","248","687","36","404","36","440","","0","404","36","440","12","428","5","16","34","1","1","0","1","1","9","66","250","4","5","2","33","0","29.10.12"
"440107","109","Луганська область","школа, фойє
вул.Шкільна, 2, с.Білоскелювате, Краснодонський р-н, Луганська обл., 94463","548","220","540","20","308","20","328","","0","308","20","328","9","319","2","4","13","2","5","0","2","0","8","42","154","9","0","5","73","0","29.10.12"
