"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бебешко
Олександр
Миколайович","Горулько
Юлія
Олександрівна","Жученко
Олександр
Вікторович","Іванов
Дмитро
Валерійович","Кириченко
Микола
Єгорович","Лисянський
Павло
Леонідович","Саліхов
Артем
Романович","Чуб
Володимир
Євгенович","Дата підписання протоколу"
"440009","110","Луганська область","будинок культури, фойє
вул.Октябрьська, 5, смт Іванівка, Антрацитівський р-н, Луганська обл., 94643","1722","817","1695","29","879","26","905","","0","879","26","905","42","863","138","11","81","18","13","48","11","543","29.10.12"
"440010","110","Луганська область","гімназія, хол
вул.Інтернаціональна, 65, смт Іванівка, Антрацитівський р-н, Луганська обл., 94643","1680","807","1655","41","839","34","873","","0","839","34","873","50","823","142","10","103","24","12","54","10","468","28.10.12"
"440011","110","Луганська область","школа, хол, 1-й поверх
вул.Шкільна, 1А, смт Іванівка, Антрацитівський р-н, Луганська обл., 94644","1350","541","1336","28","783","26","809","","0","783","26","809","46","763","152","7","155","32","10","28","6","373","29.10.12"
"440012","110","Луганська область","Штерівський клуб, хол
вул.Вокзальна, 88, смт Іванівка, Антрацитівський р-н, Луганська обл., 94644","1284","603","1264","55","635","46","681","","0","635","46","681","39","642","114","8","140","15","9","26","5","325","29.10.12"
"440013","110","Луганська область","фельдшерський пункт, хол
вул.Дзержинського, фельдшерський пункт, с-ще Степове, Антрацитівський р-н, Луганська обл., 94622","102","42","100","1","59","1","60","","0","59","1","60","6","54","8","0","8","3","5","2","1","27","28.10.12"
"440015","110","Луганська область","школа, хол, 1-й поверх
вул.Свердлова, 46, смт Красний Кут, Антрацитівський р-н, Луганська обл., 94653","990","361","977","42","588","41","629","","0","588","41","629","22","607","120","4","12","17","5","27","11","411","28.10.12"
"440016","110","Луганська область","будинок культури, фойє
вул.Октябрська, 13, смт Красний Кут, Антрацитівський р-н, Луганська обл., 94653","930","355","924","40","537","38","575","","0","537","38","575","30","545","73","6","18","17","15","12","7","397","29.10.12"
"440017","110","Луганська область","будинок культури, фойє
вул.Совхозна, 7, с-ще Індустрія, Антрацитівський р-н, Луганська обл., 94655","534","141","529","22","371","22","393","","0","371","22","393","14","379","124","2","14","6","5","8","7","213","29.10.12"
"440018","110","Луганська область","сільська рада, актовий зал
вул.Радянська, 17, с-ще Краснолуцький, Антрацитівський р-н, Луганська обл., 94670","456","170","445","16","270","16","286","","0","270","16","286","17","269","45","5","8","7","11","8","5","180","29.10.12"
"440019","110","Луганська область","сільський клуб, фойє
вул.Космонавтів, сільський клуб, с-ще Орлівське, Антрацитівський р-н, Луганська обл., 94644","252","95","245","9","148","9","157","","0","148","9","157","16","141","30","2","11","2","4","12","2","78","28.10.12"
"440020","110","Луганська область","селищний клуб, актовий зал
вул.Радянська, 11А, смт Маломиколаївка, Антрацитівський р-н, Луганська обл., 94641","1638","681","1616","116","868","89","957","","0","868","89","957","58","899","139","6","132","21","17","29","6","549","29.10.12"
"440028","110","Луганська область","будинок культури, актовий зал
вул.Радянська, 5, смт Фащівка, Антрацитівський р-н, Луганська обл., 94650","2112","811","2076","146","1163","138","1301","","0","1163","138","1301","43","1258","433","15","210","22","16","18","7","537","29.10.12"
"440179","110","Луганська область","будинок культури, хол
вул.Леніна, 1, смт Біле, Лутугинський р-н, Луганська обл., 92014","2382","1042","2347","46","1304","36","1340","","0","1304","36","1340","70","1270","380","34","176","50","37","56","15","522","29.10.12"
"440180","110","Луганська область","клуб ""Шахтар"", актова зала
вул.Площа Культури, клуб ""Шахтар"", смт Біле, Лутугинський р-н, Луганська обл., 92015","1806","657","1783","48","1102","47","1149","","1","1101","47","1148","72","1076","183","12","117","57","29","43","25","610","29.10.12"
"440181","110","Луганська область","адміністративно-битовий комплекс шахти ХІХ з’їзду КПРС, хол
вул.Кірова, 63, смт Біле, Лутугинський р-н, Луганська обл., 92015","1338","568","1316","41","734","36","770","","0","734","36","770","46","724","153","12","82","48","29","34","10","356","29.10.12"
"440182","110","Луганська область","будинок культури ДВАТ шахта Білоріченська ""Луганськвугілля"", хол, 2-й поверх
вул.Леніна, 12, смт Білоріченський, Лутугинський р-н, Луганська обл., 92016","1548","669","1541","69","823","56","879","","0","823","56","879","44","835","193","12","47","38","10","11","18","506","29.10.12"
"440183","110","Луганська область","школа, хол
вул.Чапаєва, 1А, смт Білоріченський, Лутугинський р-н, Луганська обл., 92016","1422","551","1386","40","833","38","871","","0","833","38","871","49","822","182","24","34","31","15","19","18","499","29.10.12"
"440184","110","Луганська область","будинок культури ""Комсомолець"", хол
вул.Тупик, 3, с-ще Комсомолець, Лутугинський р-н, Луганська обл., 92017","570","243","556","26","301","26","327","","0","301","26","327","16","311","101","4","25","11","6","14","4","146","29.10.12"
"440185","110","Луганська область","залізнична станція, червоний куточок
вул.Вокзальна, залізнична станція, с-ще Збірне, Лутугинський р-н, Луганська обл., 92018","144","32","147","14","100","12","112","","0","100","12","112","4","108","23","1","2","0","0","1","2","79","29.10.12"
"440199","110","Луганська область","будинок культури, хол
вул.Леніна, 3, смт Юр’ївка, Лутугинський р-н, Луганська обл., 92012","828","329","814","38","461","38","499","","0","461","38","499","25","474","66","2","70","2","6","10","6","312","29.10.12"
"440200","110","Луганська область","школа, спортивна зала
вул.Шкільна, 17, смт Юр’ївка, Лутугинський р-н, Луганська обл., 92012","1716","714","1688","53","956","46","1002","","0","956","46","1002","61","941","205","17","85","23","12","26","10","563","29.10.12"
"440204","110","Луганська область","сільський клуб, актова зала
вул.Гагаріна, 24, с.Західне, Лутугинський р-н, Луганська обл., 92022","318","112","318","8","198","8","206","","0","198","8","206","7","199","37","6","60","13","4","4","2","73","28.10.12"
"440205","110","Луганська область","бібліотека, актова зала
вул.Першотравнева, 122, с.Іллірія, Лутугинський р-н, Луганська обл., 92018","822","241","804","42","539","42","581","","0","539","42","581","23","558","118","5","57","10","11","22","10","325","28.10.12"
