"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баркасов
Олексій
Володимирович","Бондарєв
Віктор
Леонідович","Гайдей
Олександр
Петрович","Доровський
Юрій
Михайлович","Ільченко
Костянтин
Григорійович","Коваль
Олександр
Іванович","Степанець
Олена
Миколаївна","Дата підписання протоколу"
"000001","111","Луганська область","
вул.Субботіна, 85А, смт Дзержинський, м.Ровеньки, Луганська обл.","16","0","16","0","16","0","16","","0","16","0","16","2","14","1","1","4","2","0","6","0","28.10.12"
"440001","111","Луганська область","палац культури, хол
вул.Колгоспна, палац культури, с.Бобрикове, Антрацитівський р-н, Луганська обл., 94694","712","115","705","54","546","51","597","","0","546","51","597","17","580","4","46","29","15","2","474","10","29.10.12"
"440002","111","Луганська область","сільський клуб, хол
вул.Давиденка, сільський клуб, с.Вишневе, Антрацитівський р-н, Луганська обл., 94696","144","17","142","18","109","18","127","","0","109","18","127","6","121","2","17","21","0","2","75","4","28.10.12"
"440003","111","Луганська область","сільський клуб, актовий зал
вул.Пушкінська, сільський клуб, с.Єгорівка, Антрацитвський р-н, Луганська обл., 94690","160","12","154","12","136","12","148","","0","136","12","148","0","148","2","8","4","3","1","129","1","28.10.12"
"440004","111","Луганська область","сільський клуб, актовий зал
вул.Калініна, сільський клуб, с.Клуникове, Антрацитівський р-н, Луганська обл., 94694","96","9","98","7","80","7","87","","0","80","7","87","0","87","0","8","6","0","0","72","1","28.10.12"
"440005","111","Луганська область","сільський клуб, актовий зал
вул.Буданової, сільський клуб, с.Новокраснівка, Антрацитівський р-н, Луганська обл., 94694","168","31","161","11","126","11","137","","0","126","11","137","3","134","0","11","9","1","0","111","2","28.10.12"
"440006","111","Луганська область","будинок культури, фойє
пл.Леніна, 10, с.Дякове, Антрацитівський р-н, Луганська обл., 94690","2120","895","2081","109","1147","78","1225","","0","1147","78","1225","37","1188","25","230","128","30","4","746","25","29.10.12"
"440007","111","Луганська область","фельдшерський пункт, к.1
вул.Октябрська, фельдшерський пункт, с.Червоний Жовтень, Антрацитівський р-н, Луганська обл., 94690","72","27","71","4","41","4","45","","0","41","4","45","2","43","0","8","4","1","1","29","0","28.10.12"
"440008","111","Луганська область","селищна рада, зал засідань
вул.Переверзєва, 6А, смт Єсаулівка, Антрацитівський р-н, Луганська обл., 94684","1152","381","1135","80","691","80","771","","0","691","80","771","29","742","10","56","122","23","9","507","15","28.10.12"
"440014","111","Луганська область","будинок культури, фойє
вул.Пролетарська, 10В, с-ще Кошари, Антрацитівський р-н, Луганська обл., 94681","672","236","660","33","403","33","436","","0","403","33","436","7","429","7","66","72","13","2","261","8","29.10.12"
"440021","111","Луганська область","сільський клуб, глядацька зала
вул.Центральна, сільський клуб, с.Микитівка, Антрацитівський р-н, Луганська обл., 94640","232","70","221","15","148","14","162","","0","148","14","162","3","159","9","18","13","4","2","109","4","28.10.12"
"440022","111","Луганська область","досуговий центр, актовий зал
вул.Комсомольська, 5, смт Нижній Нагольчик, Антрацитівський р-н, Луганська обл., 94686","1264","399","1245","82","787","78","865","","0","787","78","865","29","836","17","59","149","15","0","580","16","28.10.12"
"440023","111","Луганська область","сільська рада, актовий зал
вул.Підлісна, 27А, с.Рафайлівка, Антрацитівський р-н, Луганська обл, 94682","864","264","849","66","535","65","600","","0","535","65","600","20","580","11","121","72","5","4","365","2","28.10.12"
"440024","111","Луганська область","сільський клуб, актовий зал
вул.Гагаріна, 18, с.Леськине, Антрацитівський р-н, Луганська обл., 94682","248","90","239","9","150","8","158","","0","150","8","158","4","154","0","20","22","6","0","102","4","28.10.12"
"440025","111","Луганська область","сільський клуб, фойє
вул.Дзержинського, сільський клуб, с.Ребрикове, Антрацитівський р-н, Луганська обл., 94665","712","232","703","28","457","23","480","","0","457","23","480","24","456","11","96","99","8","6","212","24","28.10.12"
"440026","111","Луганська область","сільський клуб, фойє
вул.Степанова, сільський клуб, с.Картушине, Антрацитівський р-н, Луганська обл., 94666","664","178","658","30","456","30","486","","0","456","30","486","12","474","6","101","100","7","5","249","6","28.10.12"
"440027","111","Луганська область","фельдшерський пункт, к.1
вул.Поштова, фельдшерський пункт, с.Мечетка, Антрацитівський р-н, Луганська обл., 94667","360","93","355","31","236","31","267","","0","236","31","267","10","257","5","33","34","6","0","176","3","28.10.12"
"440029","111","Луганська область","будинок культури, хол
вул.Первомайська, 6А, с.Червона Поляна, Антрацитівський р-н, Луганська обл., 94660","1312","455","1281","82","775","82","857","","0","775","82","857","27","830","24","99","101","14","1","577","14","28.10.12"
