"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Біленький
Олександр
Юрійович","Бобошко
Микола
Михайлович","Бухалов
Олександр
Юрійович","Іоффе
Юлій
Якович","Клименко
Дмитро
Володимирович","Козюберда
Костянтин
Григорійович","Костєв
Микола
Михайлович","Радченко
Ігор
Олександрович","Сичова
Олена
Іванівна","Сінченко
Сергій
Григорович","Хохлов
Юрій
Миколайович","Дата підписання протоколу"
"440738","112","Луганська область","Палац культури імені Жовтневої революції, к.50, 2-й поверх
вул.Дворцова, 1, м.Брянка, Луганська обл., 94100","2298","1125","2229","57","1126","47","1173","","0","1126","47","1173","50","1123","7","6","451","356","5","2","21","84","12","9","170","29.10.12"
"440739","112","Луганська область","дитяча школа мистецтв № 2, зал для виступів
Мікрорайон Тополя, 38, м.Брянка, Луганська обл., 94100","2214","1140","2147","40","1036","38","1074","","0","1036","38","1074","45","1029","6","5","411","338","6","9","27","86","5","7","129","29.10.12"
"440740","112","Луганська область","Будинок дитячої та юнацької творчості, хол
вул.Артема, 8, м.Брянка, Луганська обл., 94100","1866","932","1803","56","892","42","934","","0","892","42","934","50","884","4","4","355","283","5","6","13","65","7","7","135","29.10.12"
"440741","112","Луганська область","гімназія №3, хол
вул.Смоленська, 3, м.Брянка, Луганська обл., 94100","1224","600","1202","25","605","19","624","","0","605","19","624","34","590","7","2","250","165","5","2","10","46","6","6","91","29.10.12"
"440742","112","Луганська область","ТОВ ""Флагман"", хол
вул.Олеко Дундича, 1А, м.Брянка, Луганська обл., 94100","618","315","610","25","281","22","303","","0","281","22","303","15","288","0","1","142","76","1","2","4","24","2","4","32","28.10.12"
"440743","112","Луганська область","комбінат комунальних послуг, їдальня
вул.Майколони, 1, м.Брянка, Луганська обл., 94100","1326","719","1300","51","567","40","607","","0","567","40","607","17","590","6","1","310","148","2","4","4","32","6","4","73","29.10.12"
"440744","112","Луганська область","школа №2, хол
вул.Грибоїдова, 1, м.Брянка, Луганська обл., 94106","1638","840","1599","75","738","60","798","","0","738","60","798","47","751","2","3","348","232","3","6","7","30","4","2","114","29.10.12"
"440745","112","Луганська область","офіс ГТОВ ""Практик"", актова зала
вул.Балтійська, 1, м.Брянка, Луганська обл., 94102","1206","643","1180","17","546","17","563","","0","546","17","563","12","551","5","1","281","167","1","1","7","20","3","3","62","29.10.12"
"440746","112","Луганська область","центральна бібліотека, читальний зал
Мікрорайон-4, 23, м.Брянка, Луганська обл., 94113","1284","591","1264","32","665","28","693","","0","665","28","693","32","661","3","5","368","153","5","4","5","28","5","7","78","29.10.12"
"440747","112","Луганська область","школа №23, хол
Мікрорайон-4, 28, м.Брянка, Луганська обл., 94113","1956","918","1912","42","1001","37","1038","","0","1001","37","1038","55","983","4","10","425","297","1","6","17","57","7","13","146","29.10.12"
