"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ковшов
Михайло
Геннадійович","Мілейко
Володимир
Володимирович","Слєпцов
Микола
Миколайович","Тихонов
Віктор
Миколайович","Холопов
Олександр
Володимирович","Шакун
Сергій
Вікторович","Юник
Володимир
Йосипович","Дата підписання протоколу"
"000001","113","Луганська область","корпусне відділення № 2, 1 поверх
вул.Кірова, 65, м.Старобільськ, Луганська обл., 92700","912","240","672","0","672","0","672","","0","672","0","672","81","591","32","32","25","443","10","18","31","29.10.12"
"440065","113","Луганська область","районний будинок культури, фойє
пл.Горького, 8, смт Білокуракине, Білокуракинський р-н, Луганська обл., 92200","2264","953","2224","107","1216","95","1311","","0","1216","95","1311","49","1262","52","12","107","687","20","135","249","29.10.12"
"440066","113","Луганська область","гідродільниця, актова зала
вул.Чапаєва, 2, смт Білокуракине, Білокуракинський р-н, Луганська обл., 92200","1432","545","1416","77","810","77","887","","0","810","77","887","35","852","48","5","44","482","9","70","194","29.10.12"
"440067","113","Луганська область","сільський будинок культури ""Дружба"", фойє
вул.Чапаєва, 222, смт Білокуракине, Білокуракинський р-н, Луганська обл., 92200","1992","863","1964","127","1014","115","1129","","0","1014","115","1129","38","1091","48","21","80","607","13","113","209","29.10.12"
"440068","113","Луганська область","сільський клуб ""Рассвєт"", фойє
вул.Тимірязєва, 56, смт Білокуракине, Білокуракинський р-н, Луганська обл., 92200","536","144","531","79","317","75","392","","0","317","75","392","18","374","4","8","18","256","2","25","61","29.10.12"
"440069","113","Луганська область","школа, фойє
школа, с.Олексіївка, Білокуракинський р-н, Луганська обл., 92242","464","151","460","27","287","26","313","","0","287","26","313","15","298","10","0","26","184","7","15","56","28.10.12"
"440070","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Заїківка, Білокуракинський р-н, Луганська обл., 92243","192","47","181","14","131","14","145","","0","131","14","145","7","138","2","3","10","93","0","8","22","29.10.12"
"440071","113","Луганська область","школа, фойє
школа, с.Луб’янка, Білокуракинський р-н, Луганська обл., 92243","336","121","323","14","202","13","215","","0","202","13","215","9","206","17","3","13","114","2","18","39","29.10.12"
"440072","113","Луганська область","сільський будинок культури, фойє
сільський будинок культури, с.Нещеретове, Білокуракинський р-н, Луганська обл., 92252","968","329","959","79","569","70","639","","0","569","70","639","24","615","20","8","22","415","3","48","99","29.10.12"
"440073","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Паньківка, Білокуракинський р-н, Луганська обл., 92253","416","118","410","47","258","40","298","","0","258","40","298","13","285","11","5","18","177","3","35","36","28.10.12"
"440074","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Цілуйкове, Білокуракинський р-н, Луганська обл., 92253","272","63","262","30","181","28","209","","0","181","28","209","8","201","6","3","28","137","2","17","8","29.10.12"
"440075","113","Луганська область","сільський будинок культури, фойє
сільський будинок культури, с.Лизине, Білокуракинський р-н, Луганська обл., 92250","384","101","374","28","256","27","283","","0","256","27","283","11","272","6","1","11","121","0","120","13","29.10.12"
"440076","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Шапарівка, Білокуракинський р-н, Луганська обл., 92251","344","68","338","36","240","36","276","","0","240","36","276","9","267","5","9","3","186","1","35","28","28.10.12"
"440077","113","Луганська область","сільський будинок культури, фойє
сільський будинок культури, с.Бунчуківка, Білокуракинський р-н, Луганська обл., 92241","312","89","299","23","201","22","223","","0","201","22","223","7","216","6","4","7","123","2","12","62","29.10.12"
"440078","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Грицаївка, Білокуракинський р-н, Луганська обл., 92241","72","31","65","0","41","0","41","","0","41","0","41","7","34","0","1","4","25","0","1","3","28.10.12"
"440079","113","Луганська область","сільський клуб, актова зала
сільський клуб, с.Дем’янівка, Білокуракинський р-н, Луганська обл., 92240","536","176","526","25","337","23","360","","0","337","23","360","20","340","8","7","23","234","4","15","49","28.10.12"
"440080","113","Луганська область","школа, учбове приміщення
школа, с.Коноплянівка, Білокуракинський р-н, Луганська обл., 92240","232","72","229","19","144","16","160","","0","144","16","160","7","153","3","4","6","120","1","7","12","29.10.12"
"440081","113","Луганська область","сільський будинок культури, фойє
сільський будинок культури, с.Павлівка, Білокуракинський р-н, Луганська обл., 92222","800","335","784","46","422","43","465","","0","422","43","465","23","442","17","13","32","258","1","21","100","29.10.12"
"440082","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Стативчине, Білокуракинський р-н, Луганська обл., 92223","160","48","159","12","103","9","112","","0","103","9","112","8","104","0","3","11","70","0","12","8","28.10.12"
"440083","113","Луганська область","сільський будинок культури, фойє
сільський будинок культури, с.Курячівка, Білокуракинський р-н, Луганська обл., 92232","608","196","592","84","332","80","412","","0","332","80","412","31","381","10","9","6","261","5","15","75","29.10.12"
"440084","113","Луганська область","сільський клуб, фойє
сільський клуб, с.Попівка, Білокуракинський р-н, Луганська обл., 92233","240","82","234","15","144","14","158","","0","144","14","158","6","152","8","2","7","78","1","9","47","29.10.12"
"440085","113","Луганська область","сільська рада, фойє
сільська рада, с.Просторе, Білокуракинський р-н, Луганська обл., 92230","552","220","544","44","289","43","332","","0","289","43","332","12","320","6","1","14","167","2","59","71","29.10.12"
"440086","113","Луганська область","сільський клуб, актова зала
сільський клуб, с.Плахо-Петрівка, Білокуракинський р-н, Луганська обл., 92231","272","76","268","21","175","21","196","","0","175","21","196","9","187","12","7","5","94","3","31","35","28.10.12"
"440087","113","Луганська область","школа, вестибюль
школа, с.Тимошине, Білокуракинський р-н, Луганська обл., 92215","768","554","372","36","183","31","214","","0","183","31","214","11","203","7","6","10","119","3","13","45","28.10.12"
"440088","113","Луганська область","їдальня, к.2
їдальня, с.Чабанове, Білокуракинський р-н, Луганська обл., 92212","48","19","41","2","28","1","29","","0","28","1","29","2","27","0","0","2","17","0","2","6","29.10.12"
"440089","113","Луганська область","школа, фойє
школа, с.Олександропіль, Білокуракинський р-н, Луганська обл., 92220","360","117","349","22","222","21","243","","0","222","21","243","13","230","10","4","6","186","2","8","14","29.10.12"
