"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Багай
Ярослав
Романович","Березюк
Андрій
Тарасович","Герчук
Ігор
Володимирович","Купінець
Богдан
Іванович","Нєкрасов
Ігор
Євгенович","Садовий
Василь
Степанович","Середа
Степан
Васильович","Фаріон
Ірина
Дмитрівна","Хруставчук
Богдан
Іванович","Дата підписання протоколу"
"461876","116","Львівська область","Училище залізничного транспорту, їдальня
вул.Блажкевич, 14, м.Львів, 79052","2328","770","2314","20","1543","15","1558","","0","1543","15","1558","39","1519","5","267","25","11","42","50","24","1032","63","29.10.12"
"461877","116","Львівська область","Міський народний дім "" Білогорща"", актова зала
вул.Білогорща, 23, м.Львів, 79052","1216","372","1224","11","833","11","844","","0","833","11","844","24","820","2","92","14","2","3","37","17","622","31","31.10.12"
"461878","116","Львівська область","школа №65, вестибюль
вул.Роксоляни, 35, м.Львів, 79052","2424","765","2403","17","1649","10","1659","","0","1649","10","1659","30","1629","12","277","13","4","65","73","17","1071","97","29.10.12"
"461879","116","Львівська область","школа №65, вестибюль
вул.Роксоляни, 35, м.Львів, 79052","2440","707","2421","7","1729","4","1733","","0","1729","4","1733","22","1711","10","319","15","9","9","65","13","1212","59","29.10.12"
"461880","116","Львівська область","школа №67, хол, 2-й поверх
вул.Сяйво, 18, м.Львів, 79025","2128","759","2119","31","1350","19","1369","","0","1350","19","1369","34","1335","10","236","17","8","49","66","20","875","54","29.10.12"
"461881","116","Львівська область","школа №67, хол, 2-й поверх
вул.Сяйво, 18, м.Львів, 79025","2080","700","2082","30","1358","22","1380","","0","1358","22","1380","36","1344","6","261","20","11","51","57","20","861","57","29.10.12"
"461882","116","Львівська область","школа №67, спортивний зал, 1-й поверх
вул.Сяйво, 99, м.Львів, 79025","2056","726","2042","16","1317","13","1330","","0","1317","13","1330","39","1291","2","223","18","9","22","71","14","869","63","29.10.12"
"461883","116","Львівська область","Технікум м’ясо-молочної промисловості, спортивний зал
вул.Бортнянського, 30/32, м.Львів, 79039","2168","887","2124","23","1262","15","1277","","0","1266","14","1280","41","1239","9","232","11","9","87","41","16","735","99","30.10.12"
"461884","116","Львівська область","Технікум м’ясо-молочної промисловості, актова зала
вул.Бортнянського, 30/32, м.Львів, 79039","2280","849","2252","27","1418","13","1431","","0","1418","13","1431","37","1394","8","273","22","5","79","55","17","843","92","29.10.12"
"461885","116","Львівська область","Гуманітарна гімназія, спортивний зал
вул.Степанівни О., 13, м.Львів, 79016","2312","918","2293","34","1371","23","1394","","0","1371","23","1394","49","1345","9","223","16","8","81","70","25","824","89","29.10.12"
