"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Будулич
Андрій
Володимирович","Василько
Ростислав
Степанович","Великач
Зеновій
Мирославович","Дубневич
Богдан
Васильович","Загорський
Володимир
Степанович","Іщук
Андрій
Богданович","Мандзюк
Тарас
Ігорович","Михальчишин
Юрій
Адріянович","Пущак
Микола
Зіновійович","Свелеба
Ярослав
Богданович","Снєгирьов
Дмитро
Васильович","Дата підписання протоколу"
"460904","118","Львівська область","народний дім, актовий зал
вул.Шухевича, 81, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2136","607","2122","27","1504","25","1529","","0","1504","25","1529","26","1503","5","8","3","362","11","2","107","990","10","4","1","01.11.12"
"460905","118","Львівська область","школа №1, фойє
вул.Мазепи, 2, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2136","636","2133","23","1480","20","1500","","0","1480","20","1500","19","1481","2","2","5","316","14","2","72","1060","2","2","4","29.10.12"
"460906","118","Львівська область","поліклініка, фойє
вул.М.Вовчка, 1, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","1968","582","1959","38","1352","34","1386","","0","1352","34","1386","17","1369","4","8","7","237","23","3","91","987","6","2","1","29.10.12"
"460907","118","Львівська область","школа №2, фойє
вул.Сірка, 75, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2166","657","2155","20","1491","18","1509","","0","1491","18","1509","20","1489","4","6","9","223","2","8","86","1139","8","2","2","29.10.12"
"460908","118","Львівська область","народний дім, актовий зал
вул.Городоцька, 2, с.Конопниця, Пустомитівський р-н, Львівська обл., 81111","534","102","535","13","420","12","432","","0","420","12","432","8","424","5","0","3","109","6","2","29","269","1","0","0","29.10.12"
"460909","118","Львівська область","школа, фойє
вул.Геофізиків, 25, с.Лапаївка, Пустомитівський р-н, Львівська обл., 81113","2460","713","2449","16","1732","15","1747","","0","1732","15","1747","27","1720","5","5","7","288","21","5","102","1272","5","4","6","29.10.12"
"460910","118","Львівська область","музична школа, каб.1
вул.Тичини, 1, с.Холодновідка, Пустомитівський р-н, Львівська обл., 81112","870","217","860","16","637","16","653","","0","637","16","653","10","643","2","3","2","170","5","2","44","411","2","1","1","02.11.12"
"460911","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 5, с.Оброшине, Пустомитівський р-н, Львівська обл., 81115","1806","478","1792","42","1287","41","1328","","0","1287","41","1328","21","1307","6","5","0","226","12","1","68","983","1","4","1","29.10.12"
"460912","118","Львівська область","адміністративний корпус інституту, фойє
вул.Грушевського, 5, с.Оброшине, Пустомитівський р-н, Львівська обл., 81115","1530","480","1518","21","1033","17","1050","","0","1033","17","1050","10","1040","4","5","1","183","10","5","42","784","3","1","2","29.10.12"
"460913","118","Львівська область","народний дім, актовий зал
вул.Шашкевича, 44, с.Ставчани, Пустомитівський р-н, Львівська обл., 81118","1710","530","1710","20","1162","18","1180","","0","1162","18","1180","19","1161","4","3","1","285","5","1","52","802","5","2","1","29.10.12"
