"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрущенко
Андрій
Олександрович","Коб’ялковський
Михайло
Степанович","Кожан
Володимир
Дмитрович","Матвієнко
Ігор
Володимирович","Сенчук
Сергій
Степанович","Сех
Ірина
Ігорівна","Стецик
Юрій
Михайлович","Тлємішок
Наталія
Олександрівна","Туркевич
Леся
Йосипівна","Шульба
Михайло
Степанович","Щепанкевич
Іван
Станіславович","Яремків
Ольга
Михайлівна","Дата підписання протоколу"
"460001","119","Львівська область","ЗАТ ""Бродиагробуд"", актовий зал
вул.Й.Рота, 5А, м.Броди, Бродівський р-н, Львівська обл., 80600","2178","1099","2190","11","1070","9","1079","","0","1070","9","1079","17","1061","9","82","20","4","60","762","16","9","7","75","4","13","29.10.12"
"460002","119","Львівська область","школа №4, актовий зал
вул.Низька, 11, м.Броди, Бродівський р-н, Львівська обл., 80600","1830","667","1813","38","1127","36","1163","","0","1127","36","1163","22","1141","3","79","9","4","39","890","9","1","6","3","86","12","29.10.12"
"460003","119","Львівська область","будинок учнівської творчості, актовий зал
вул.22-го Січня, 62, м.Броди, Бродівський р-н, Львівська обл., 80600","1638","615","1633","11","1012","11","1023","","0","1012","11","1023","24","999","9","37","19","2","30","817","6","2","4","4","59","10","29.10.12"
"460004","119","Львівська область","народний дім ""Просвіта"", малий зал
вул.Коцюбинського, 7, м.Броди, Бродівський р-н, Львівська обл., 80600","1788","738","1782","34","1017","33","1050","","0","1017","33","1050","35","1015","10","68","36","6","44","713","35","4","6","8","74","11","29.10.12"
"460005","119","Львівська область","КП ""Броди"", актовий зал
вул.Залізнична, 44, м.Броди, Бродівський р-н, Львівська обл., 80600","2142","786","2133","34","1324","32","1356","","0","1324","32","1356","26","1330","11","85","36","4","84","949","44","1","9","5","84","18","29.10.12"
"460006","119","Львівська область","школа №3, актовий зал
вул.Шкільна, 1, м.Броди, Бродівський р-н, Львівська обл., 80600","2382","985","2366","29","1373","24","1397","","0","1373","24","1397","46","1351","18","101","36","2","62","934","30","6","6","15","116","25","29.10.12"
"460007","119","Львівська область","школа №2, актовий зал
вул.Бузова, 5, м.Броди, Бродівський р-н, Львівська обл., 80600","1818","760","1793","12","1046","12","1058","","0","1046","12","1058","23","1035","8","40","16","5","50","818","19","2","5","2","58","12","29.10.12"
"460008","119","Львівська область","Бродівський райавтодор, актовий зал
вул.Шептицького, 46, м.Броди, Бродівський р-н, Львівська обл., 80600","2478","941","2452","19","1521","16","1537","","0","1521","16","1537","37","1500","14","100","33","4","92","1091","18","5","12","4","109","18","29.10.12"
"460009","119","Львівська область","школа естетичного виховання, актовий зал
вул.Великі Фільварки, 13, м.Броди, Бродівський р-н, Львівська обл., 80600","2076","733","2055","42","1306","37","1343","","0","1306","37","1343","34","1309","9","51","28","6","60","1018","29","6","6","2","85","9","29.10.12"
"460010","119","Львівська область","народний дім""Просвіта"", актовий зал
вул.Центральна, 10, с.Батьків, Бродівський р-н, Львівська обл., 80665","354","78","346","42","234","42","276","","0","234","42","276","7","269","4","37","4","3","22","172","5","0","2","1","15","4","29.10.12"
