"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексюк
Леонід
Михайлович","Білак
Іван
Іванович","Галамай
Йосиф
Іванович","Денькович
Іван
Васильович","Дубневич
Ярослав
Васильович","Куп’як
Іван
Петрович","Петришин
Андрій
Михайлович","Тиндик
Андрій
Богданович","Чорновол
Тетяна
Миколаївна","Дата підписання протоколу"
"460149","120","Львівська область","школа, к.2, 1-й поверх
вул.Окружна, 104, с.Андріянів, Городоцький р-н, Львівська обл., 81564","248","58","250","22","171","19","190","","0","171","19","190","2","188","0","4","1","9","125","1","0","0","48","29.10.12"
"460150","120","Львівська область","школа, к.1, 1-й поверх
вул.Шкільна, 70, с.Бартатів, Городоцький р-н, Львівська обл., 81551","696","175","690","34","489","32","521","","0","489","32","521","10","511","1","16","8","5","212","6","6","37","220","29.10.12"
"460151","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Шкільна, 15, с.Братковичі, Городоцький р-н, Львівська обл., 81524","1016","208","1010","19","789","19","808","","0","789","19","808","16","792","2","8","7","18","584","7","2","19","145","29.10.12"
"460152","120","Львівська область","школа, к.8, 2-й поверх
вул.Театральна, 169В, с.Березець, Городоцький р-н, Львівська обл., 81570","720","171","704","65","484","65","549","","0","484","65","549","12","537","0","3","1","11","239","12","1","18","252","29.10.12"
"460153","120","Львівська область","школа, к.3, 1-й поверх
вул.Митрополита Йова Борецького, 39, с.Бірче, Городоцький р-н, Львівська обл., 81555","240","32","252","29","179","29","208","","0","179","29","208","3","205","0","12","2","5","95","4","1","8","78","29.10.12"
"460154","120","Львівська область","Народний дім, актова зала, 1-й поверх
вул.Миру, 52А, с.Бучали, Городоцький р-н, Львівська обл., 81560","1032","253","1022","54","728","51","779","","0","728","51","779","10","769","0","20","1","6","477","8","0","23","234","29.10.12"
"460155","120","Львівська область","Народний дім, к.2, 1-й поверх
вул.Центральна, 3, с.Вишня, Городоцький р-н, Львівська обл., 81540","1288","464","1276","68","762","62","824","","0","762","62","824","8","816","1","15","0","20","602","4","2","21","151","29.10.12"
"460156","120","Львівська область","санаторій ""Любінь Великий"", бібліотека, 1-й поверх
вул.Львівська, 16, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1096","323","1085","29","744","29","773","","0","744","29","773","13","760","0","7","1","14","335","42","11","69","281","29.10.12"
"460157","120","Львівська область","школа, спортивна зала, 1-й поверх
вул.Січових Стрільців, 2, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1384","429","1370","35","920","35","955","","0","920","35","955","7","948","6","15","2","11","451","16","9","52","386","29.10.12"
"460158","120","Львівська область","школа мистецтв, дзеркальна зала, 1-й поверх
вул.Львівська, 173, смт Великий Любінь, Городоцький р-н, Львівська обл., 81555","1064","369","1052","31","666","29","695","","0","666","29","695","11","684","2","5","4","11","299","45","4","41","273","29.10.12"
