"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барнацький
Павло
Степанович","Возняк
Віктор
Франкович","Гентош
Тарас
Йосифович","Грабовський
Святослав
Мирославович","Гук
Микола
Петрович","Задорожний
Іван
Маркович","Задорожний
Михайло
Леонович","Зубицька
Наталія
Петрівна","Ілик
Роман
Романович","Конц
Віктор
Ярославович","Курус
Ігор
Федорович","Курчик
Тарас
Михайлович","Лагодич
Микола
Миколайович","Одрехівський
Микола
Васильович","Сендак
Михайло
Дмитрович","Соколов
Віктор
Михайлович","Старовойтова
Валентина
Михайлівна","Трощановський
Костянтин
Анатолійович","Тустановський
Микола
Миронович","Янковський
Михайло
Петрович","Дата підписання протоколу"
"000006","121","Львівська область","
вул. Шевченка, 300, смт Східниця, м. Борислав, Львівська обл., 82391","80","50","36","0","30","0","30","","0","30","0","30","1","29","0","0","1","0","0","0","0","1","7","0","1","0","1","0","0","0","1","0","0","17","29.10.12"
"460223","121","Львівська область","народний дім, к.1
вул.І.Франка, 121, с.Бистриця, Дрогобицький р-н, Львівської обл., 82122","328","86","325","21","221","21","242","","0","221","21","242","7","235","4","2","0","0","8","8","25","3","110","1","37","1","23","0","1","0","0","0","0","12","29.10.12"
"460224","121","Львівська область","народний дім, к.1
вул.Залужна, 48, с.Биків, Дрогобицький р-н, Львівської обл., 82122","216","53","216","4","159","4","163","","0","159","4","163","5","158","3","0","1","2","6","3","17","3","71","1","11","3","24","1","0","1","0","1","0","10","29.10.12"
"460225","121","Львівська область","школа, к.1
вул.Шкільна, 7, с.Болехівці, Дрогобицький р-н, Львівська обл., 82170","1272","306","1268","78","890","76","966","","0","890","76","966","17","949","25","25","1","2","11","32","313","7","396","12","44","24","24","9","4","0","1","3","1","15","29.10.12"
"460226","121","Львівська область","народний дім, к.2
вул.Самбірська, 6, с.Брониця, Дрогобицький р-н, Львівська обл., 82120","664","206","670","59","399","59","458","","0","399","59","458","2","456","13","3","3","0","29","5","40","4","278","9","19","8","12","8","5","1","0","0","3","16","29.10.12"
"460227","121","Львівська область","народний дім, к.2
вул.Ювілейна, 75, с.Бистриця (Гірська), Дрогобицький р-н, Львівська обл., 82190","220","81","221","23","117","22","139","","0","117","22","139","5","134","16","0","0","1","0","2","5","1","74","5","9","1","1","0","17","0","0","0","0","2","29.10.12"
"460228","121","Львівська область","школа, к.3
вул.Дрогобицька, 19, с.Волоща, Дрогобицький р-н, Львівська обл., 82130","940","243","934","37","660","37","697","","0","660","37","697","17","680","35","34","0","0","10","39","268","1","215","6","16","1","3","2","7","0","0","1","0","42","29.10.12"
"460229","121","Львівська область","народний дім, к.1
вул.Волянська, 110, с.Воля Якубова, Дрогобицький р-н, Львівська обл., 82134","244","58","246","27","160","26","186","","0","160","26","186","3","183","5","1","0","0","4","5","30","1","107","2","9","0","0","1","2","1","0","0","0","15","29.10.12"
"460230","121","Львівська область","народний дім, к.2
вул.Тараса Шевченка, 23, с.Верхній Дорожів, Дрогобицький р-н, Львівська обл., 82131","1148","356","1150","114","685","107","792","","0","685","107","792","13","779","67","7","3","1","38","7","76","21","428","8","61","13","17","3","5","1","1","3","1","18","29.10.12"
"460231","121","Львівська область","народний дім, к.2
вул.Кармелюка, народний дім, с.Винники, Дрогобицький р-н, Львівська обл., 82125","620","177","606","52","391","52","443","","0","391","52","443","7","436","28","6","0","2","26","11","32","8","219","13","32","8","41","0","4","2","0","0","0","4","29.10.12"
