"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"000001","122","Львівська область","
вул.Курортна, 1, смт Шкло, Яворівський р-н, Львівська обл., 81051","456","344","174","0","112","0","112","","0","112","0","112","9","103","8","1","5","0","3","1","2","22","47","0","5","3","6","29.10.12"
"000002","122","Львівська область","
вул.Курортна, 21, смт Немирів, Яворівський р-н, Львівська обл., 81013","192","160","72","0","32","0","32","","0","32","0","32","2","30","2","0","4","0","2","0","0","6","11","0","1","0","4","29.10.12"
"460419","122","Львівська область","сільська рада, зала урочистих подій, 1-й поверх
вул.Шевченка, 16, с.Річки, Жовківський р-н, Львівська обл., 80310","966","278","956","25","666","22","688","","0","666","22","688","12","676","2","0","1","4","0","4","2","357","281","19","1","1","4","29.10.12"
"460420","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.П.Ратенського, 8А, с.Рата, Жовківський р-н, Львівська обл., 80310","510","173","511","9","328","9","337","","0","328","9","337","15","322","1","0","3","0","2","0","0","152","136","27","1","0","0","29.10.12"
"460421","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Моріна, 54, с.Шабельня, Жовківський р-н, Львівська обл., 80311","690","228","682","9","453","9","462","","0","453","9","462","20","442","0","0","3","4","2","5","4","220","175","25","3","0","1","29.10.12"
"460422","122","Львівська область","школа, актова зала, 1-й поверх
вул.Центральна, 67, с.Забір’я, Жовківський р-н, Львівська обл., 80313","984","240","971","65","683","61","744","","0","683","61","744","15","729","1","1","5","1","1","1","0","437","144","135","3","0","0","29.10.12"
"460423","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Клубна, 1Б, с.Синьковичі, Жовківський р-н, Львівська обл., 80314","450","137","448","16","297","16","313","","0","297","16","313","7","306","3","1","2","2","0","2","2","190","91","13","0","0","0","29.10.12"
"460424","122","Львівська область","школа, актова зала, 1-й поверх
вул.Шкільна, 1, с.Гійче, Жовківський р-н, Львівська обл., 80314","1578","535","1566","65","985","58","1043","","0","985","58","1043","19","1024","1","1","2","1","2","3","1","688","279","33","7","2","4","29.10.12"
"460425","122","Львівська область","школа, фойє, 1-й поверх
вул.академіка Возняка, 239, с.Волиця, Жовківський р-н, Львівська обл., 80315","1704","641","1683","37","1029","34","1063","","0","1029","34","1063","22","1041","3","1","3","0","0","2","4","560","418","39","4","1","6","29.10.12"
"460426","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Центральна, народний дім, с.Дев’ятир, Жовківський р-н, Львівська обл., 80321","342","105","341","26","211","26","237","","0","211","26","237","1","236","0","0","1","0","0","0","1","160","62","10","2","0","0","28.10.12"
