"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Абаімов
Василь
Петрович","Вавриньчук
Алла
Дмитрівна","Дідусь
Роман
Іванович","Заболотній
Анатолій
Григорович","Кравченко
Ярослав
Валентинович","Криштопа
Микола
Григорович","Курпіль
Степан
Володимирович","Лешик
Володимир
Іванович","Осміловський
Денис
Васильович","Дата підписання протоколу"
"460619","124","Львівська область","народний дім, зала для голосування
вул.Будівельна, 11, смт Добротвір, Кам’янка-Бузький р-н, Львівської обл., 80411","1616","574","1595","32","1023","19","1042","","0","1023","19","1042","20","1022","120","12","109","22","3","80","658","9","9","28.10.12"
"460620","124","Львівська область","школа, зала для голосування
вул.І.Франка, 30, смт Добротвір, Кам’янка-Бузький р-н, Львівської обл., 80411","1408","380","1397","46","984","44","1028","","0","984","44","1028","10","1018","117","16","93","16","8","66","690","4","8","29.10.12"
"460621","124","Львівська область","ВПУ-47, зала для голосування
вул.Сагайдачного, 3, смт Добротвір, Кам’янка-Бузький р-н, Львівської обл., 80411","2032","761","2012","12","1264","7","1271","","0","1264","7","1271","19","1252","210","7","109","21","7","106","774","13","5","29.10.12"
"460624","124","Львівська область","народний дім, зала для голосування
вул.Івана Франка, 116А, с.Батятичі, Кам’янка-Бузький р-н, Львівська обл., 80423","1584","541","1565","128","932","111","1043","","0","932","111","1043","42","1001","22","13","198","30","19","61","594","20","44","29.10.12"
"460644","124","Львівська область","бібліотека, зала для голосування
вул.Клубна, 1, с.Желдець, Кам’янка-Бузький р-н, Львівська обл., 80424","504","70","495","27","408","26","434","","0","408","26","434","6","428","12","4","39","36","7","28","290","8","4","29.10.12"
"460645","124","Львівська область","народний дім, зала для голосування
вул.Зелена, 2, с.Верени, Кам’янка-Бузький р-н, Львівська обл., 80424","120","37","121","19","64","19","83","","0","64","19","83","1","82","0","0","22","11","3","4","41","0","1","28.10.12"
"460646","124","Львівська область","народний дім, зала для голосування
вул.Пасічна, 12, с.Воля-Жовтанецька, Кам’янка-Бузький р-н, Львівська обл., 80424","184","26","186","28","132","26","158","","0","132","26","158","7","151","5","1","25","13","2","13","92","0","0","28.10.12"
"460647","124","Львівська область","магазин, зала для голосування
вул.Шкільна, 11, с.Мазярка, Кам’янка-Бузький р-н, Львівська обл., 80424","128","24","127","5","99","5","104","","0","99","5","104","0","104","2","1","11","19","0","9","58","4","0","29.10.12"
"460648","124","Львівська область","народний дім, зала для голосування
вул.Підгірна, 1, с.Сокіл, Кам’янка-Бузький р-н, Львівська обл., 80424","400","100","390","17","285","15","300","","0","285","15","300","11","289","3","5","41","24","2","14","190","7","3","29.10.12"
"460654","124","Львівська область","народний дім, зала для голосування
вул.Широка, 15, с.Зубів Міст, Кам’янка-Бузький р-н, Львівська обл., 80421","568","157","559","44","367","44","411","","0","367","44","411","13","398","22","5","48","25","13","55","219","4","7","29.10.12"
"460655","124","Львівська область","народний дім, зала для голосування
вул.Центральна, 4, с.Обидів, Кам’янка-Бузький р-н, Львівська обл., 80421","168","46","165","10","113","9","122","","0","113","9","122","3","119","5","2","11","16","5","10","66","0","4","28.10.12"
"460656","124","Львівська область","сільська рада, зала для голосування
вул.Центральна, 63, с.Незнанів, Кам’янка-Бузький р-н, Львівська обл., 80415","632","206","628","11","415","11","426","","0","415","11","426","14","412","20","7","92","14","8","20","247","3","1","29.10.12"
"460657","124","Львівська область","магазин, зала для голосування
вул.Мазярня-Каранська, 73, с.Мазярня-Каранська, Кам’янка-Бузький р-н, Львівська обл., 80415","112","14","113","4","94","4","98","","0","94","4","98","1","97","2","1","15","14","2","9","51","0","3","28.10.12"
"460659","124","Львівська область","народний дім, зала для голосування
вул.Центральна, 127, с.Полонична, Кам’янка-Бузький р-н, Львівська обл., 80416","360","83","353","16","261","16","277","","0","261","16","277","4","273","13","4","31","16","2","11","193","1","2","29.10.12"
"460660","124","Львівська область","сільська рада, зала для голосування
вул.Миру, 52, с.Прибужани, Кам’янка-Бузький р-н, Львівська обл., 80422","584","150","576","47","390","44","434","","0","390","44","434","6","428","22","4","35","16","3","22","317","5","4","29.10.12"
"460661","124","Львівська область","народний дім, зала для голосування
вул.Миру, 26, с.Руда, Кам’янка-Бузький р-н, Львівська обл., 80422","248","27","242","23","199","22","221","","0","199","22","221","3","218","10","3","37","25","0","13","130","0","0","28.10.12"
"460662","124","Львівська область","школа, зала для голосування
вул.Пісочна, 11, с.Руда-Сілецька, Кам’янка-Бузький р-н, Львівська обл., 80422","256","64","257","20","174","18","192","","0","174","18","192","3","189","8","1","13","6","4","6","148","1","2","28.10.12"
"460665","124","Львівська область","сільська рада, зала для голосування
вул.Надбужна, 57, с.Сілець, Кам’янка-Бузький р-н, Львівська обл., 80413","920","264","915","124","542","114","656","","0","542","114","656","10","646","15","6","210","10","1","30","366","6","2","28.10.12"
"460666","124","Львівська область","народний дім, зала для голосування
вул.І.Франка, 2, с.Старий Добротвір, Кам’янка-Бузький р-н, Львівська обл., 80410","960","231","949","64","670","59","729","","0","670","59","729","14","715","39","3","88","12","1","96","468","2","6","28.10.12"
"460667","124","Львівська область","народний дім, зала для голосування
вул.Шевченка, 33, с.Стриганка, Кам’янка-Бузький р-н, Львівська обл., 80410","328","55","326","25","254","19","273","","0","254","19","273","8","265","12","1","18","9","1","105","117","1","1","29.10.12"
"460668","124","Львівська область","народний дім, зала для голосування
вул.Грушевського, 3, с.Тишиця, Кам’янка-Бузький р-н, Львівська обл., 80410","224","40","235","22","162","22","184","","0","162","22","184","4","180","16","0","33","9","0","31","90","1","0","29.10.12"
"460669","124","Львівська область","народний дім, зала для голосування
вул.Центральна, 7, с.Матяші, Кам’янка-Бузький р-н, Львівська обл., 80410","512","152","526","63","303","57","360","","0","303","57","360","6","354","27","0","57","13","3","48","197","2","7","29.10.12"
"461205","124","Львівська область","Народний дім, актова зала
вул.Піскова, 10, с.Пісочне, Сокальський р-н, Львівська обл., 80010","120","36","122","12","72","12","84","","0","72","12","84","4","80","1","2","2","7","6","14","40","0","8","29.10.12"
