"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балишин
Михайло
Петрович","Босак
Володимир
Зіновійович","Гичка
Михайло
Михайлович","Завійський
Роман
Богданович","Копач
Ігор
Дмитрович","Лопушанський
Андрій
Ярославович","Мельник
Олена
Остапівна","Пукшин
Ігор
Гелярович","Ропецький
Володимир
Адамович","Семкович
Степан
Миронович","Тягнибок
Андрій
Ярославович","Шикітка
Дмитро
Миронович","Щекун
Василь
Йосипович","Дата підписання протоколу"
"461137","125","Львівська область","школа, спортивна зала
вул.Сонячна, 113, с.Ваньовичі, Самбірський р-н, Львівська обл., 81461","786","200","772","59","528","58","586","","0","528","58","586","3","583","2","1","135","0","1","144","0","59","1","2","234","3","1","29.10.12"
"461138","125","Львівська область","Торговий дім, урочиста зала
вул.Центральна, 28, с.Дубрівка, Самбірський р-н, Львівська обл., 81462","564","215","559","25","324","25","349","","0","324","25","349","6","343","3","1","19","0","1","48","1","109","1","1","144","12","3","28.10.12"
"461139","125","Львівська область","Стрілковицька сільська рада, зала засідань
вул.Самбірська, 42, с.Стрілковичі, Самбірський р-н, Львівська обл., 81460","990","267","983","57","670","53","723","","0","670","53","723","7","716","0","1","125","0","0","200","1","84","0","0","274","27","4","29.10.12"
"461148","125","Львівська область","Народний дім ""Орів-1"", зал зібрань
вул.Шевченка, 174, с.Орів, Сколівський р-н, Львівська обл., 82610","876","372","870","67","444","60","504","","0","444","60","504","13","491","2","0","26","4","4","78","2","88","1","0","267","16","3","29.10.12"
"461149","125","Львівська область","школа №2, їдальня
вул.Шевченка, 677, с.Орів, Сколівський р-н, Львівська обл., 82610","420","163","417","56","207","50","257","","0","207","50","257","9","248","0","2","23","2","2","54","4","36","1","4","111","5","4","29.10.12"
"461150","125","Львівська область","Народний дім, актовий зал
вул.Шевченка, 75, с.Зимівки, Сколівський р-н, Львівська обл., 82610","174","62","167","35","81","31","112","","0","81","31","112","4","108","2","0","7","1","3","16","1","20","1","0","54","1","2","02.11.12"
"461151","125","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Нижній кінець, 64, с.Ямельниця, Сколівський р-н, Львівська обл., 82611","378","119","376","40","220","39","259","","0","220","39","259","4","255","0","0","9","1","1","43","0","39","1","2","147","9","3","29.10.12"
"461152","125","Львівська область","Народний дім, кімната гуртків
вул.Шевченка, 216, с.Урич, Сколівський р-н, Львівська обл., 82612","222","66","221","22","134","22","156","","0","134","22","156","5","151","0","0","8","0","1","20","0","24","0","0","97","1","0","28.10.12"
"461153","125","Львівська область","Народний дім, актовий зал
вул.Степана Бандери, 98, с.Підгородці, Сколівський р-н, Львівська обл., 82612","1578","621","1572","67","892","65","957","","0","892","65","957","20","937","2","1","34","4","4","92","4","150","3","4","621","11","7","08.11.12"
"461154","125","Львівська область","школа, к.української мови і літератури
вул.Т.Шевченка, 59, с.Сопіт, Сколівський р-н, Львівська обл., 82666","528","149","525","46","334","45","379","","0","334","45","379","2","377","0","0","28","0","0","84","2","82","0","2","166","2","11","29.10.12"
"461155","125","Львівська область","Народний дім, актовий зал
вул.Б.Хмельницького, 8, с.Крушельниця, Сколівський р-н, Львівська обл., 82617","942","322","934","62","558","62","620","","0","558","62","620","20","600","5","0","14","1","1","153","1","133","0","3","270","11","8","30.10.12"
"461156","125","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Т.Г.Шевченка, 25, с.Корчин, Сколівський р-н, Львівська обл., 82616","972","273","969","81","624","75","699","","0","624","75","699","12","687","1","0","15","0","1","203","1","141","2","0","311","6","6","01.11.12"
"461157","125","Львівська область","Народний дім, актовий зал
вул.Лепкого, 12, с.Межиброди, Сколівський р-н, Львівська обл., 82613","198","50","196","9","139","9","148","","0","139","9","148","2","146","0","0","2","0","0","35","0","13","0","0","92","0","4","29.10.12"
"461158","125","Львівська область","школа, їдальня
вул.Грушевського, 13, смт Верхнє Синьовидне, Сколівський р-н, Львівська обл., 82613","1404","497","1354","53","856","51","907","","0","856","51","907","15","892","2","2","24","1","3","204","5","136","3","0","496","9","7","29.10.12"
"461159","125","Львівська область","школа мистецтв, танцювальний зал
вул.Січових Стрільців, 77, смт Верхнє Синьовидне, Сколівський р-н, Львівська обл., 82613","1440","507","1424","64","871","62","933","","0","871","62","933","17","916","2","2","42","2","3","254","0","120","14","2","461","9","5","29.10.12"
"461160","125","Львівська область","Народний дім, актовий зал
вул.Д.Галицького, 18, с.Нижнє Синьовидне, Сколівський р-н, Львівська обл., 82615","846","250","835","57","540","56","596","","0","540","56","596","10","586","1","1","10","1","0","160","0","58","2","1","337","8","7","29.10.12"
"461161","125","Львівська область","сільський клуб, актовий зал
вул.Л.Українки, 31, с.Побук, Сколівський р-н, Львівська обл., 82618","174","37","174","8","129","8","137","","0","129","8","137","2","135","0","3","8","0","0","28","0","29","0","0","65","2","0","28.10.12"
