"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гурський
Володимир
Сергійович","Загородний
Василь
Іванович","Канівець
Олег
Леонідович","Канівець
Сергій
Миколайович","Кіт
Андрій
Богданович","Михайлишин
Петро
Степанович","Муряш
Андрій
Богданович","Осташ
Ігор
Іванович","Рябошапко
Василь
Іванович","Семенюк
Анна
Богданівна","Сидоренко
Олександр
Нестерович","Тенюх
Ігор
Йосифович","Дата підписання протоколу"
"000001","126","Львівська область","
Відділення ""Лікувально-діагностичний центр"" вул.С.Бандери, 4, м.Моршин, Львівська обл., 82482","936","467","1055","0","469","0","469","","0","469","0","469","14","455","14","63","175","21","101","6","1","6","2","18","25","23","29.10.12"
"000002","126","Львівська область","
вул. Джерельна, 5, Львівська обл.,82482","306","223","157","0","83","0","83","","0","83","0","83","7","76","3","15","23","3","15","1","0","1","1","3","8","3","29.10.12"
"460298","126","Львівська область","Народний дім, актовий зал
вул.Шкільна, 119, с.Вибранівка, Жидачівський р-н, Львівська обл., 81710","510","183","508","42","288","39","327","","0","288","39","327","5","322","1","4","134","14","140","1","0","9","3","3","1","12","29.10.12"
"460299","126","Львівська область","Народний дім, актовий зал
вул.Зелена, 26, с.Бринці-Загірні, Жидачівський р-н, Львівська обл., 81710","186","58","181","18","112","16","128","","0","112","16","128","0","128","0","1","94","9","20","1","0","1","2","0","0","0","29.10.12"
"460300","126","Львівська область","Адмінбудинок сільської ради, зал засідань
вул.Зарічна, 22, с.Бринці-Церковні, Жидачівський р-н, Львівська обл., 81710","300","72","294","24","204","24","228","","0","204","24","228","9","219","0","4","123","14","68","2","1","0","0","2","0","5","29.10.12"
"460301","126","Львівська область","фельдшерсько-акушерський пункт, кімната для прийому хворих
вул.Шевченка, 9, с.Борусів, Жидачівський р-н, Львівська обл., 81710","132","30","131","10","92","10","102","","0","92","10","102","0","102","0","0","63","4","34","0","0","0","0","1","0","0","29.10.12"
"460302","126","Львівська область","Народний дім, актовий зал
вул.І.Франка, 21, с.Чижичі, Жидачівський р-н, Львівська обл., 81710","132","39","128","10","83","10","93","","0","83","10","93","6","87","0","0","44","4","37","0","0","1","0","1","0","0","29.10.12"
"460303","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Л.Українки, 9, с.Ходорківці, Жидачівський р-н, Львівська обл., 81713","162","35","161","7","123","4","127","","0","123","4","127","2","125","0","6","33","4","79","0","0","2","0","1","0","0","29.10.12"
"460304","126","Львівська область","школа, кабінет фізики
вул.Миру, 36, с.Соколівка, Жидачівський р-н, Львівська обл., 81713","60","11","59","5","44","5","49","","0","44","5","49","1","48","0","0","11","1","34","0","0","1","0","0","0","1","29.10.12"
"460305","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Січових Стрільців, 8, с.Кологори, Жидачівський р-н, Львівська обл., 81713","222","31","219","24","167","24","191","","0","167","24","191","1","190","1","3","40","7","129","2","1","1","0","3","0","3","29.10.12"
"460306","126","Львівська область","Народний дім ""Просвіта"", актовий зал
вул.Першотравнева, 3, с.П’ятничани, Жидачівський р-н, Львівська обл., 81713","144","28","144","12","104","12","116","","0","104","12","116","1","115","0","4","41","6","63","0","0","1","0","0","0","0","29.10.12"
"460307","126","Львівська область","житловий будинок, к.1
вул.Воз’єднання, 7, с.Сенів, Жидачівський р-н, Львівська обл., 81713","42","7","38","4","31","4","35","","0","31","4","35","1","34","0","0","5","2","27","0","0","0","0","0","0","0","29.10.12"
"460308","126","Львівська область","Народний дім, актовий зал
вул.1 Травня, 33, с.Квітневе, Жидачівський р-н, Львівська обл., 81714","294","29","295","26","239","26","265","","0","239","26","265","4","261","0","5","99","9","137","1","1","6","1","0","2","0","29.10.12"
"460309","126","Львівська область","Народний дім, актовий зал
вул.Джерельна, 35А, с.Трибоківці, Жидачівський р-н, Львівська обл., 81712","210","40","209","8","164","6","170","","0","164","6","170","4","166","0","0","60","6","98","0","0","2","0","0","0","0","28.10.12"
"460310","126","Львівська область","Народний дім, актовий зал
вул.Львівська, 47, с.Репехів, Жидачівський р-н, Львівська обл., 81712","174","29","174","19","130","15","145","","0","130","15","145","1","144","0","0","51","4","83","0","0","5","0","1","0","0","29.10.12"
"460311","126","Львівська область","Народний дім, актовий зал
вул.Миру, 8, с.Баківці, Жидачівський р-н, Львівська обл., 81712","234","36","234","14","184","14","198","","0","184","14","198","3","195","0","1","79","7","105","3","0","0","0","0","0","0","29.10.12"
"460312","126","Львівська область","Народний дім, актовий зал
вул.І.Франка, 14, с.Дев’ятники, Жидачівський р-н, Львівська обл., 81711","288","84","288","25","179","25","204","","0","179","25","204","5","199","0","7","66","9","104","1","0","5","0","2","0","5","29.10.12"
"460313","126","Львівська область","Народний дім, актовий зал
вул.Шевченка, 21, с.Юшківці, Жидачівський р-н, Львівська обл., 81711","132","32","128","18","83","17","100","","0","83","17","100","0","100","0","0","54","7","35","0","2","1","1","0","0","0","29.10.12"
"460314","126","Львівська область","Народний дім, актовий зал
вул.Жовтнева, 3, с.Прибілля, Жидачівський р-н, Львівська обл., 81711","90","29","84","12","50","11","61","","0","50","11","61","2","59","0","0","14","0","43","1","0","0","0","0","0","1","29.10.12"
"460315","126","Львівська область","Народний дім, актовий зал
вул.Л.Українки, 39, с.Калинівка, Жидачівський р-н, Львівська обл., 81711","102","38","99","9","57","7","64","","0","57","7","64","1","63","0","8","27","2","25","0","0","1","0","0","0","0","29.10.12"
"460316","126","Львівська область","Народний дім, актовий зал
вул.Гагаріна, 1, с.Бертишів, Жидачівський р-н, Львівська обл., 81714","132","29","128","17","86","17","103","","0","86","17","103","0","103","0","5","26","6","65","0","0","1","0","0","0","0","28.10.12"
"460317","126","Львівська область","Народний дім, актовий зал
вул.Мороза, 1, с.Орішківці, Жидачівський р-н, Львівська обл., 81716","138","33","139","17","90","15","105","","0","90","15","105","4","101","0","3","60","6","31","0","0","0","0","0","1","0","29.10.12"
"460318","126","Львівська область","школа, кл.9
вул.Микулінського, 5, с.Кнісело, Жидачівський р-н, Львівська обл., 81716","252","74","245","22","160","18","178","","0","160","18","178","6","172","0","6","110","7","42","0","0","1","0","0","0","6","29.10.12"
"460319","126","Львівська область","школа, актовий зал
вул.Шевченка, 7, смт Нові Стрілища, Жидачівський р-н, Львівська обл., 81714","714","221","707","52","443","50","493","","0","443","50","493","3","490","2","8","263","25","162","1","0","15","1","1","0","12","29.10.12"
"460320","126","Львівська область","Народний дім, актовий зал
вул.Космонавтів, 12, с.Старі Стрілища, Жидачівський р-н, Львівська обл., 81714","198","67","197","27","107","24","131","","0","107","24","131","1","130","0","2","28","1","96","0","1","1","0","1","0","0","29.10.12"
"460321","126","Львівська область","школа, кл.7
вул.Коновальця, 4, с.Бориничі, Жидачівський р-н, Львівська обл., 81721","534","146","540","53","337","51","388","","0","337","51","388","7","381","2","1","190","16","159","3","1","3","0","1","0","5","29.10.12"
"460322","126","Львівська область","Народний дім, актовий зал
вул.Л.Українки, 32, с.Дроховичі, Жидачівський р-н, Львівська обл., 81721","72","14","71","13","47","11","58","","0","47","11","58","2","56","0","0","29","4","23","0","0","0","0","0","0","0","29.10.12"
"460323","126","Львівська область","школа, актовий зал
вул.Галицька, 84, с.Чорний Острів, Жидачівський р-н, Львівська обл., 81721","600","157","595","71","373","70","443","","0","373","70","443","6","437","2","5","262","19","140","0","0","2","0","1","1","5","29.10.12"
