"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Євгенія
Сергіївна","Виноградський
Максим
Павлович","Волошин
Юрій
Миколайович","Данилевська
Надія
Леонідівна","Ільюк
Артем
Олександрович","Іовенко
Катерина
Вікторівна","Ісаков
Сергій
Михайлович","Макар’ян
Давид
Борисович","Мудрак
Олег
Іванович","Найда
Олег
Володимирович","Паливода
Сергій
Миколайович","Пучков
Сергій
Євгенійович","Дата підписання протоколу"
"480781","128","Миколаївська область","школа №44, спортивний зал
вул.Знаменська, 1, м.Миколаїв, 54037","2436","1363","2421","29","1052","21","1073","","0","1052","21","1073","37","1036","14","8","10","4","435","7","232","77","103","10","13","123","29.10.12"
"480782","128","Миколаївська область","будинок культури мікрорайону Кульбакине, фойє
вул.Райдужна, 38, м.Миколаїв, 54037","2208","1131","2188","19","1061","16","1077","","0","1061","16","1077","38","1039","10","12","11","6","442","4","265","52","82","13","16","126","29.10.12"
"480783","128","Миколаївська область","школа №14, фойє
вул.Вільна, 38, м.Миколаїв, 54037","1770","872","1745","27","871","27","898","","0","871","27","898","27","871","8","14","18","2","399","10","130","93","109","3","14","71","29.10.12"
"480784","128","Миколаївська область","школа №14, хол
вул.Вільна, 38, м.Миколаїв, 54037","2334","1167","2312","32","1143","24","1167","","0","1143","24","1167","45","1122","15","10","19","10","455","7","217","94","138","15","24","118","29.10.12"
"480785","128","Миколаївська область","міська станція юннатів, актова зала
вул.Прибузька, 83, м.Миколаїв, 54022","1566","720","1562","24","828","18","846","","0","828","18","846","27","819","4","15","9","3","347","4","143","47","135","4","15","93","29.10.12"
"480786","128","Миколаївська область","ТОВ ""Миколаївзеленгосп"", хол їдальні
вул.Маячна, 1, м.Миколаїв, 54022","1752","863","1756","15","879","10","889","","0","879","10","889","21","868","7","14","8","4","332","3","186","81","132","8","12","81","29.10.12"
"480787","128","Миколаївська область","школа-інтеранат №6, хол
вул.Рибна, 95, м.Миколаїв, 54049","2376","1258","2374","25","1101","17","1118","","0","1101","17","1118","53","1065","14","14","11","13","352","8","206","112","193","15","37","90","29.10.12"
"480788","128","Миколаївська область","Дитячо-юнацька спортивна школа №5, спортивний зал
вул.Марії Ульянової, 2А, м.Миколаїв, 54049","2142","1157","2127","15","975","10","985","","0","975","10","985","30","955","7","17","12","6","318","7","174","97","168","17","36","96","29.10.12"
"480789","128","Миколаївська область","школа №47, хол
вул.Торгова, 72, м.Миколаїв, 54050","1674","887","1661","15","776","11","787","","0","776","11","787","25","762","8","10","14","5","232","6","141","68","151","13","22","92","29.10.12"
"480790","128","Миколаївська область","Дошкільний навчальний заклад №121, музичний хол
вул.Коротка, 24, м.Миколаїв, 54050","2364","1432","2363","22","913","19","932","","0","913","19","932","32","900","7","20","9","5","272","4","141","54","264","11","19","94","29.10.12"
"480791","128","Миколаївська область","Вище професійне училище №7, хол
вул.Ватутіна, 275, м.Миколаїв, 54050","1476","792","1466","7","678","6","684","","0","678","6","684","22","662","4","12","6","8","206","6","117","40","164","9","21","69","29.10.12"
"480792","128","Миколаївська область","вечірня школа №1, клас трудового навчання
вул.Ватутіна, 92, м.Миколаїв, 54050","1632","870","1619","14","752","10","762","","0","752","10","762","26","736","4","10","6","2","290","5","121","53","138","25","26","56","29.10.12"
"480793","128","Миколаївська область","школа №40, хол
вул.Металургів, 96/1, м.Миколаїв, 54050","2454","1245","2436","25","1186","23","1209","","0","1186","23","1209","47","1162","8","19","8","12","455","7","179","72","207","18","54","123","29.10.12"
"480794","128","Миколаївська область","Корабельна районна санепідемстанція, хол
вул.Ольшанців, 66, м.Миколаїв, 54050","1836","934","1812","20","889","13","902","","0","889","13","902","19","883","10","9","9","4","281","3","207","63","175","26","38","58","29.10.12"
"480795","128","Миколаївська область","Управління соціальних виплат та компенсацій Корабельного району, актова зала
вул.Новобудівна, 1, м.Миколаїв, 54050","2274","1191","2255","14","1074","9","1083","","0","1074","9","1083","34","1049","7","17","12","7","391","11","226","56","156","8","58","100","29.10.12"
"480796","128","Миколаївська область","школа №43, хол
просп.Жовтневий, 291, м.Миколаїв, 54050","2418","1191","2394","25","1205","22","1227","","0","1205","22","1227","21","1206","7","16","12","7","392","5","314","68","185","13","64","123","29.10.12"
"480797","128","Миколаївська область","школа мистецтв №2, актова зала
просп.Жовтневий, 332, м.Миколаїв, 54050","1812","952","1780","18","846","14","860","","0","846","14","860","34","826","7","10","5","6","291","7","172","47","137","11","40","93","29.10.12"
"480798","128","Миколаївська область","школа №48, спортивний зал навчальної школи
вул.Генерала Попеля, 164А, м.Миколаїв, 54051","2208","1085","2179","6","1117","6","1123","","0","1117","6","1123","33","1090","6","19","7","9","390","3","240","70","155","16","60","115","28.10.12"
"480799","128","Миколаївська область","школа №48, хол навчальної школи
вул.Генерала Попеля, 164А, м.Миколаїв, 54051","1626","683","1611","12","934","9","943","","0","934","9","943","22","921","17","18","6","12","305","2","206","42","131","6","82","94","30.10.12"
"480800","128","Миколаївська область","школа №48, хол, праве крило
вул.Генерала Попеля, 164А, м.Миколаїв, 54051","2100","1003","2073","8","1093","4","1097","","0","1092","4","1096","32","1064","10","9","3","2","425","4","226","71","147","11","71","85","29.10.12"
"480801","128","Миколаївська область","школа №48, хол, ліве крило
вул.Генерала Попеля, 164А, м.Миколаїв, 54051","1662","807","1638","12","846","9","855","","0","846","9","855","16","839","11","9","1","4","320","5","217","46","106","8","39","73","29.10.12"
