"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Влащенко
Олександр
Володимирович","Воронцов
Михайло
Юрійович","Жолобецький
Олександр
Олександрович","Жук
Микола
Васильович","Мірошниченко
Олексій
Володимирович","Сторчеус
Віктор
Олександрович","Хобта
Лариса
Юріївна","Дата підписання протоколу"
"000001","129","Миколаївська область","
вул.Лагерне поле, 5, м. Миколаїв, 54030","1311","328","1013","7","976","7","983","","0","976","7","983","279","704","99","108","78","242","54","54","69","29.10.12"
"480308","129","Миколаївська область","будинок культури, музична гостинна
вул.Леніна, 62, смт Воскресенське, Жовтневий р-н, Миколаївська обл., 57210","2288","1296","2272","46","953","39","992","","0","953","39","992","78","914","12","121","219","422","34","32","74","29.10.12"
"480309","129","Миколаївська область","школа, їдальня
вул.Горького, 66, смт Воскресенське, Жовтневий р-н, Миколаївська обл., 57210","1600","939","1588","30","642","19","661","","0","642","19","661","70","591","8","85","134","280","41","17","26","29.10.12"
"480310","129","Миколаївська область","селищна рада, зала засідань
вул.Ювілейна, 9, смт Первомайське, Жовтневий р-н, Миколаївська обл., 57232","592","288","580","15","290","14","304","","0","290","14","304","10","294","4","24","73","172","7","7","7","29.10.12"
"480311","129","Миколаївська область","будинок культури, актова зала
вул.Ювілейна, 11, смт Первомайське, Жовтневий р-н, Миколаївська обл., 57232","2040","1058","2007","46","943","39","982","","0","943","39","982","36","946","9","80","223","595","14","4","21","29.10.12"
"480312","129","Миколаївська область","контора СТОВ ""Синтез"", зал засідань
вул.Шкільна, 10, с-ще Засілля, Жовтневий р-н, Миколаївська обл., 57233","592","276","593","13","305","11","316","","0","305","11","316","11","305","2","29","68","184","7","3","12","28.10.12"
"480313","129","Миколаївська область","школа, актова зала
вул.Шкільна, 1, с-ще Квітневе, Жовтневий р-н, Миколаївська обл., 57236","328","119","322","3","206","3","209","","0","206","3","209","2","207","0","12","36","143","0","1","15","29.10.12"
"480314","129","Миколаївська область","школа, актова зала
вул.Пушкіна, 14, с.Новоселівка, Жовтневий р-н, Миколаївська обл., 57237","352","168","346","13","173","11","184","","0","173","11","184","13","171","1","7","52","107","0","1","3","28.10.12"
"480315","129","Миколаївська область","школа, фойє
вул.Радянська, 61, с.Бармашове, Жовтневий р-н, Миколаївська обл., 57230","1176","499","1163","61","620","57","677","","0","620","57","677","16","661","5","31","101","494","9","2","19","29.10.12"
"480316","129","Миколаївська область","будинок культури, фойє
вул.Новоселів, 39, с.Галицинове, Жовтневий р-н, Миколаївська обл., 57286","2032","946","1996","50","1046","40","1086","","0","1046","40","1086","88","998","14","88","264","548","20","23","41","29.10.12"
"480317","129","Миколаївська область","школа, їдальня
вул.14 гвардійської дивізії, 3, с-ще Грейгове, Жовтневий р-н, Миколаївська обл., 57223","1352","664","1339","96","601","87","688","","0","601","87","688","29","659","4","68","182","336","13","17","39","29.10.12"
"480318","129","Миколаївська область","сільський клуб, актова зала
вул.Першотравнева, 21, с.Червоне, Жовтневий р-н, Миколаївська обл., 57226","376","179","370","4","195","2","197","","0","195","2","197","15","182","1","12","46","97","4","1","21","28.10.12"
"480319","129","Миколаївська область","школа, кабінет початкових класів, 1-й поверх
вул.Космонавтів, 23, с.Воровське, Жовтневий р-н, Миколаївська обл., 57223","224","95","222","7","127","2","129","","0","127","2","129","6","123","1","8","41","59","3","0","11","28.10.12"
