"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бриченко
Ігор
Віталійович","Ольшевський
Фелікс
Вікторович","Орєхова
Олена
Володимирівна","Скорий
Микола
Вікторович","Чорноморець
Сергій
Григорович","Дата підписання протоколу"
"480028","130","Миколаївська область","районний палац культури, хол
вул.Баштанської республіки, 40, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","1976","1001","1938","62","915","60","975","","0","915","60","975","55","920","536","308","11","56","9","29.10.12"
"480029","130","Миколаївська область","гімназія, спортзал
вул.Карла Маркса, 53, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","1760","871","1740","38","851","38","889","","0","851","38","889","35","854","442","344","15","44","9","29.10.12"
"480030","130","Миколаївська область","школа №2, спортзал, 1-й поверх
вул.Ювілейна, 102, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","2016","1042","1992","31","945","29","974","","0","945","29","974","48","926","524","302","23","62","15","29.10.12"
"480031","130","Миколаївська область","міський культурний центр, к.1, 2-й поверх
вул.Олександра Сизоненка, 1Б, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","1424","742","1430","29","657","25","682","","0","657","25","682","33","649","317","254","26","43","9","29.10.12"
"480032","130","Миколаївська область","управління зрошувальних систем, актова зала
вул.Соборна, 100, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","1520","817","1507","35","671","32","703","","0","671","32","703","33","670","404","196","14","50","6","29.10.12"
"480033","130","Миколаївська область","відділ освіти райдержадміністрації, хол
вул.Полтавська, 41, м.Баштанка, Баштанський р-н, Миколаївська обл., 56101","1768","778","1757","52","944","46","990","","0","944","46","990","28","962","517","335","8","92","10","29.10.12"
"480034","130","Миколаївська область","сільський клуб, глядацький зал
вул.Центральна, 21, с.Шевченко, Баштанський р-н, Миколаївська обл., 56101","136","62","126","4","70","4","74","","0","70","4","74","5","69","42","20","2","5","0","29.10.12"
"480035","130","Миколаївська область","сільський клуб, глядацький зал
вул.Малиновського, 18, с.Зелений Яр, Баштанський р-н, Миколаївська обл., 56101","112","32","111","1","80","0","80","","0","80","0","80","2","78","37","31","2","6","2","29.10.12"
"480036","130","Миколаївська область","холл сільського клубу
вул.Перемоги, 21, с-ще Андріївка, Баштанський р-н, Миколаївська обл., 56101","128","31","131","0","97","0","97","","0","97","0","97","5","92","25","56","2","7","2","29.10.12"
"480037","130","Миколаївська область","школа, спортзал
вул.Центральна, 57, с.Добре, Баштанський р-н, Миколаївська обл., 56156","1224","759","1204","52","425","40","465","","0","425","40","465","26","439","205","175","12","39","8","29.10.12"
"480038","130","Миколаївська область","школа, вестибюль
вул.Лесі Українки, 40, с.Новоєгорівка, Баштанський р-н, Миколаївська обл., 56157","1072","656","1063","29","390","26","416","","0","390","26","416","27","389","146","175","14","47","7","29.10.12"
"480039","130","Миколаївська область","будинок культури, фойє
вул.Центральна, 3, с.Добра Криниця, Баштанський р-н, Миколаївська обл., 56172","784","415","772","32","337","32","369","","0","337","32","369","23","346","106","177","10","47","6","29.10.12"
