"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Дмитрович","Гержов
Юрій
Іванович","Іванченко
Василь
Миколайович","Печерський
Володимир
Анатолійович","Стулін
Андрій
Миколайович","Телятник
Юрій
Васильович","Чупрін
Сергій
Анатолійович","Шелех
Петро
Валентинович","Дата підписання протоколу"
"480070","131","Миколаївська область","будинок культури, танцювальний зал, 1-й поверх
вул.Леніна, 35, смт Березанка, Березанський р-н, Миколаївська обл., 57400","2376","1066","2355","55","1259","51","1310","","0","1259","51","1310","77","1233","90","432","41","7","156","185","150","172","29.10.12"
"480071","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Леніна, 50, смт Березанка, Березанський р-н, Миколаївська обл., 57400","1208","669","1176","11","531","8","539","","0","531","8","539","23","516","27","184","17","6","72","86","61","63","29.10.12"
"480072","131","Миколаївська область","сільський клуб, фойє
вул.Карла Маркса, 55, с.Малахове, Березанський р-н, Миколаївська обл., 57410","512","220","505","10","282","10","292","","0","282","10","292","29","263","16","143","6","3","23","27","22","23","28.10.12"
"480073","131","Миколаївська область","контора АФ ім. Потриваєва, 1-й поверх
вул.Садова, 47, с.Анатолівка, Березанський р-н, Миколаївська обл., 57450","640","249","626","48","347","44","391","","0","347","44","391","24","367","19","194","8","6","14","75","15","36","29.10.12"
"480074","131","Миколаївська область","будинок культури, фойє
вул.Леніна, 71, с.Василівка, Березанський р-н, Миколаївська обл., 57411","768","323","753","29","427","18","445","","0","427","18","445","28","417","36","117","12","6","45","56","36","109","29.10.12"
"480075","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Шкільна, 36, с.Данилівка, Березанський р-н, Миколаївська обл., 57425","368","184","361","10","175","9","184","","0","175","9","184","9","175","17","72","3","4","9","24","13","33","29.10.12"
"480076","131","Миколаївська область","школа, їдальня, 1-й поверх
вул.Шкільна, 2, с-ще Тронка, Березанський р-н, Миколаївська обл., 57426","264","138","259","3","123","3","126","","0","123","3","126","6","120","4","65","2","0","6","16","11","16","29.10.12"
"480077","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Миру, 1, с.Дмитрівка, Березанський р-н, Миколаївська обл., 57420","592","265","584","24","307","20","327","","0","307","20","327","22","305","15","122","8","2","33","71","23","31","29.10.12"
"480078","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Слави, 64, с.Комісарівка, Березанський р-н, Миколаївська обл., 57421","392","159","395","11","223","10","233","","0","223","10","233","16","217","15","99","3","7","15","37","15","26","29.10.12"
"480079","131","Миколаївська область","сільська рада, зал засідань
вул.Леніна, 17, с.Кімівка, Березанський р-н, Миколаївська обл., 57440","912","477","892","22","416","19","435","","0","416","19","435","18","417","70","156","17","7","42","51","32","42","29.10.12"
