"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Козловський
Анатолій
Михайлович","Корнацький
Аркадій
Олексійович","Пєшехонов
Анатолій
Анатолійович","Романюк
Анатолій
Сергійович","Терьохін
Сергій
Євгенович","Толубко
Володимир
Борисович","Травянко
Віталій
Іванович","Дата підписання протоколу"
"480001","132","Миколаївська область","РК ТСОУ, к.2А, 1-й поверх
вул.Шевченка, 91, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","696","213","707","46","439","44","483","","0","439","44","483","11","472","24","121","18","44","5","22","238","29.10.12"
"480002","132","Миколаївська область","школа №2, спортивний зал, 1-й поверх
вул.Шевченка, 203, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","1120","399","1130","50","676","45","721","","0","676","45","721","16","705","31","194","16","80","8","17","359","29.10.12"
"480003","132","Миколаївська область","Арбузинський аграрний ліцей, фойє, 2-й поверх
вул.Шевченка, 219, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","1088","523","1086","51","514","51","565","","0","514","51","565","27","538","30","131","5","34","0","23","315","28.10.12"
"480004","132","Миколаївська область","школа №1, к.1, 1-й поверх
вул.Шкільна, 96, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","848","359","864","46","449","40","489","","0","449","40","489","30","459","36","105","6","40","2","12","258","29.10.12"
"480005","132","Миколаївська область","адміністративне приміщення ЗАТ ""УКРАЇНА"", актовий зал, 2-й поверх
вул.Учительська, 38, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","640","301","642","25","316","23","339","","0","316","23","339","13","326","21","93","9","34","6","12","151","29.10.12"
"480006","132","Миколаївська область","МБК ЗАТ ""Україна"", глядацький зал, 1-й поверх
вул.Учительська, 138, смт Арбузинка, Арбузинський р-н, Миколаївська обл., 55301","592","224","600","53","319","49","368","","0","319","49","368","17","351","30","104","9","49","4","12","143","28.10.12"
"480007","132","Миколаївська область","будинок культури, зал, 1-й поверх
вул.Фрунзе, 47, с.Полянка, Арбузинський р-н, Миколаївська обл., 55311","256","124","248","9","125","7","132","","0","125","7","132","4","128","7","51","4","11","3","3","49","29.10.12"
"480008","132","Миколаївська область","міський будинок культури, фойє, 1-й поверх
пл.Жовтневої революції, 18, смт Костянтинівка, Арбузинський р-н, Миколаївська обл., 55340","1064","548","1050","34","489","27","516","","0","489","27","516","33","483","65","133","3","18","5","24","235","28.10.12"
"480009","132","Миколаївська область","школа, фойє, 1-й поверх
вул.Садова, 2, смт Костянтинівка, Арбузинський р-н, Миколаївська обл., 55340","1104","577","1102","33","497","30","527","","0","497","30","527","26","501","55","111","7","24","3","24","277","29.10.12"
"480010","132","Миколаївська область","школа, к.10, 1-й поверх
вул.Шкільна, 31, с.Бузьке, Арбузинський р-н, Миколаївська обл., 55342","192","77","184","12","103","12","115","","0","103","12","115","2","113","14","28","0","6","2","0","63","28.10.12"
"480011","132","Миколаївська область","школа, спортивний зал, 1-й поверх
вул.50 років ВЛКСМ, 62, с-ще Кавуни, Арбузинський р-н, Миколаївська обл., 55026","640","235","628","28","377","28","405","","0","377","28","405","17","388","28","101","2","20","6","12","219","29.10.12"
