"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Архіпова
Русудан
Датушаєвна","Барда
Ростислав
Миколайович","Вацюк
Світлана
Миколаївна","Гончаренко
Олексій
Олексійович","Дімов
Олег
Петрович","Колесниченко
Олег
Володимирович","Косова
Валентина
Юріївна","Курлов
Андрій
Вікторович","Маланін
Олександр
Юрійович","Марков
Ігор
Олегович","Медведенко
Анатолій
Андрійович","Мілєва
Вікторія
Володимирівна","Моисеєва
Зоя
Миколаївна","Олійник
Віктор
Іванович","Остапенко
Олександр
Анатолійович","Петров
Володимир
Володимирович","Преснов
Юрій
Олександрович","Пульча
Ганна
Дем’янівна","Пушкар
Микола
Петрович","Рибаков
Олексій
Володимирович","Сафін
Ігор
Вікторович","Сахневич
Сергій
Йосипович","Семенюк
Юрій
Євгенович"
"511073","133","Одеська область","школа №82, хол, 1-й поверх
просп.Маршала Жукова, 12А, м.Одеса, 65101","2259","996","2248","15","1252","11","1263","","0","1252","11","1263","31","1232","5","79","1","393","2","0","1","0","0","330","3","0","4","0","118","4","85","3","0","4","99","0",""
"511074","133","Одеська область","школа №82, хол, 1-й поверх
просп.Маршала Жукова, 12А, м.Одеса, 65101","2421","1133","2401","12","1279","9","1288","","0","1279","9","1288","45","1243","5","79","0","296","3","4","3","0","0","361","0","1","2","0","128","8","122","1","1","2","105","0",""
"511075","133","Одеська область","школа №82, їдальня, 1-й поверх
просп.Маршала Жукова, 12А, м.Одеса, 65101","2391","1134","2377","6","1253","4","1257","","0","1252","4","1256","47","1209","8","65","4","307","2","4","5","0","4","263","2","4","2","4","123","6","151","2","1","0","137","1",""
"511076","133","Одеська область","дитячий садок №278, спортивна зала, 1-й поверх
просп.Маршала Жукова, 16А, м.Одеса, 65114","2370","1020","2357","19","1335","15","1350","","0","1333","15","1348","35","1313","5","63","1","429","1","3","2","0","3","346","3","2","3","0","106","4","120","0","0","0","98","1",""
"511077","133","Одеська область","верстатобудівельний технікум, хол, 1-й поверх
вул.Академіка Корольова, 5 корп. 2, м.Одеса, 65101","2262","1122","2266","9","1133","7","1140","","0","1133","7","1140","24","1116","4","34","2","207","5","5","1","0","1","260","4","3","1","2","223","10","94","1","0","0","138","1",""
"511078","133","Одеська область","дитячий садок №211, актова зала, 1-й поверх
просп.Маршала Жукова, 17А, м.Одеса, 65101","2325","1206","2322","25","1100","19","1119","","0","1100","19","1119","35","1084","5","59","3","213","1","0","1","0","1","299","0","1","4","3","124","2","109","1","1","1","109","0",""
"511079","133","Одеська область","школа №33, велика спортивна зала
вул.Космонавта Комарова, 8, м.Одеса, 65101","2286","1214","2276","14","1062","10","1072","","0","1062","10","1072","41","1031","6","71","6","222","1","3","3","0","3","283","2","3","9","2","124","4","54","0","3","0","129","0",""
"511080","133","Одеська область","школа №33, хол, 1-й поверх
вул.Космонавта Комарова, 8, м.Одеса, 65101","1983","1028","1959","32","931","24","955","","0","931","24","955","32","923","2","51","1","222","3","7","1","1","2","250","1","2","7","3","134","5","55","0","0","0","88","1",""
"511081","133","Одеська область","економічний ліцей, їдальня, 1-й поверх
вул.Люстдорфська дорога, 33, м.Одеса, 65059","2121","1033","2108","27","1071","17","1088","","0","1071","17","1088","49","1039","5","63","3","260","3","7","2","0","1","256","1","2","10","2","126","7","60","6","2","1","100","3",""
"511082","133","Одеська область","школа №27, хол, 1-й поверх
вул.Люстдорфська дорога, 33, м.Одеса, 65059","2247","1133","2232","29","1089","25","1114","","0","1089","25","1114","39","1075","5","68","2","256","3","3","4","0","3","299","0","1","7","2","156","5","48","0","0","1","99","0",""
"511083","133","Одеська область","дитячий садок №147, музична зала, 1-й поверх
вул.Краснова, 9Б, м.Одеса, 65059","2256","1133","2234","16","1109","14","1123","","0","1109","14","1123","52","1071","11","57","2","268","0","2","5","0","1","257","2","2","6","5","155","7","70","1","2","2","106","1",""
"511084","133","Одеська область","дитячий садок №173, музична зала, 1-й поверх
вул.Танкерна, 5А, м.Одеса, 65049","2427","1290","2390","17","1122","15","1137","","0","1122","15","1137","52","1085","3","43","4","198","2","2","3","2","2","302","2","2","4","6","158","9","110","2","1","2","118","3",""
"511085","133","Одеська область","медичний центр ""Андромед"", хол, 1-й поверх
вул.Суднобудівна, 1, м.Одеса, 65049","2247","1017","2230","18","1215","15","1230","","0","1215","15","1230","38","1192","9","49","3","284","4","5","2","0","2","331","2","4","5","2","162","12","63","0","0","3","127","0",""
"511086","133","Одеська область","дитячий садок №85, музична зала, 1-й поверх
вул.Фонтанська дорога, 14Б, м.Одеса, 65062","2427","1353","2461","15","1062","12","1074","","0","1062","12","1074","47","1027","8","58","3","178","4","0","0","0","1","227","0","0","7","7","193","17","74","3","0","4","117","4",""
"511087","133","Одеська область","школа №81, хол, 1-й поверх
вул.Фонтанська дорога, 26, м.Одеса, 65016","2343","1145","2338","21","1183","15","1198","","1","1182","15","1197","36","1161","5","57","1","266","2","1","3","0","2","311","2","2","6","8","183","12","75","4","1","2","95","2",""
"511088","133","Одеська область","СОН ""Чубаївка"", к.2
вул.Жовтневої революції, 43, м.Одеса, 65049","2421","1431","2402","20","977","13","990","","0","977","13","990","54","936","2","34","6","113","1","5","5","2","1","298","2","3","7","2","155","4","93","2","2","1","96","1",""
"511089","133","Одеська область","школа-інтернат №7, хол, 1-й поверх
вул.Авдєєва-Чорноморського, 23, м.Одеса, 65016","2295","1473","2277","10","813","9","822","","0","813","9","822","25","797","3","13","1","99","10","4","0","1","0","205","3","1","2","3","163","10","59","0","0","0","116","0",""
"511090","133","Одеська область","школа-інтернат №91, хол, 1-й поверх
вул.Репіна, 1, м.Одеса, 65016","2400","1388","2399","25","992","20","1012","","0","992","20","1012","34","978","7","45","3","130","1","1","2","2","2","273","0","3","2","3","161","7","86","2","2","0","119","0",""
