"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алайбов
Віталій
Васильович","Вєтров
Олександр
Олександрович","Гарагуля
Петро
Вікторович","Гриневецький
Сергій
Рафаїлович","Каптусарова
Наталя
Олександрівна","Кисса
Петро
Васильович","Козловська
Лариса
Олексіївна","Кухар
Оксана
Вячеславівна","Матієнко
Валерій
Іванович","Наполова
Людмила
Олексіївна","Усов
Костянтин
Глібович","Хайкін
Євгеній
Ігоревич","Чекіта
Геннадій
Леонідович","Дата підписання протоколу"
"000001","134","Одеська область","
Люстдорфська дорога, 11, м.Одеса","2112","696","1433","71","1346","70","1416","","0","1346","70","1416","279","1137","46","49","27","390","33","38","21","30","30","23","86","13","351","29.10.12"
"511159","134","Одеська область","навчально-виховний комплекс №4, їдальня, 1-й поверх
просп.Адміральський, 32, м.Одеса, 65010","2118","1023","2095","27","1077","18","1095","","0","1077","18","1095","28","1067","26","11","3","444","1","60","10","6","22","11","198","4","271","29.10.12"
"511160","134","Одеська область","навчально-виховний комплекс №4, спортивна зала
просп.Адміральський, 32, м.Одеса, 65010","1758","946","1735","14","798","14","812","","0","798","14","812","27","785","12","13","2","329","4","28","2","3","12","10","151","10","209","29.10.12"
"511161","134","Одеська область","навчально-виховний комплекс №4, актова зала
просп.Адміральський, 32, м.Одеса, 65010","2226","1107","2246","10","1109","10","1119","","0","1108","10","1118","29","1089","56","35","14","377","11","61","20","18","120","48","126","11","192","29.10.12"
"511162","134","Одеська область","ветеринарний факультет Одеського державного аграрного університету, ауд.2
вул.Краснова, 3А, м.Одеса, 65010","2296","1268","2248","14","1017","11","1028","","0","1017","11","1028","37","991","25","22","27","279","9","95","9","12","45","19","143","13","293","29.10.12"
"511163","134","Одеська область","спеціалізована школа №64, актова зала
вул.Маршала Малиновського, 23, м.Одеса, 65059","2310","1082","2294","34","1205","23","1228","","0","1205","23","1228","44","1184","47","15","5","379","5","68","15","5","18","15","250","6","356","29.10.12"
"511164","134","Одеська область","гімназія №5, вестибюль
вул.Маршала Малиновського, 29А, м.Одеса, 65059","1458","763","1442","19","681","14","695","","0","681","14","695","24","671","21","12","1","226","1","31","7","1","7","20","147","2","195","29.10.12"
"511165","134","Одеська область","школа №25, вестибюль
вул.Академіка Філатова, 23Б, м.Одеса, 65080","2034","999","2030","24","1012","23","1035","","0","1012","23","1035","58","977","26","10","5","347","6","59","15","4","13","20","174","7","291","29.10.12"
"511166","134","Одеська область","школа №100, спортивна зала
вул.Варненська, 12, м.Одеса, 65065","2376","1156","2374","32","1196","24","1220","","0","1196","24","1220","42","1178","42","15","4","404","5","84","12","3","17","24","227","2","339","29.10.12"
"511167","134","Одеська область","школа №100, вестибюль
вул.Варненська, 12, м.Одеса, 65065","2448","1198","2443","10","1242","8","1250","","0","1239","8","1247","61","1186","44","18","7","342","5","100","13","8","30","21","208","6","384","30.10.12"
