"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ківалов
Сергій
Васильович","Ліознов
Сергій
Григорович","Торшин
Валерій
Іванович","Усов
Володимир
Володимирович","Цехович
Віталій
Анатолійович","Дата підписання протоколу"
"000001","135","Одеська область","хол, 2-й поверх
вул.Преображенська, 44, м.Одеса, 65045","56","13","45","0","43","0","43","","0","43","0","43","2","41","30","0","3","6","2","29.10.12"
"511245","135","Одеська область","Одеський технічний коледж Одеської національної академії харчових технологій, хол, 1-й поверх
вул.Балківська, 54, м.Одеса, 65110","2432","1651","2442","10","772","9","781","","0","772","9","781","44","737","408","12","21","187","109","29.10.12"
"511246","135","Одеська область","спеціалізована школа №21, шкільний коридор, 2-й поверх
пров.Старокінний, 9, м.Одеса, 65091","2432","1543","2423","11","880","9","889","","0","880","9","889","65","824","437","16","25","246","100","29.10.12"
"511247","135","Одеська область","дошкільний навчальний заклад №160, музична зала, 2-й поверх
вул.Сєрова, 29, м.Одеса, 65020","1960","1208","1948","13","742","10","752","","0","742","10","752","52","700","380","3","24","192","101","29.10.12"
"511248","135","Одеська область","спеціалізована школа №10, актова зала, 2-й поверх
вул.Десятого Квітня, 22, м.Одеса, 65020","2264","1298","2279","19","951","15","966","","0","951","15","966","63","903","518","15","25","238","107","29.10.12"
"511249","135","Одеська область","школа №26, коридор, 1-й поверх
вул.Старопортофранківська, 32, м.Одеса, 65020","2272","1290","2253","14","971","11","982","","0","971","11","982","52","930","498","17","24","254","137","29.10.12"
"511250","135","Одеська область","Одеська національна морська академія, корпус 7, хол, 1-й поверх
вул.Дідріхсона, 8, м.Одеса, 65029","2416","1599","2399","15","807","10","817","","0","807","10","817","47","770","431","12","11","215","101","29.10.12"
"511251","135","Одеська область","Одеська державна академія будівництва та архітектури, хол, 1-й поверх
вул.Дідріхсона, 4, м.Одеса, 65029","2360","1399","2395","10","953","8","961","","0","952","8","960","51","909","430","15","36","218","210","29.10.12"
"511252","135","Одеська область","Інститут інженерно-екологічних систем академії будівництва та архітектури, вестибюль, 1-й поверх
вул.Дідріхсона, 4, м.Одеса, 65029","2152","1411","2177","8","735","6","741","","0","735","6","741","34","707","338","14","27","179","149","29.10.12"
"511253","135","Одеська область","спеціалізована школа №50, коридор, 1-й поверх
вул.Кінна, 46, м.Одеса, 65023","2432","1404","2428","24","1012","16","1028","","0","1012","16","1028","60","968","545","11","40","233","139","01.11.12"
