"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аверкієва
Наталя
Віталіївна","Азаров
Вячеслав
Валентинович","Акімова
Ірина
Валентинівна","Атанасов
Віталій
Георгійович","Бакутін
Олег
Ігоревич","Бизу
Вадим
Степанович","Биковський
Юрій
Петрович","Білецький
Олег
Валерійович","Бовбалан
Сергій
Іванович","Боріна
Ірина
Миколаївна","Братчук
Сергій
Борисович","Вареничев
Володимир
Миколайович","Васильченко
Олег
Вячеславович","Векю
Олександр
Семенович","Гливий
Юрій
Дмитрович","Дубіненко
Сергій
Іванович","Єсенович
Ірина
Ігорівна","Костенко
Ольга
Василівна","Лашманов
Володимир
Іванович","Локайчук
Валерій
Федорович","Сомов
Олександр
Олегович","Труханов
Геннадій
Леонідович","Дата підписання протоколу"
"511219","136","Одеська область","ТОВ ""Ветінструмент"", вестибюль
вул.Боженка, 19Б, м.Одеса, 65098","2272","1492","2275","13","768","12","780","","0","768","12","780","51","729","7","29","8","2","5","2","2","5","24","8","67","38","1","3","1","6","4","10","2","11","95","399",""
"511221","136","Одеська область","Офісне пріміщення ПП Жуков В.М.
вул.Паркова, 75к.Є, м.Одеса, 65031","1788","1068","1798","4","717","3","720","","0","717","3","720","38","682","7","17","9","2","5","1","3","9","37","5","118","31","1","3","1","3","5","10","4","16","103","292",""
"511340","136","Одеська область","дошкільний заклад №88, спортивна зала, 1-й поверх
вул.Балківська, 42Б, м.Одеса, 65110","2456","1374","2448","25","1061","21","1082","","0","1061","21","1082","34","1048","4","23","15","9","6","2","1","9","55","8","121","43","2","3","4","1","4","29","9","20","217","463",""
"511341","136","Одеська область","школа №5, вестибюль, 1-й поверх
вул.Балківська, 42, м.Одеса, 65110","2396","1233","2372","29","1139","24","1163","","0","1139","24","1163","39","1124","10","27","13","1","8","0","1","10","28","8","140","66","1","3","1","2","8","12","12","16","208","549",""
"511342","136","Одеська область","школа-інтернат №1, хореографічна зала, 1-й поверх
пл.Молоді, 17, м.Одеса, 65006","2476","1580","2457","16","883","13","896","","0","883","13","896","42","854","10","24","15","1","6","0","2","5","46","5","88","36","2","3","2","4","5","19","4","10","192","375",""
"511343","136","Одеська область","школа-інтернат №1, спортивна зала, 1-й поверх
пл.Молоді, 17, м.Одеса, 65006","2364","1504","2353","19","843","17","860","","0","843","17","860","32","828","8","23","7","6","1","3","3","10","42","3","95","31","3","7","4","4","6","17","3","14","140","398",""
"511344","136","Одеська область","школа №76, вестибюль, 1-й поверх
вул.Академіка Воробйова, 24, м.Одеса, 65006","2451","1497","2442","22","935","19","954","","0","935","19","954","68","886","2","21","13","5","2","4","2","7","33","10","117","56","0","2","3","4","9","24","7","13","135","417",""
"511345","136","Одеська область","школа №76, спортивна зала, 1-й поверх
вул.Академіка Воробйова, 24, м.Одеса, 65006","2396","1414","2400","17","972","10","982","","0","972","10","982","55","927","6","17","8","7","19","3","5","11","27","12","134","44","3","14","3","1","21","22","11","10","154","395",""
"511346","136","Одеська область","школа №61, вестибюль, 1-й поверх
вул.Академіка Воробйова, 20, м.Одеса, 65031","2464","1470","2453","9","987","7","994","","0","987","7","994","38","956","8","13","6","1","7","0","1","7","31","1","113","48","2","5","2","2","9","12","4","18","185","481",""
"511347","136","Одеська область","школа №11, вестибюль, 1-й поверх
вул.Академіка Воробйова, 6, м.Одеса, 65031","2448","1410","2442","30","1016","22","1038","","0","1016","22","1038","46","992","5","23","11","2","3","0","1","5","49","8","115","41","4","2","0","0","2","16","4","16","184","501",""
