"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Кіріца
Юрій
Іванович","Клімов
Леонід
Михайлович","Мадон
Ігор
Іванович","Мартинюк
Сергій
Яковлевич","Салтановський
Микола
Васильович","Сокерчак
В’ячеслав
Михайлович","Сорока
Віктор
Петрович","Дата підписання протоколу"
"510070","137","Одеська область","міжшкільний навчально-виробничий комбінат, актова зала
вул.Уварова, 95, м.Балта, Балтський р-н, Одеська обл., 66101","1416","855","1387","23","540","21","561","","0","540","21","561","9","552","79","229","6","16","36","62","124","29.10.12"
"510071","137","Одеська область","АТП 15170, актова зала
вул.Калініна, 53, м.Балта, Балтський р-н, Одеська обл., 66101","1936","1160","1901","45","732","44","776","","0","732","44","776","37","739","104","340","9","19","29","101","137","30.10.12"
"510072","137","Одеська область","школа №2, вестибюль
вул.Шевченка, 4, м.Балта, Балтський р-н, Одеська обл., 66101","1224","549","1202","16","661","14","675","","0","661","14","675","26","649","53","317","9","23","26","87","134","29.10.12"
"510073","137","Одеська область","дитячий садок №9, актова зала, 1-й поверх
вул.Котовського, 75, м.Балта, Балтський р-н, Одеська обл., 66101","1560","735","1542","30","796","29","825","","0","796","29","825","37","788","88","340","14","39","35","91","181","29.10.12"
"510074","137","Одеська область","дитячий садок №6, актова зала
вул.Гагаріна, 74, м.Балта, Балтський р-н, Одеська обл., 66101","1584","745","1540","19","822","17","839","","0","822","17","839","35","804","85","366","8","26","32","93","194","29.10.12"
"510075","137","Одеська область","школа №3, актова зала, 1-й поверх
вул.Уварова, 43, м.Балта, Балтський р-н, Одеська обл., 66101","1352","695","1346","19","642","15","657","","0","642","15","657","20","637","84","250","7","28","41","84","143","28.10.12"
"510076","137","Одеська область","ветеринарна лікарня, актова зала
вул.50 років Жовтня, 111, м.Балта, Балтський р-н, Одеська обл., 66101","936","460","914","14","462","14","476","","0","462","14","476","23","453","61","198","7","17","27","46","97","28.10.12"
"510077","137","Одеська область","будинок культури, глядацька зала
вул.Уварова, 33, м.Балта, Балтський р-н, Одеська обл., 66101","1096","572","1084","12","512","12","524","","0","511","12","523","25","498","56","212","11","35","13","61","110","29.10.12"
"510078","137","Одеська область","музична школа, актова зала
вул.Котовського, 284, м.Балта, Балтський р-н, Одеська обл., 66101","1240","595","1217","28","624","21","645","","0","624","21","645","25","620","69","208","8","27","31","143","134","29.10.12"
"510079","137","Одеська область","дитячий садок №11, актова зала
вул.Леніна, 57, м.Балта, Балтський р-н, Одеська обл., 66101","1512","786","1528","9","719","7","726","","0","719","7","726","27","699","91","286","6","33","25","84","174","28.10.12"
