"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Заботкін
Микола
Олександрович","Задорожнюк
Василь
Миколайович","Кісловський
Андрій
В’ячеславович","Ніколайчук
Юрій
Володимирович","Тімонін
Олександр
Олександрович","Фурсін
Іван
Геннадійович","Дата підписання протоколу"
"000001","138","Одеська область","
вул.Леніна, 45, м. Ананьїв, Одеська обл., 66400","88","25","63","9","54","9","63","","0","54","9","63","7","56","2","3","10","0","5","36","29.10.12"
"000002","138","Одеська область","
вул.Леніна, 47, смт Любашівка, Любашівський р-н, Одеська обл., 66502","136","108","32","18","10","18","28","","0","10","18","28","0","28","0","3","4","0","2","19","28.10.12"
"510001","138","Одеська область","міська рада, сесійна зала
вул.Незалежності, 20, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","1248","716","1226","31","504","28","532","","0","504","28","532","19","513","9","70","67","4","60","303","28.10.12"
"510002","138","Одеська область","школа-інтернат, коридор, 1-й поверх
вул.Аносова, 44, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","864","463","853","15","391","10","401","","0","391","10","401","19","382","9","54","53","13","39","214","28.10.12"
"510003","138","Одеська область","гімназія, коридор, 1-й поверх
вул.Пушкіна, 36, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","2128","1138","2100","24","969","21","990","","0","969","21","990","32","958","13","157","140","22","123","503","29.10.12"
"510004","138","Одеська область","Ананьївський професійний ліцей, актовий зал клубу
вул.Ніщинського, 7, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","592","301","586","19","275","16","291","","0","275","16","291","18","273","3","42","38","4","31","155","29.10.12"
"510005","138","Одеська область","ліцей, актова зала
вул.Пушкіна, 52, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","1008","539","1005","11","461","8","469","","0","461","8","469","22","447","9","80","70","8","48","232","29.10.12"
"510006","138","Одеська область","технікум, бібліотека нижнього корпусу
вул.Гагаріна, 1, м.Ананьїв, Ананьївський р-н, Одеська обл., 66400","792","443","782","10","342","7","349","","0","342","7","349","11","338","3","59","53","1","38","184","29.10.12"
"510007","138","Одеська область","сільська рада, к.5
вул.Леніна, 23, с.Ананьїв, Ананьївський р-н, Одеська обл., 66421","912","575","900","16","326","11","337","","0","326","11","337","18","319","6","40","47","5","25","196","28.10.12"
"510008","138","Одеська область","школа №6, спортивний зал
вул.Котовського, 20, с.Ананьїв, Ананьївський р-н, Одеська обл., 66424","848","519","833","16","313","16","329","","0","313","16","329","34","295","4","48","35","8","39","161","29.10.12"
"510009","138","Одеська область","ФАП, робоча кімната
вул.Центральна, 26, с.Селиванівка, Ананьївський р-н, Одеська обл., 66427","120","44","117","13","66","10","76","","0","66","10","76","0","76","2","14","6","2","6","46","28.10.12"
"510010","138","Одеська область","сільська рада, сесійний зал
вул.Пушкіна, 2, с.Ананьїв, Ананьївський р-н, Одеська обл., 66422","896","509","892","37","362","25","387","","0","362","25","387","30","357","15","57","38","13","34","200","29.10.12"
"510011","138","Одеська область","будинок культури, зал урочистих подій
вул.Шевченко, 211, с.Ананьїв, Ананьївський р-н, Одеська обл., 66422","328","164","314","11","158","6","164","","0","158","6","164","11","153","3","26","18","8","14","84","28.10.12"
"510012","138","Одеська область","школа №5, к.1
вул.Шевченко, 68, с.Ананьїв, Ананьївський р-н, Одеська обл., 66423","408","177","409","24","211","20","231","","0","211","20","231","11","220","1","17","20","6","19","157","29.10.12"
"510013","138","Одеська область","школа, коридор, 1-й поверх
вул.Тараса Шевченка, 51, с.Байтали, Ананьївський р-н, Одеська обл., 66412","496","208","483","39","255","33","288","","0","255","33","288","15","273","5","61","54","5","18","130","30.10.12"
"510014","138","Одеська область","школа І-ІІІ ст., навчальна кімната
вул.Леніна, 128, с.Гандрабури, Ананьївський р-н, Одеська обл., 66428","784","412","775","25","349","23","372","","0","349","23","372","26","346","3","19","24","5","16","279","28.10.12"
"510015","138","Одеська область","школа І-ІІ ст., ігровий зал
вул.Щорса, 9, с.Гандрабури, Ананьївський р-н, Одеська обл., 66428","888","472","868","25","397","19","416","","0","397","19","416","27","389","6","34","20","9","18","302","28.10.12"
"510016","138","Одеська область","школа №4, коридор, 1-й поверх
вул.Центральна, 115, с.Долинське, Ананьївський р-н, Одеська обл., 66442","392","201","382","44","147","44","191","","0","147","44","191","7","184","5","24","31","4","13","107","29.10.12"
"510017","138","Одеська область","сільська рада, зал урочистих подій
вул.Центральна, 2, с.Долинське, Ананьївський р-н, Одеська обл., 66442","664","316","657","24","324","24","348","","0","324","24","348","11","337","5","51","49","6","45","181","28.10.12"
"510018","138","Одеська область","колишня школа №5, спортивний зал
вул.Маркса Карла, 208А, с.Долинське, Ананьївський р-н, Одеська обл., 66442","472","264","468","33","176","32","208","","0","176","32","208","15","193","2","16","3","2","21","149","28.10.12"
"510019","138","Одеська область","колишня школа №3, навчальний кабінет
вул.Кірова, 63А, с.Долинське, Ананьївський р-н, Одеська обл., 66442","480","255","471","37","190","35","225","","0","190","35","225","17","208","3","7","18","1","6","173","28.10.12"
"510020","138","Одеська область","ДП ""Украгросоюз"", робочий кабінет
вул.Кірова, 8, с.Долинське, Ананьївський р-н, Одеська обл., 66442","664","333","656","33","299","32","331","","0","299","32","331","10","321","10","42","19","11","14","225","29.10.12"
"510021","138","Одеська область","школа №1, фойє
вул.Октябрська, 43, с.Жеребкове, Ананьївський р-н, Одеська обл., 66410","1328","790","1300","40","508","30","538","","0","508","30","538","26","512","18","59","110","15","33","277","29.10.12"
