"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасим’юк
Ольга
Володимирівна","Пресман
Олександр
Семенович","Тюхтій
Микола
Петрович","Царьков
Євген
Ігорович","Дата підписання протоколу"
"510222","139","Одеська область","будинок культури, актова зала
вул.Котовського, 12, с.Августівка, Біляївський р-н, Одеська обл., 67632","1288","738","1280","0","550","0","550","","0","550","0","550","43","507","111","298","24","74","29.10.12"
"510223","139","Одеська область","сільський клуб, зала
вул.Радянська, 32Б, с.Алтестове, Біляївський р-н, Одеська обл., 67660","152","65","149","2","85","2","87","","0","85","2","87","7","80","26","23","2","29","28.10.12"
"510230","139","Одеська область","будинок культури, зала
вул.Леніна, 64Б, с.Василівка, Біляївський р-н, Одеська обл., 67613","1472","870","1467","31","580","22","602","","0","580","22","602","23","579","154","314","17","94","28.10.12"
"510237","139","Одеська область","будинок культури, мала зала
вул.50 років Жовтня, 46, с.Вигода, Біляївський р-н, Одеська обл., 67620","2016","1298","1997","52","690","28","718","","0","690","28","718","46","672","233","293","27","119","29.10.12"
"510238","139","Одеська область","ТОВ ""Елеватор-Вигода"", зала
вул.Елеваторна, 1, с.Вигода, Біляївський р-н, Одеська обл., 67620","1168","743","1162","34","399","26","425","","0","399","26","425","34","391","128","172","23","68","28.10.12"
"510241","139","Одеська область","школа №1, будівля спортивної зали
вул.Клубна, 2Б, с.Дачне, Біляївський р-н, Одеська обл., 67624","2480","1553","2461","29","904","23","927","","0","904","23","927","75","852","220","394","27","211","29.10.12"
"510242","139","Одеська область","будинок культури, фойє
вул.Миру, 5, с.Дачне, Біляївський р-н, Одеська обл., 67624","2504","1367","2488","46","1095","42","1137","","0","1095","42","1137","76","1061","332","436","32","261","29.10.12"
"510243","139","Одеська область","сільський клуб, зала
вул.Центральна, 27, с.Дачне, Біляївський р-н, Одеська обл., 67624","2064","1205","2061","50","824","35","859","","0","824","35","859","69","790","207","375","19","189","29.10.12"
"510246","139","Одеська область","будинок культури, зала
вул.Леніна, 5, с.Іллінка, Біляївський р-н, Одеська обл., 67630","1224","686","1218","11","527","11","538","","0","527","11","538","27","511","98","297","12","104","29.10.12"
"510248","139","Одеська область","будинок культури, зала
вул.Леніна, 65, с.Кам’янка, Біляївський р-н, Одеська обл., 67610","1040","551","1028","19","470","19","489","","0","470","19","489","20","469","97","290","15","67","28.10.12"
"510249","139","Одеська область","сільський клуб, зала
вул.Іванова, 2А, с.Котовка, Біляївський р-н, Одеська обл., 67633","1656","876","1650","43","751","29","780","","0","751","29","780","25","755","204","409","20","122","28.10.12"
"510252","139","Одеська область","сільська рада, зала урочистих подій
вул.Покровська, 1, с.Маринівка, Біляївський р-н, Одеська обл., 67631","432","177","437","22","233","22","255","","0","233","22","255","9","246","57","163","2","24","28.10.12"
"510257","139","Одеська область","Міжлиманська школа, фойє
вул.Єлісєєва, 20, с-ще Набережне, Біляївський р-н, Одеська обл., 67632","960","386","950","2","572","2","574","","0","572","2","574","22","552","120","294","20","118","29.10.12"
"510263","139","Одеська область","будинок культури, каб.1
вул.Центральна, 1, с.Нова Еметівка, Біляївський р-н, Одеська обл., 67631","424","190","423","6","228","6","234","","0","228","6","234","14","220","37","164","5","14","28.10.12"
"510264","139","Одеська область","сільський клуб, зала
вул.Пушкіна, 1, с-ще Нова Ковалівка, Біляївський р-н, Одеська обл., 67630","448","208","443","13","228","12","240","","0","228","12","240","16","224","47","123","11","43","28.10.12"
"510265","139","Одеська область","школа, актова зала
вул.Іжаковського, 1А, с.Паліївка, Біляївський р-н, Одеська обл., 67621","720","363","699","16","342","15","357","","0","342","15","357","17","340","65","216","24","35","28.10.12"
"510268","139","Одеська область","сільський клуб, зала
вул.Широка, 39, с.Протопопівка, Біляївський р-н, Одеська обл., 67632","360","179","350","0","181","0","181","","0","181","0","181","13","168","29","99","6","34","29.10.12"
"510269","139","Одеська область","будинок культури, зала
вул.Гагаріна, 38, с.Секретарівка, Біляївський р-н, Одеська обл., 67611","800","360","789","29","411","29","440","","0","411","29","440","16","424","82","300","11","31","28.10.12"
"510276","139","Одеська область","школа, ліве крило
вул.Шкільна, 12, с.Холодна Балка, Біляївський р-н, Одеська обл., 67660","2200","1310","2225","49","843","47","890","","0","843","47","890","46","844","242","316","22","264","29.10.12"
"510277","139","Одеська область","Будівля Василівського споживчого товариства
вул.Леніна 69, с.Червона Гірка, Біляївський р-н, Одеська обл., 67612","328","124","320","14","190","14","204","","0","190","14","204","13","191","49","128","4","10","28.10.12"
"510319","139","Одеська область","школа, фойє
вул.Малиновського, 95, с.Великозименове, Великомихайлівський р-н, Одеська обл., 67134","264","72","260","22","171","21","192","","0","171","21","192","5","187","31","139","9","8","28.10.12"
"510320","139","Одеська область","школа, спортивна зала
вул.Леніна, 5, с.Великокомарівка, Великомихайлівський р-н, Одеська обл., 67114","960","474","950","46","445","41","486","","0","445","41","486","34","452","71","223","37","121","28.10.12"
"510321","139","Одеська область","будинок культури, фойє
вул.Леніна, 121, смт Велика Михайлівка, Великомихайлівський р-н, Одеська обл., 67100","1544","707","1524","73","773","64","837","","0","773","64","837","33","804","214","282","20","288","29.10.12"
"510322","139","Одеська область","гімназія, спортивна зала, 1-й поверх
вул.Пушкіна, 2А, смт Велика Михайлівка, Великомихайлівський р-н, Одеська обл., 67100","1680","812","1656","40","829","39","868","","0","829","39","868","32","836","304","314","23","195","29.10.12"
"510323","139","Одеська область","школа №2, спортивна зала
вул.Комсомольська, 29, смт Велика Михайлівка, Великомихайлівський р-н, Одеська обл., 67100","1416","675","1395","62","704","37","741","","0","704","37","741","38","703","228","238","25","212","28.10.12"
"510324","139","Одеська область","будинок культури, фойє
пров.Сільрадівський, 5, с.Великоплоске, Великомихайлівський р-н, Одеська обл., 67140","2464","1138","2431","222","1125","201","1326","","0","1125","201","1326","58","1268","58","913","31","266","29.10.12"
"510325","139","Одеська область","будинок культури, глядацька зала
вул.Леніна, 61, с.Гребеники, Великомихайлівський р-н, Одеська обл., 67144","864","390","851","65","409","65","474","","0","409","65","474","10","464","32","334","7","91","28.10.12"
"510326","139","Одеська область","будинок культури, танцювальна зала
вул.Кірова, 12, с.Кірове, Великомихайлівський р-н, Одеська обл., 67123","720","411","714","30","282","27","309","","0","282","27","309","25","284","71","142","12","59","28.10.12"
"510327","139","Одеська область","будинок культури, глядацька зала
вул.Шкільна, 11, с.Комарівка, Великомихайлівський р-н, Одеська обл., 67111","160","83","157","14","63","14","77","","0","63","14","77","2","75","13","55","2","5","29.10.12"
"510328","139","Одеська область","сільська рада, каб.3
вул.Леніна, 7, с.Мигаї, Великомихайлівський р-н, Одеська обл., 67151","592","263","587","27","308","21","329","","0","308","21","329","26","303","56","170","14","63","28.10.12"
"510329","139","Одеська область","будинок культури, глядацька зала
вул.Лермонтова, 1, с.Новоборисівка, Великомихайлівський р-н, Одеська обл., 67121","1952","1172","1935","26","756","24","780","","0","756","22","778","37","741","235","340","52","114","29.10.12"
"510330","139","Одеська область","сільська рада, актова зала
вул.Леніна, 21, с.Новоолександрівка, Великомихайлівський р-н, Одеська обл., 67112","352","147","347","10","196","9","205","","0","196","9","205","13","192","39","108","12","33","28.10.12"
"510331","139","Одеська область","будинок культури, глядацька зала
вул.Миру, 5А, с.Новопетрівка, Великомихайлівський р-н, Одеська обл., 67103","1504","747","1493","24","736","21","757","","0","736","21","757","30","727","102","458","17","150","28.10.12"
"510332","139","Одеська область","сільська рада, каб.1
вул.Леніна, сільська рада, с.Новосавицьке, Великомихайлівський р-н, Одеська обл., 67143","336","76","333","35","225","35","260","","0","225","35","260","12","248","10","207","8","23","28.10.12"
