"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Албу
Олексій
Дмитрович","Білюк
Сергій
Олександрович","Бризгалов
Сергій
Олександрович","Добрянський
Віктор
Андрійович","Жванія
Давид
Важаєвич","Коваленко
Євгенія
Василівна","Кудашкін
Олег
Миколайович","Мамонов
Володимир
Разумович","Продаєвич
Валентин
Олександрович","Слава
Ірина
Вікторівна","Смєлов
Дмитро
Ігорович","Шумський
Сергій
Станіславович","Якимович
Олександр
Вікторович","Дата підписання протоколу"
"000001","140","Одеська область","
вул. Карла Маркса, 6Б, м. Іллічівськ, Одеська обл., 68003","102","72","45","37","7","23","30","","0","7","23","30","3","27","1","1","8","1","8","3","1","1","0","0","0","3","0","29.10.12"
"000002","140","Одеська область","
вул. Т.Шевченка, буд. 422, смт Овідіополь, Одеська обл., 67801","54","25","34","21","13","16","29","","0","13","16","29","1","28","0","1","0","9","15","0","0","1","0","1","0","1","0","29.10.12"
"510224","140","Одеська область","будинок культури, зала
вул.Леніна, 60, с.Березань, Біляївський р-н, Одеська обл., 67622","930","400","939","28","504","26","530","","0","504","26","530","21","509","2","47","4","114","255","36","2","3","1","5","1","33","6","28.10.12"
"510225","140","Одеська область","школа №3, спортивна зала
вул.Садова, 13, м.Біляївка, Біляївський р-н, Одеська обл., 67600","2280","1222","2267","15","1044","14","1058","","0","1044","14","1058","45","1013","9","440","52","22","296","104","2","3","2","9","2","67","5","29.10.12"
"510226","140","Одеська область","ДНЗ""Старокозацький ПАЛ""філія, їдальня
вул.Одеська, 15, м.Біляївка, Біляївський р-н, Одеська обл., 67600","1836","996","1834","9","831","9","840","","0","831","9","840","42","798","4","262","45","26","291","96","5","1","3","3","4","51","7","28.10.12"
"510227","140","Одеська область","дитяча юнацька спортивна школа, фойє
вул.Гагаріна, 1Б, м.Біляївка, Біляївський р-н, Одеська обл., 67600","2052","1091","2049","14","950","11","961","","0","950","11","961","51","910","2","359","49","25","305","107","2","5","1","6","1","45","3","29.10.12"
"510228","140","Одеська область","школа №1, фойє
вул.Костіна, 3, м.Біляївка, Біляївський р-н, Одеська обл., 67600","2280","1165","2270","18","1102","13","1115","","0","1102","13","1115","38","1077","7","390","50","49","360","118","1","9","1","8","5","70","9","29.10.12"
"510229","140","Одеська область","школа №2, спортивна зала
1-й пров.Шевченка, 18, м.Біляївка, Біляївський р-н, Одеська обл., 67600","2286","1253","2259","9","1030","3","1033","","0","1030","3","1033","47","986","11","348","45","26","365","88","2","2","2","7","6","76","8","28.10.12"
"510231","140","Одеська область","сільський клуб, актова зала
вул.Леніна, 20А, с.Велика Балка, Біляївський р-н, Одеська обл., 67662","1218","698","1215","26","500","20","520","","0","500","20","520","22","498","4","60","6","103","221","38","3","10","0","9","4","25","15","29.10.12"
"510232","140","Одеська область","школа №2, спортивна зала
вул.Радянська, 40, с.Великий Дальник, Біляївський р-н, Одеська обл., 67668","1152","626","1149","31","499","27","526","","0","499","27","526","33","493","4","51","30","55","276","26","2","6","1","5","5","29","3","29.10.12"
"510233","140","Одеська область","ДНЗ ""Сонечко"", музична зала
вул.Леніна, 63Б, с.Великий Дальник, Біляївський р-н, Одеська обл., 67668","2094","1209","2082","38","856","29","885","","0","856","29","885","0","885","7","29","136","133","380","55","2","7","0","11","5","112","8","29.10.12"
"510234","140","Одеська область","амбулаторія загальної практики сімейної медицини, червоний куток
вул.Безверхого, 32, с.Великий Дальник, Біляївський р-н, Одеська обл., 67668","1494","825","1498","13","658","11","669","","0","658","11","669","33","636","7","107","25","68","313","33","0","2","3","12","0","60","6","28.10.12"
"510235","140","Одеська область","будинок культури 3 кварталу, зала
вул.Шкільна, 12, с.Великий Дальник, Біляївський р-н, Одеська обл., 67668","2004","1189","1998","21","797","18","815","","0","797","18","815","40","775","9","101","29","71","398","60","4","4","6","21","6","58","8","29.10.12"
"510236","140","Одеська область","клуб 4 кварталу, зала
вул.Шевченко, 66, с.Великий Дальник, Біляївський р-н, Одеська обл., 67668","744","420","740","8","317","7","324","","0","317","7","324","27","297","5","44","14","35","140","21","3","3","0","2","0","24","6","28.10.12"
"510239","140","Одеська область","школа, актова зала
вул.Леніна, 79, с.Градениці, Біляївський р-н, Одеська обл., 67640","1752","801","1739","83","872","79","951","","0","872","79","951","31","920","8","99","6","18","714","35","4","3","0","7","5","10","11","28.10.12"
"510240","140","Одеська область","школа, їдальня
вул.Леніна, 129Б, с.Градениці, Біляївський р-н, Одеська обл., 67640","1824","846","1810","75","907","71","978","","0","907","71","978","24","954","4","68","24","13","751","37","4","0","0","7","0","39","7","29.10.12"
"510244","140","Одеська область","дитячий садочок ""Струмочок"", актова зала
вул.Шевченка, 11, с-ще Дослідне, Біляївський р-н, Одеська обл., 67622","468","260","475","19","191","17","208","","0","191","17","208","4","204","3","29","3","35","82","16","3","3","2","2","1","21","4","28.10.12"
"510245","140","Одеська область","клуб, зала
вул.Перемоги, 1А, с-ще Жовтнева Революція, Біляївський р-н, Одеська обл., 67667","1452","808","1475","3","641","3","644","","0","641","3","644","32","612","8","20","99","123","239","51","4","9","2","11","2","33","11","29.10.12"
"510247","140","Одеська область","будинок культури, фойє
вул.Центральна, 2Б, с.Кагарлик, Біляївський р-н, Одеська обл., 67614","1176","586","1163","30","573","17","590","","0","573","17","590","25","565","3","48","9","44","378","48","2","3","0","1","2","18","9","29.10.12"
"510250","140","Одеська область","сільський клуб, зала
вул.Дзержинського, 21А, с.Курган, Біляївський р-н, Одеська обл., 67622","246","96","257","7","143","7","150","","0","143","7","150","6","144","2","11","4","51","64","1","0","1","0","1","1","5","3","28.10.12"
"510251","140","Одеська область","школа, фойє
вул.Л.Українки, 9А, с.Майори, Біляївський р-н, Одеська обл., 67630","1068","552","1077","6","510","6","516","","0","510","6","516","17","499","2","51","7","29","327","21","1","2","1","9","2","40","7","29.10.12"
"510253","140","Одеська область","школа, їдальня
вул.Радянської Армії, 69А, с.Маяки, Біляївський р-н, Одеська обл., 67654","1536","828","1536","47","667","41","708","","0","667","41","708","31","677","7","104","35","38","402","28","2","6","1","7","1","33","13","29.10.12"
"510254","140","Одеська область","Міжрайонне Дністровське УВГ, фойє
вул.Богачова, 83, с.Маяки, Біляївський р-н, Одеська обл., 67654","1392","685","1395","20","690","17","707","","0","690","17","707","35","672","5","119","15","68","350","62","2","1","4","0","0","37","9","29.10.12"
"510255","140","Одеська область","будинок культури, фойє
вул.Радянської Армії, 22А, с.Маяки, Біляївський р-н, Одеська обл., 67654","1272","613","1278","26","633","26","659","","0","633","26","659","26","633","3","111","12","31","361","64","1","2","0","5","2","28","13","28.10.12"
"510256","140","Одеська область","школа, спортивна зала
пров.Леніна, 11, с.Мирне, Біляївський р-н, Одеська обл., 67652","2046","1023","2036","46","991","32","1023","","0","991","32","1023","71","952","6","166","37","90","423","88","9","5","5","11","5","85","22","29.10.12"
"510258","140","Одеська область","школа №2, актова зала
вул.Зелена, 5А, с.Нерубайське, Біляївський р-н, Одеська обл., 67661","2124","1063","2111","28","1040","21","1061","","0","1040","21","1061","45","1016","17","224","61","184","269","86","6","8","4","30","8","106","13","29.10.12"
"510259","140","Одеська область","НВК, корпус №2
пл.Партизан, 2, с.Нерубайське, Біляївський р-н, Одеська обл., 67661","1482","876","1501","30","584","22","606","","0","584","22","606","26","580","4","138","16","113","230","31","3","5","4","10","2","16","8","29.10.12"
"510260","140","Одеська область","НВК, фойє
вул.Радгоспна, 21, с.Нерубайське, Біляївський р-н, Одеська обл., 67661","1788","1122","1724","30","638","28","666","","0","638","28","666","44","622","2","163","5","165","163","58","5","3","0","12","2","37","7","29.10.12"
"510261","140","Одеська область","будинок культури, фойє
вул.Леніна, 1, с.Нерубайське, Біляївський р-н, Одеська обл., 67661","2208","1258","2219","53","911","39","950","","0","911","39","950","52","898","6","179","24","204","301","55","9","3","3","17","4","82","11","29.10.12"
"510262","140","Одеська область","ВУЖКГ, адміністративне приміщення
вул.Залізничників,8А, с-ще Усатове, Біляївський р-н, Одеська обл., 67664","1194","613","1209","7","575","6","581","","0","575","6","581","19","562","6","88","17","237","122","30","1","4","3","13","30","1","10","29.10.12"
"510266","140","Одеська область","школа, актова зала
вул.Петровського, 26, с.Петрівське, Біляївський р-н, Одеська обл., 67623","738","393","745","22","325","20","345","","0","325","20","345","14","331","6","29","4","34","195","16","4","1","1","3","1","33","4","29.10.12"
"510267","140","Одеська область","будинок культури, актова зала
вул.Паркова, 1А, с.Повстанське, Біляївський р-н, Одеська обл., 67651","282","87","281","3","192","3","195","","0","192","3","195","9","186","0","31","8","7","107","13","2","2","0","1","0","12","3","29.10.12"
"510270","140","Одеська область","сільська рада, зала засідання
вул.К.Маркса, 8, с.Троїцьке, Біляївський р-н, Одеська обл., 67641","2166","938","2167","60","1168","60","1228","","0","1168","60","1228","53","1175","3","60","9","28","845","171","0","4","2","1","2","38","12","28.10.12"
"510271","140","Одеська область","школа, каб.3
вул.Миру, 13А, с.Троїцьке, Біляївський р-н, Одеська обл., 67641","1620","785","1621","46","789","46","835","","0","789","46","835","28","807","2","50","8","53","578","79","2","6","1","4","1","19","4","29.10.12"
"510272","140","Одеська область","сільська рада, актова зала
пров.Радянський, 3, с.Усатове, Біляївський р-н, Одеська обл., 67663","2172","1375","2210","12","788","9","797","","0","788","9","797","46","751","13","141","30","73","297","73","7","7","4","17","4","59","26","29.10.12"
"510273","140","Одеська область","НВК ім.П.Д.Вернідуба, їдальня
вул.Гагаріна, 83, с.Усатове, Біляївський р-н, Одеська обл., 67663","2370","1374","2378","14","986","10","996","","0","986","10","996","69","927","23","163","48","44","355","113","3","5","9","32","9","106","17","29.10.12"
"510274","140","Одеська область","сільська рада, сесійна зала
пров.Радянський, 3, с.Усатове, Біляївський р-н, Одеська обл., 67663","2292","1558","2345","30","714","20","734","","0","714","20","734","49","685","10","128","33","90","230","60","9","6","8","17","2","74","18","29.10.12"
"510275","140","Одеська область","клуб, зала
вул.Маяцька дорога, 28, смт Хлібодарське, Біляївський р-н, Одеська обл., 67667","1740","784","1796","22","940","16","956","","0","940","16","956","32","924","22","179","33","276","201","76","8","12","3","20","7","70","17","29.10.12"
