"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіненко
Віталій
Дмитрович","Воробйова
Наталя
Олександрівна","Дубовий
Олександр
Іванович","Кесарчук
Вадим
Вікторович","Мойсейченко
Геннадій
Петрович","Сердцевич
Володимир
Дмитрович","Сидоренко
Пилип
Степанович","Степаненко
Андрій
Миколайович","Юшкевич
Микола
Сергійович","Ярошенко
Віталій
Веніамінович","Дата підписання протоколу"
"510168","141","Одеська область","будинок культури, фойє
вул.Комсомольська, 5, с.Адамівка, Білгород-Дністровський р-н, Одеська обл., 67790","336","99","329","11","227","10","237","","0","227","10","237","9","228","143","1","67","3","1","1","11","0","1","0","28.10.12"
"510169","141","Одеська область","сільський клуб, зал
вул.Шкільна, 15, с.Авидівка, Білгород-Дністровський р-н, Одеська обл., 67790","156","67","153","3","87","2","89","","0","87","2","89","6","83","34","0","39","1","1","0","6","1","1","0","28.10.12"
"510170","141","Одеська область","сільський клуб, зал
вул.Першотравнева, 19, с.Благодатне, Білгород-Дністровський р-н, Одеська обл., 67790","150","66","150","6","78","6","84","","0","78","6","84","6","78","41","0","33","1","0","0","2","0","0","1","29.10.12"
"510171","141","Одеська область","будинок культури, зал
вул.Леніна, 56, с.Андріївка, Білгород-Дністровський р-н, Одеська обл., 67742","762","285","752","15","462","15","477","","0","462","15","477","24","453","123","21","244","8","4","0","25","17","3","8","29.10.12"
"510172","141","Одеська область","сільський клуб, зал
вул.Леніна, 29, с.Розкішне, Білгород-Дністровський р-н, Одеська обл., 67743","396","146","401","19","233","17","250","","0","233","17","250","13","237","110","14","65","2","0","2","22","11","0","11","28.10.12"
"510173","141","Одеська область","будинок культури, фойє
вул.Леніна, 51Б, с.Бритівка, Білгород-Дністровський р-н, Одеська обл., 67755","2304","1217","2274","58","1046","41","1087","","0","1046","41","1087","53","1034","592","31","206","33","9","14","100","35","1","13","29.10.12"
"510174","141","Одеська область","школа, фойє
вул.Шкільна, 35А, с.Вигон, Білгород-Дністровський р-н, Одеська обл., 67727","504","263","499","13","228","13","241","","0","228","13","241","6","235","101","7","70","13","1","2","28","7","1","5","28.10.12"
"510175","141","Одеська область","клуб, зал
вул.Полівська, 12, с.Польове, Білгород-Дністровський р-н, Одеська обл., 67701","114","43","107","4","67","4","71","","0","67","4","71","4","67","30","0","33","0","0","0","4","0","0","0","28.10.12"
"510176","141","Одеська область","клуб, зал
вул.Суворова, 36А, с.Черкеси, Білгород-Дністровський р-н, Одеська обл., 67701","186","59","179","5","122","5","127","","0","122","5","127","7","120","44","4","62","2","0","1","4","0","2","1","28.10.12"
"510177","141","Одеська область","будинок культури, фойє
вул.Леніна, 115, с.Великомар’янівка, Білгород-Дністровський р-н, Одеська обл., 67762","486","169","477","37","284","33","317","","0","284","33","317","9","308","175","9","81","1","1","1","36","1","0","3","28.10.12"
"510178","141","Одеська область","СК ""Долинівський"", кабінет засідань
вул.Шевченко, 1, с.Долинівка, Білгород-Дністровський р-н, Одеська обл., 67763","432","181","428","17","234","17","251","","0","234","17","251","15","236","117","5","73","7","0","3","22","4","2","3","29.10.12"
"510179","141","Одеська область","школа, кл.1
вул.Леніна, 59А, с.Володимирівка, Білгород-Дністровський р-н, Одеська обл., 67720","156","50","153","5","101","5","106","","0","101","5","106","5","101","34","3","47","0","2","0","12","1","1","1","29.10.12"
"510180","141","Одеська область","школа, коридор
вул.Суворова, 16В, с.Дальнічень, Білгород-Дністровський р-н, Одеська обл., 67720","198","78","195","14","108","12","120","","0","108","12","120","6","114","47","0","57","1","2","0","4","1","0","2","28.10.12"
"510181","141","Одеська область","школа, коридор
вул.Шкільна, 21А, с.Чистоводне, Білгород-Дністровський р-н, Одеська обл., 67726","444","216","441","21","209","19","228","","0","209","19","228","18","210","65","3","90","11","2","1","34","2","1","1","29.10.12"
"510182","141","Одеська область","ДНЗ ""Струмок"", актовий зал
вул.Совхозна, 1, с.Сухолужжя, Білгород-Дністровський р-н, Одеська обл., 67798","912","529","895","25","361","22","383","","0","361","22","383","35","348","209","14","55","4","3","5","34","11","3","10","29.10.12"
"510183","141","Одеська область","школа №1, їдальня
вул.Кишинівська, 83, с.Випасне, Білгород-Дністровський р-н, Одеська обл., 67752","2502","1590","2491","37","880","32","912","","0","880","32","912","74","838","345","46","195","35","8","10","85","31","1","82","29.10.12"
"510184","141","Одеська область","школа №2, спортзал
вул.Кишинівська, 208, с.Випасне, Білгород-Дністровський р-н, Одеська обл., 67752","2214","1338","2187","32","849","27","876","","0","849","27","876","74","802","394","34","212","22","7","10","83","9","6","25","29.10.12"
"510185","141","Одеська область","школа, вестибюль
вул.Леніна, 178, с.Випасне, Білгород-Дністровський р-н, Одеська обл., 67752","1290","787","1277","38","472","31","503","","0","472","31","503","29","474","187","19","173","7","7","4","59","7","1","10","29.10.12"
"510186","141","Одеська область","будинок культури, зал
вул.Гастелло, 15А, с.Карналіївка, Білгород-Дністровський р-н, Одеська обл., 67740","606","261","598","45","304","41","345","","0","304","41","345","20","325","116","6","155","13","4","2","24","0","1","4","29.10.12"
