"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Афанасьєв
Анатолій
Олександрович","Білалов
Алім
Елдарович","Борняков
Олександр
Сергійович","Іксар
Володимир
Леонтійович","Кіссе
Антон
Іванович","Марков
Олександр
Валентинович","Платонова
Тетяна
Борисівна","Плачков
Іван
Васильович","Плохой
Ігор
Іванович","Дата підписання протоколу"
"510033","142","Одеська область","готель ""Ювілейний"", хол
вул.Вокзальна, 4, м.Арциз, Арцизький р-н, Одеська обл., 68400","2136","1240","2086","67","847","49","896","","0","847","49","896","38","858","137","9","142","22","163","2","9","145","229","29.10.12"
"510034","142","Одеська область","будинок культури, хол
пров.Лікарняний, 2, м.Арциз, Арцизький р-н, Одеська обл., 68400","1768","998","1731","51","729","41","770","","0","729","41","770","30","740","94","12","145","21","175","2","8","88","195","03.11.12"
"510035","142","Одеська область","ВАТ ""Експеримент"", актова зала
вул.Орджонікідзе, 27Б, м.Арциз, Арцизький р-н, Одеська обл., 68400","1488","878","1449","23","596","14","610","","0","596","14","610","32","578","60","9","102","17","130","2","5","76","177","29.10.12"
"510036","142","Одеська область","школа-гімназія №1, спортивна зала
вул.Будівельників, 15, м.Арциз, Арцизький р-н, Одеська обл., 68400","1824","983","1806","21","827","14","841","","0","827","14","841","22","819","77","11","180","19","202","0","5","146","179","29.10.12"
"510037","142","Одеська область","школа №3, спортивна зала
вул.40 років Жовтня, 92, м.Арциз, Арцизький р-н, Одеська обл., 68400","688","387","673","20","290","11","301","","0","290","11","301","14","287","32","4","56","9","44","0","5","26","111","28.10.12"
"510038","142","Одеська область","будинок культури, актова зала, 2-й поверх
вул.Комсомольська, 11, м.Арциз, Арцизький р-н, Одеська обл., 68400","664","272","676","25","368","24","392","","0","368","24","392","7","385","17","1","60","5","68","1","6","36","191","28.10.12"
"510039","142","Одеська область","школа-ліцей №4, фойє
вул.Полковника Калмикова, 44, м.Арциз, Арцизький р-н, Одеська обл., 68400","2456","1372","2412","27","1066","18","1084","","0","1066","18","1084","43","1041","118","3","117","24","227","9","16","88","439","04.11.12"
"510040","142","Одеська область","ВАТ ""Арцизький ЗЗБВ"", актова зала
вул.Орджонікідзе, 56, м.Арциз, Арцизький р-н, Одеська обл., 68400","1368","732","1351","18","623","13","636","","0","623","13","636","23","613","87","6","94","19","126","3","13","100","165","29.10.12"
"510041","142","Одеська область","школа, спортивна зала
вул.Кутузова, 154, с.Веселий Кут, Арцизький р-н, Одеська обл., 68420","944","475","931","59","421","48","469","","0","421","48","469","20","449","21","1","22","5","186","0","8","68","138","28.10.12"
"510042","142","Одеська область","школа, каб.1
вул.Мічуріна, 62, с.Роща, Арцизький р-н, Одеська обл., 68420","200","99","199","0","101","0","101","","0","101","0","101","6","95","0","0","8","4","50","1","0","12","20","28.10.12"
"510043","142","Одеська область","будинок культури, фойє
вул.Леніна, 107, с.Виноградівка, Арцизький р-н, Одеська обл., 68452","1184","393","1174","82","714","77","791","","0","714","77","791","16","775","12","4","54","6","267","0","2","54","376","28.10.12"
"510044","142","Одеська область","школа, актова зала
вул.Кірова, 112, с.Виноградівка, Арцизький р-н, Одеська обл., 68452","1112","361","1100","68","687","64","751","","0","687","64","751","21","730","13","6","51","9","214","3","4","18","412","04.11.12"
"510045","142","Одеська область","будинок культури, актова зала
будинок культури, вул.Леніна, с.Плоцьк, Арцизький р-н, Одеська обл., 68453","328","121","324","6","201","6","207","","0","201","6","207","5","202","10","0","24","3","96","0","2","33","34","04.11.12"
"510046","142","Одеська область","будинок культури, актова зала
вул.28 Червня, 68, с.Вознесенка Перша, Арцизький р-н, Одеська обл., 68411","680","203","676","45","433","44","477","","0","433","44","477","13","464","27","2","27","3","182","1","8","27","187","28.10.12"
"510047","142","Одеська область","будинок культури, актова зала
вул.28 Червня, 3, с.Вишняки, Арцизький р-н, Одеська обл., 68412","392","147","390","13","234","11","245","","0","234","11","245","4","241","13","3","23","9","90","1","0","13","89","28.10.12"
