"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріанов
Ігор
Юрійович","Бабіч
Олег
Іванович","Боделан
Володимир
Русланович","Болозович
Ярослав
Олегович","Георгієв
Іван
Васильович","Дубенко
Георгій
Миколайович","Загорюк
Сергій
Севастьянович","Келіогло
Василь
Григорійович","Крук
Юрій
Борисович","Онос
Юрій
Васильович","Пастух
Ігор
Миколайович","Руссу
Роман
Степанович","Страшилін
В’ячеслав
Михайлович","Чепой
Іван
Григорійович","Дата підписання протоколу"
"000001","143","Одеська область","
пр.Суворова, 70, м.Ізмаїл, Одеська обл., 68600","534","14","528","0","520","0","520","","0","520","0","520","78","442","18","26","59","27","13","14","12","35","184","16","8","4","15","11","28.10.12"
"000002","143","Одеська область","
""Вена""","0","4","15","0","12","0","12","","0","12","0","12","0","12","0","1","1","0","0","0","1","0","6","3","0","0","0","0","28.10.12"
"000003","143","Одеська область","
""Поти""","0","2","10","0","9","0","9","","0","9","0","9","0","9","0","0","0","0","0","0","0","1","0","4","0","0","4","0","28.10.12"
"000004","143","Одеська область","
""Дніпро""","0","0","55","0","55","0","55","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.10.12"
"000005","143","Одеська область","
""Механик Сушков""","0","1","8","0","8","0","8","","0","8","0","8","0","8","1","1","1","0","0","1","0","1","0","0","2","0","0","1","28.10.12"
"000008","143","Одеська область","
""Рыбинск"" ","0","0","14","0","14","0","14","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000009","143","Одеська область","
""Знаменка""","0","1","12","0","12","0","12","","0","12","0","12","0","12","0","1","0","0","2","0","0","8","0","1","0","0","0","0","28.10.12"
"000010","143","Одеська область","
""Оренбург""","0","1","12","0","12","0","12","","0","12","0","12","0","12","1","5","0","0","1","0","0","0","2","0","1","0","0","2","28.10.12"
"000011","143","Одеська область","
""Григорий Морозов""","0","2","8","0","7","0","7","","0","7","0","7","2","5","0","0","0","0","0","1","0","0","0","0","4","0","0","0","28.10.12"
"000012","143","Одеська область","
""Львов""","0","0","13","0","13","0","13","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000013","143","Одеська область","
""Валентин Пиляев""","0","3","12","0","10","0","10","","0","10","0","10","0","10","1","7","1","1","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000014","143","Одеська область","
""Зеленодольск""","0","3","12","0","10","0","10","","0","10","0","10","0","10","0","3","0","0","0","3","1","0","1","0","0","0","0","2","28.10.12"
"000015","143","Одеська область","
""Иркутск""","0","0","13","0","13","0","13","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000017","143","Одеська область","
""Украина""","0","3","25","0","23","0","23","","0","23","0","23","0","23","5","4","7","0","0","0","0","5","1","0","0","0","1","0","28.10.12"
"000018","143","Одеська область","
""Звенигород"" ","0","1","12","0","12","0","12","","0","12","0","12","0","12","1","2","3","0","1","0","0","2","2","1","0","0","0","0","28.10.12"
"000019","143","Одеська область","
""Ярославль"" ","0","1","10","0","10","0","10","","0","10","0","10","0","10","0","2","1","0","1","0","0","0","4","0","0","0","2","0","28.10.12"
"000021","143","Одеська область","
""Молдавия"" ","0","5","60","0","56","0","56","","0","56","0","56","0","56","3","25","1","1","3","1","1","5","4","2","7","0","2","1","28.10.12"
"000022","143","Одеська область","
""Волга""","0","4","60","0","57","0","57","","0","57","0","57","0","57","3","24","3","1","2","3","0","1","11","3","2","0","3","1","28.10.12"
"000023","143","Одеська область","
""Златоуст""","0","0","13","0","13","0","13","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000024","143","Одеська область","
""Капітан Жидков""","0","1","8","0","8","0","8","","0","8","0","8","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"000025","143","Одеська область","
""Іваново""","0","2","12","0","11","0","11","","0","11","0","11","0","11","0","0","0","0","0","0","0","1","0","10","0","0","0","0","28.10.12"
"000027","143","Одеська область","
""Пєрмь""","0","1","12","0","12","0","12","","0","12","0","12","0","12","0","0","1","0","0","0","0","2","1","3","1","0","0","4","28.10.12"
"000028","143","Одеська область","
""Ніколай Будніков""","0","1","8","0","8","0","8","","0","8","0","8","0","8","0","7","0","0","0","0","0","0","0","1","0","0","0","0","28.10.12"
"000029","143","Одеська область","
""Мєханік Головацкій""","0","1","8","0","8","0","8","","0","8","0","8","0","8","6","0","1","0","0","0","0","0","0","0","0","0","0","1","28.10.12"
"000032","143","Одеська область","
""Фьодор Рябінін""","0","2","7","0","7","0","7","","0","7","0","7","0","7","2","1","0","0","0","0","0","1","1","0","1","0","1","0","28.10.12"
"000033","143","Одеська область","
""Константін Борісов""","0","2","12","0","11","0","11","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.10.12"
"510291","143","Одеська область","будинок культури, зала
вул.Леніна, 58А, с.Баннівка, Болградський р-н, Одеська обл., 68750","918","351","915","48","523","44","567","","0","523","44","567","14","553","1","38","79","2","1","0","0","21","364","37","5","0","4","1","28.10.12"
"510292","143","Одеська область","будинок культури, мала зала
вул.Карла Маркса, 108, с.Василівка, Болградський р-н, Одеська обл., 68752","1410","730","1396","70","615","65","680","","0","615","65","680","23","657","0","39","197","7","1","3","0","46","300","46","9","2","5","2","29.10.12"
"510293","143","Одеська область","школа, спортивна зала
вул.Шкільна, 17, с.Василівка, Болградський р-н, Одеська обл., 68752","1410","735","1399","67","615","60","675","","0","615","60","675","29","646","2","36","246","4","4","2","0","34","256","38","9","2","12","1","29.10.12"
"510294","143","Одеська область","будинок культури, фойє
вул.Гагаріна, 1, с.Виноградівка, Болградський р-н, Одеська обл., 68733","1530","850","1513","93","600","80","680","","0","600","80","680","29","651","3","54","302","3","3","0","0","66","169","44","2","2","0","3","29.10.12"
"510295","143","Одеська область","школа, фойє
вул.Гагаріна, 2, с.Виноградівка, Болградський р-н, Одеська обл., 68733","1638","1014","1625","51","577","47","624","","0","577","47","624","30","594","1","45","304","5","0","2","0","77","93","56","4","4","1","2","29.10.12"
"510297","143","Одеська область","будинок культури, велика зала
вул.Леніна, 37А, с.Владичень, Болградський р-н, Одеська обл., 68741","954","422","946","52","486","46","532","","0","486","46","532","19","513","2","50","103","10","1","4","3","58","187","50","41","2","1","1","29.10.12"
"510316","143","Одеська область","школа, спортивна зала
вул.Гагаріна, 76, с.Табаки, Болградський р-н, Одеська обл., 68730","1872","1082","1853","67","728","62","790","","0","728","62","790","27","763","1","131","259","6","2","1","4","16","263","72","6","1","0","1","29.10.12"
"510380","143","Одеська область","Багатянська школа, фойє
вул.Леніна, 20, с.Багате, Ізмаїльський р-н, Одеська обл., 68671","1548","892","1530","17","644","12","656","","0","644","12","656","41","615","2","106","85","2","4","5","5","59","172","34","38","47","18","38","29.10.12"
