"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бажан
Віктор
Васильович","Баранов
Андрій
Павлович","Бойко
Віталій
Ілліч","Горбатько
Олексій
Григорійович","Демков
Олег
Анатолійович","Добровольська
Анна
Михайлівна","Залужний
Олександр
Михайлович","Каплін
Сергій
Миколайович","Ковальчук
Василь
Григорович","Кривенко
Сергій
Володимирович","Маслак
Віра
Миколаївна","Матковський
Андрій
Всеволодович","Свиридович
Сергій
Володимирович","Чорнокондратенко
Валерій
Володимирович","Дата підписання протоколу"
"531188","144","Полтавська область","школа №20, хол
вул.Пролетарська, 25, м.Полтава, 36020","1504","666","1503","42","806","32","838","","0","806","32","838","41","797","1","17","84","17","30","11","193","232","74","10","9","111","6","2","29.10.12"
"531189","144","Полтавська область","школа №2, хол
вул.Пролетарська, 10, м.Полтава, 36020","2100","922","2092","36","1158","20","1178","","0","1158","20","1178","57","1121","12","17","98","15","36","17","219","407","67","11","28","180","3","11","29.10.12"
"531190","144","Полтавська область","гуртожиток №3, червоний куточок
вул.Леніна, 110, м.Полтава, 36022","2208","937","2196","37","1240","31","1271","","0","1240","31","1271","60","1211","15","12","135","14","29","20","251","459","49","14","26","179","4","4","29.10.12"
"531191","144","Полтавська область","""Полтаватрансбуд"", адміністративне приміщення, спортзал
вул.Старий Поділ, 4, м.Полтава, 36045","2080","900","2067","23","1163","17","1180","","0","1163","17","1180","35","1145","6","18","133","15","28","14","315","348","80","13","15","153","3","4","29.10.12"
"531192","144","Полтавська область","гуртожиток професійного ліцею, хол
вул.Богдана Хмельницького, 9, м.Полтава, 36022","1988","834","1971","19","1136","18","1154","","0","1136","18","1154","60","1094","8","20","95","18","27","17","236","340","60","26","32","207","2","6","29.10.12"
"531193","144","Полтавська область","територіальний центр, центральна зала
пров.Ломаний, 38А, м.Полтава, 36022","1956","849","1961","39","1072","35","1107","","0","1072","35","1107","36","1071","6","32","104","8","36","20","223","311","96","23","14","191","5","2","29.10.12"
"531194","144","Полтавська область","школа №12, хол
вул.Нариманівська, 41, м.Полтава, 36026","1587","779","1576","22","789","19","808","","0","789","19","808","44","764","6","12","41","5","13","13","229","260","54","6","25","98","0","2","29.10.12"
"531195","144","Полтавська область","філіал школи №12, кл.2
вул.Лисенка, 17, м.Полтава, 36017","1864","883","1874","44","943","38","981","","0","942","38","980","47","933","6","16","58","8","17","14","274","312","65","18","22","115","1","7","29.10.12"
"531196","144","Полтавська область","школа №15, хол
вул.Тунельна, 16, м.Полтава, 36018","1460","738","1445","30","697","25","722","","0","697","25","722","34","688","5","6","29","3","17","20","211","174","39","11","32","137","1","3","29.10.12"
"531197","144","Полтавська область","гімназія №21, хол
вул.Сакко, 19а, м.Полтава, 36030","1392","686","1375","8","699","7","706","","0","699","7","706","20","686","4","11","43","5","21","11","185","193","81","15","10","101","4","2","29.10.12"
