"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровик
Костянтин
Олексійович","Боярський
Юрій
Миколайович","Бублик
Юрій
Васильович","Георгієвський
Андрій
Вячеславович","Дербеньов
Олександр
Володимирович","Лозовський
Борис
Євгенович","Макар
Володимир
Романович","Романюк
Петро
Васильович","Русін
Олександр
Миколайович","Савченко
Сергій
Сергійович","Сердюк
Віктор
Анатолійович","Філенко
Леонід
Олександрович","Дата підписання протоколу"
"000001","145","Полтавська область","Полтавський слідчий ізолятор
вул. Пушкіна, 91, м. Полтава","888","34","854","81","773","81","854","","0","773","81","854","27","827","18","13","25","9","8","39","660","12","16","11","8","8","28.10.12"
"530354","145","Полтавська область","районний будинок культури, хол
вул.Жовтнева, 207, смт Котельва, Котелевський р-н, Полтавська обл., 38600","1572","579","1535","26","968","25","993","","0","968","25","993","19","974","36","10","357","46","16","104","213","3","154","9","19","7","29.10.12"
"530355","145","Полтавська область","сільськогосподарський кооператив ""Дружба"", контора, фойє
вул.Жовтнева, 161, смт Котельва, Котелевський р-н, Полтавська обл., 38600","720","260","729","18","442","18","460","","0","442","18","460","14","446","15","5","146","11","14","53","114","3","69","5","9","2","28.10.12"
"530356","145","Полтавська область","кафе ""Дружба"", хол
вул.Миру, 145, смт Котельва, Котелевський р-н, Полтавська обл., 38600","738","283","732","20","435","20","455","","0","434","20","454","11","443","13","9","202","10","6","42","95","1","42","5","11","7","28.10.12"
"530357","145","Полтавська область","сільський будинок культури, хол
вул.Петровського, 98, смт Котельва, Котелевський р-н, Полтавська обл., 38600","978","406","971","32","540","32","572","","0","540","32","572","16","556","57","5","175","14","26","46","147","1","65","5","12","3","28.10.12"
"530358","145","Полтавська область","школа №7, хол
вул.Жовтнева, 73, смт Котельва, Котелевський р-н, Полтавська обл., 38600","1074","448","1074","30","596","30","626","","0","596","30","626","16","610","73","11","207","20","14","67","145","8","40","4","13","8","28.10.12"
"530359","145","Полтавська область","професійно-технічне училище №54, навчальний корпус, вестибюль
вул.Островського, 24, смт Котельва, Котелевський р-н, Полтавська обл., 38600","1500","643","1465","13","845","12","857","","0","845","12","857","22","835","35","13","303","27","14","89","225","3","99","6","11","10","28.10.12"
"530360","145","Полтавська область","школа №4, хол
вул.Жовтнева, 288, смт Котельва, Котелевський р-н, Полтавська обл., 38600","1872","698","1842","45","1129","45","1174","","0","1129","45","1174","37","1137","33","15","318","45","20","92","247","13","316","4","26","8","28.10.12"
"530361","145","Полтавська область","сільський клуб, хол
вул.Леніна, 161, смт Котельва, Котелевський р-н, Полтавська обл., 38600","1554","574","1538","51","933","47","980","","0","933","47","980","21","959","30","13","326","43","22","92","237","6","163","5","19","3","29.10.12"
"530362","145","Полтавська область","фельдшерсько-акушерський пункт, кабінет медсестри
вул.Димитрієва, 1, с.Михайлове, Котелевський р-н, Полтавська обл., 38607","168","43","169","14","112","13","125","","0","112","13","125","4","121","3","0","22","8","4","0","26","0","52","1","0","5","28.10.12"
"530363","145","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 11, с.Більськ, Котелевський р-н, Полтавська обл., 38610","690","134","684","79","479","77","556","","0","479","77","556","11","545","13","11","394","15","7","20","58","3","14","5","5","0","28.10.12"
"530364","145","Полтавська область","школа, фойє
вул.Брикеля, 2, с.Велика Рублівка, Котелевський р-н, Полтавська обл., 38623","1008","325","1021","73","614","69","683","","0","614","69","683","23","660","13","11","187","42","36","35","186","7","112","4","15","12","29.10.12"
"530365","145","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 1, с.Деревки, Котелевський р-н, Полтавська обл., 38611","714","221","707","81","417","76","493","","0","417","76","493","18","475","14","7","190","28","5","31","126","3","54","5","3","9","29.10.12"
"530366","145","Полтавська область","сільський клуб, актова зала
вул.Горького, 37, с.Млинки, Котелевський р-н, Полтавська обл., 38600","114","25","107","9","80","9","89","","0","80","9","89","1","88","1","2","16","4","5","7","31","0","19","1","0","2","29.10.12"
"530367","145","Полтавська область","сільський клуб, фойє
вул.Першотравнева, 51, с.Ковалеве, Котелевський р-н, Полтавська обл., 38624","330","99","324","24","208","23","231","","0","208","23","231","2","229","11","5","80","4","5","4","57","2","51","1","3","6","29.10.12"
"530368","145","Полтавська область","Козлівщинська школа, фойє
вул.Жовтнева, 2, с.Козлівщина, Котелевський р-н, Полтавська обл., 38632","444","150","434","47","249","45","294","","0","249","45","294","4","290","15","3","109","11","12","17","48","0","52","9","10","4","28.10.12"
"530369","145","Полтавська область","сільський будинок культури, глядацька зала
вул.Ковпака, 24, с.Мала Рублівка, Котелевський р-н, Полтавська обл., 38620","228","50","230","12","168","10","178","","0","168","10","178","7","171","9","5","34","15","1","18","59","3","18","1","4","4","28.10.12"
"530370","145","Полтавська область","фельдшерсько-акушерський пункт, к.1
вул.Пролетарська, 46, с.Мар’їне, Котелевський р-н, Полтавська обл., 38620","78","24","72","5","49","5","54","","0","49","5","54","1","53","4","2","12","5","0","7","10","1","12","0","0","0","02.11.12"
"530371","145","Полтавська область","сільський клуб, глядацька зала
вул.Жовтнева, 63, с.Лихачівка, Котелевський р-н, Полтавська обл., 38622","120","19","122","13","88","13","101","","0","88","13","101","4","97","7","2","31","3","0","10","27","0","13","0","0","4","28.10.12"
"530372","145","Полтавська область","сільський клуб, актова зала
вул.Радянська, 3, с.Микілка, Котелевський р-н, Полтавська обл., 38621","414","169","409","34","215","30","245","","0","215","30","245","14","231","80","5","37","10","4","15","64","1","11","2","2","0","28.10.12"
"530373","145","Полтавська область","сільський клуб, фойє
вул.Дігтяря, 15, с.Шевченкове, Котелевський р-н, Полтавська обл., 38621","72","16","69","11","47","9","56","","0","47","9","56","1","55","9","2","12","5","1","2","14","0","8","0","0","2","28.10.12"
