"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безкоровайний
Андрій
Анатолійович","Богодист
Дмитро
Леонідович","Мельников
Олександр
Іванович","Москалець
Сергій
Іванович","Надоша
Олег
Володимирович","Остапець
Геннадій
Олексійович","Степаненко
Микола
Іванович","Таран
Віктор
Васильович","Шаповалов
Юрій
Анатолійович","Дата підписання протоколу"
"531040","146","Полтавська область","Кременчуцький національний університет, корпус 1, хол
вул.Першотравнева, 20, м.Кременчук, Полтавська обл., 39600","1842","999","1814","17","829","14","843","","0","829","14","843","28","815","14","76","4","29","150","95","5","148","294","29.10.12"
"531041","146","Полтавська область","школа №10, актова зала
вул.Карла Маркса, 8, м.Кременчук, Полтавська обл., 39600","1860","844","1828","38","983","33","1016","","0","983","33","1016","42","974","12","66","4","46","172","106","9","194","365","29.10.12"
"531042","146","Полтавська область","ліцей №4, хол
вул.Першотравнева, 13, м.Кременчук, Полтавська обл., 39600","1854","767","1828","14","1075","12","1087","","0","1075","12","1087","38","1049","14","109","7","17","155","109","9","239","390","29.10.12"
"531043","146","Полтавська область","школа №20, хол
вул.Радянська, 12, м.Кременчук, Полтавська обл., 39600","1662","678","1660","20","968","16","984","","0","968","16","984","16","968","13","99","14","25","169","68","16","232","332","29.10.12"
"531044","146","Полтавська область","міський комітет товариства сприяння обороні України, каб.4
вул.Красіна, 3, м.Кременчук, Полтавська обл., 39605","1662","719","1666","11","932","11","943","","0","932","11","943","36","907","16","85","7","29","149","112","9","192","308","29.10.12"
"531045","146","Полтавська область","школа №13, корпус 1, спортивна зала, 1-й поверх
вул.Красіна, 37/49, м.Кременчук, Полтавська обл., 39605","1770","692","1767","15","1065","13","1078","","0","1065","13","1078","33","1045","20","87","16","38","174","81","7","235","387","29.10.12"
"531046","146","Полтавська область","виробничо-торгівельна фірма ""Кремтекс"", хол
вул.29 Вересня, 11/19, м.Кременчук, Полтавська обл., 39600","1350","588","1328","30","739","23","762","","0","738","23","761","25","736","16","61","3","18","131","65","8","198","236","29.10.12"
"531047","146","Полтавська область","школа №13, корпус 2, 1-й поверх, учбове приміщення
вул.Красіна, 37/49, м.Кременчук, Полтавська обл., 39605","1392","660","1378","20","715","17","732","","0","715","17","732","27","705","7","54","8","22","109","36","5","217","247","29.10.12"
"531048","146","Полтавська область","Кременчуцький хлібокомбінат, червоний куток
вул.1905 року, 21, м.Кременчук, Полтавська обл., 39605","1404","591","1409","7","806","7","813","","0","806","7","813","20","793","22","74","2","17","120","60","6","211","281","29.10.12"
"531049","146","Полтавська область","школа №2, хол
вул.Богдана Хмельницького, 66, м.Кременчук, Полтавська обл., 39603","822","384","832","7","434","4","438","","0","434","4","438","18","420","2","37","3","7","57","25","1","142","146","28.10.12"
"531050","146","Полтавська область","рада мікрорайону с.Ревівки, хол
вул.Ревенка, 12, м.Кременчук, Полтавська обл., 39603","1902","907","1899","32","965","30","995","","0","965","30","995","17","978","7","80","8","33","130","78","10","296","336","29.10.12"
"531051","146","Полтавська область","клуб Кременчуцької першої міської лікарні імені О.Т.Богаєвського, актова зала
вул.40-річчя Жовтня, 60/1, м.Кременчук, Полтавська обл., 39602","942","471","950","14","459","12","471","","0","459","12","471","20","450","7","53","3","15","76","29","5","136","126","29.10.12"
"531052","146","Полтавська область","завод залізо-бетонних виробів №2, їдальня
тупик 7-й Хорольський, 1, м.Кременчук, Полтавська обл., 39603","642","290","643","17","336","16","352","","0","336","16","352","4","348","4","30","3","8","51","41","6","95","110","29.10.12"
"531053","146","Полтавська область","Кременчуцьке комунальне автотранспортне підприємство 1628, хол
вул.Горького, 48/75, м.Кременчук, Полтавська обл., 39617","1884","852","1887","19","1014","18","1032","","0","1014","18","1032","25","1007","26","66","9","37","181","84","13","239","352","29.10.12"
"531054","146","Полтавська область","ліцей імені А.С.Макаренка, їдальня
вул.Красіна, 103, м.Кременчук, Полтавська обл., 39617","1722","793","1716","24","914","15","929","","0","914","15","929","27","902","13","87","8","31","189","55","6","206","307","29.10.12"
"531055","146","Полтавська область","технічна бібліотека, зала мистецтв
вул.Щорса, 66/13, м.Кременчук, Полтавська обл., 39601","2160","992","2129","11","1161","7","1168","","0","1161","7","1168","39","1129","30","111","8","55","211","70","9","280","355","29.10.12"
"531056","146","Полтавська область","дитячий садок №57, спортивна зала
пров.Героїв Бреста, 61А, м.Кременчук, Полтавська обл., 39601","2352","1028","2330","23","1305","19","1324","","0","1305","19","1324","40","1284","28","134","8","38","182","100","8","323","463","29.10.12"
"531057","146","Полтавська область","гімназія №5, хол
пров.Героїв Бреста, 65, м.Кременчук, Полтавська обл., 39601","2298","948","2263","18","1334","16","1350","","0","1334","16","1350","49","1300","23","127","13","44","214","81","5","309","484","29.10.12"
"531058","146","Полтавська область","дитячий садок №68, музична зала, 2-й поверх
вул.60-річчя Жовтня, 21, м.Кременчук, Полтавська обл., 39601","2430","1059","2397","6","1366","5","1371","","0","1366","5","1371","38","1333","25","138","22","69","219","89","13","277","481","29.10.12"
