"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андреєв
Віталій
Миколайович","Кавун
Олег
Миколайович","Коваленко
Юрій
Миколайович","Кулініч
Олег
Іванович","Масенко
Олександр
Миколайович","Дата підписання протоколу"
"530177","147","Полтавська область","філія ""Диканський райавтодор"", кімната по техніці безпеки, фойє
вул.Пушкіна, 35, смт Диканька, Диканський р-н, Полтавська обл., 38500","1488","732","1463","31","730","26","756","","0","730","26","756","45","711","30","26","306","269","80","29.10.12"
"530178","147","Полтавська область","районний будинок культури, дискозал, 1-й поверх
вул.Леніна, 119, смт Диканька, Диканський р-н, Полтавська обл., 38500","1528","685","1513","37","810","33","843","","0","810","33","843","57","786","41","26","311","319","89","29.10.12"
"530179","147","Полтавська область","гімназія ім. М.В.Гоголя, фойє, 1-й поверх
вул.Кірова, 2А, смт Диканька, Диканський р-н, Полтавська обл., 38500","1792","818","1771","38","941","33","974","","0","941","33","974","62","912","34","47","370","362","99","29.10.12"
"530180","147","Полтавська область","дошкільний навчальний заклад №3 ""Сонечко"", ігрова і спальна кімнати, 1-й поверх
вул.Леніна, 6В, смт Диканька, Диканський р-н, Полтавська обл., 38500","2136","1007","2119","44","1087","42","1129","","0","1087","42","1129","87","1042","41","71","396","439","95","29.10.12"
"530181","147","Полтавська область","сільський клуб-філіал, фойє
вул.Жовтнева, 4, с.Василівка, Диканський р-н, Полтавська обл., 38500","176","74","177","10","92","10","102","","0","92","10","102","3","99","3","8","22","46","20","29.10.12"
"530182","147","Полтавська область","адміністративний будинок сільської ради, актовий зал
вул.Ювілейна, 24А, с.Андріївка, Диканський р-н, Полтавська обл., 38532","312","114","306","21","181","17","198","","0","181","17","198","6","192","6","21","56","86","23","29.10.12"
"530183","147","Полтавська область","сільський клуб-філіал, актовий зал
вул.Молодіжна, 36, с.Ландарі, Диканський р-н, Полтавська обл., 38533","368","149","367","39","184","35","219","","0","184","35","219","3","216","2","15","73","105","21","29.10.12"
"530184","147","Полтавська область","сільський будинок культури, фойє
вул.Калініна, 10А, с.Байрак, Диканський р-н, Полтавська обл., 38543","440","173","436","43","227","40","267","","0","227","40","267","19","248","4","11","101","100","32","29.10.12"
"530185","147","Полтавська область","адміністративний будинок виробничого підрозділу ""Балясне"" агрофірми ім.Довженка, актовий зал
вул.Спортивна, 19Б, с.Балясне, Диканський р-н, Полтавська обл., 38512","848","349","839","74","438","61","499","","0","438","61","499","26","473","14","37","227","160","35","29.10.12"
"530186","147","Полтавська область","сільський будинок культури, центральний зал, 1-й поверх
вул.Юрія Кононенка, 33, с.Великі Будища, Диканський р-н, Полтавська обл., 38521","848","334","840","86","440","74","514","","0","440","74","514","34","480","19","22","231","168","40","29.10.12"
"530187","147","Полтавська область","сільський клуб-філіал, гримерна кімната, 1-й поверх
вул.Даценка, 26А, с.Чернечий Яр, Диканський р-н, Полтавська обл., 38523","296","92","299","33","171","33","204","","0","171","33","204","11","193","12","18","62","86","15","29.10.12"
"530188","147","Полтавська область","професійно-технічне училище №23, кабінет бухгалтерії, 1-й поверх
вул.Технікумівська, 30, с.Писарівщина, Диканський р-н, Полтавська обл., 38522","248","115","228","12","125","8","133","","0","125","8","133","3","130","5","3","75","37","10","29.10.12"
"530189","147","Полтавська область","адміністративний будинок сільської ради, зал засідань
вул.Миру, 8А, с.Велика Рудка, Диканський р-н, Полтавська обл., 38540","760","362","747","42","362","36","398","","0","362","36","398","29","369","9","32","126","160","42","29.10.12"
"530190","147","Полтавська область","школа, спортивний зал, 1-й поверх
вул.Визволителів, 14, с.Водяна Балка, Диканський р-н, Полтавська обл., 38520","792","396","785","36","364","32","396","","0","364","32","396","23","373","14","33","137","155","34","29.10.12"
"530191","147","Полтавська область","дошкільний навчальний заклад ""Барвінок"", ігрова кімната, 1-й поверх
вул.Миру, 20А, с.Надежда, Диканський р-н, Полтавська обл., 38531","320","127","309","22","176","17","193","","0","176","17","193","8","185","4","10","38","83","50","29.10.12"
"530192","147","Полтавська область","сільський клуб-філіал, кабінет завідувача клубом
вул.Шкільна, 4, с.Нелюбівка, Диканський р-н, Полтавська обл., 38513","312","135","304","19","160","17","177","","0","160","17","177","13","164","3","14","65","66","16","29.10.12"
"530193","147","Полтавська область","сільський будинок культури, актовий зал
вул.Щорса, 3, с.Орданівка, Диканський р-н, Полтавська обл., 38510","816","451","801","73","298","67","365","","0","298","67","365","23","342","15","41","110","118","58","29.10.12"
"530194","147","Полтавська область","школа, спортивний зал, 1-й поверх
вул.Шкільна, 34А, с.Петро-Давидівка, Диканський р-н, Полтавська обл., 38511","504","226","495","47","232","46","278","","0","232","46","278","13","265","9","17","82","110","47","29.10.12"
"530195","147","Полтавська область","сільський будинок культури, зал обрядових послуг
вул.Яковенка, 23, с.Стасі, Диканський р-н, Полтавська обл., 38541","1912","912","1890","42","961","39","1000","","0","961","39","1000","66","934","33","44","461","318","78","29.10.12"
"530196","147","Полтавська область","спеціалізована школа-інтернат, фойє, 1-й поверх
вул.Жовтнева, 68, с.Михайлівка, Диканський р-н, Полтавська обл., 38542","184","68","178","22","99","17","116","","0","99","17","116","7","109","5","5","37","51","11","29.10.12"
"530197","147","Полтавська область","сільський будинок культури, актовий зал, 1-й поверх
вул.Центральна, 10, с.Чапаєвка, Диканський р-н, Полтавська обл., 38530","608","218","596","59","332","58","390","","0","332","58","390","20","370","7","12","91","181","79","29.10.12"
"530198","147","Полтавська область","приміщення районного будинку культури, зала
вул.Леніна, 38, м.Зіньків, Зіньківський р-н, Полтавська обл., 38100","2096","997","2063","44","1063","36","1099","","0","1063","36","1099","49","1050","33","60","219","679","59","29.10.12"
"530199","147","Полтавська область","адміністративний будинок районної державної адміністрації та районної ради, зал засідань
вул.Леніна, 40, м.Зіньків, Зіньківський р-н, Полтавська обл., 38100","2016","889","1996","34","1096","31","1127","","0","1096","31","1127","51","1076","33","51","264","654","74","29.10.12"
"530200","147","Полтавська область","будинок дитячої та юнацької творчості, актова зала
вул.Першотравнева, 3, м.Зіньків, Зіньківський р-н, Полтавська обл., 38100","1800","789","1791","68","953","58","1011","","0","953","58","1011","48","963","14","45","229","603","72","29.10.12"
