"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Вячеслав
Свиридович","Ворона
Петро
Васильович","Домашенко
Тетяна
Михайлівна","Корнієнко
Сергій
Юрійович","Коряк
Василь
Васильович","Костюк
Віктор
Михайлович","Кравецький
Віктор
Миколайович","Пилипенко
Володимир
Пилипович","Сарана
Віктор
Володимирович","Сірик
Ігор
Володимирович","Чаповський
Олександр
Якович","Дата підписання протоколу"
"530001","148","Полтавська область","школа, коридор
пров.Леніна, 5, смт Велика Багачка, Великобагачанський р-н, Полтавська обл., 38300","2358","923","2331","85","1358","77","1435","","0","1358","77","1435","50","1385","13","499","36","11","51","20","92","567","15","76","5","29.10.12"
"530002","148","Полтавська область","школа мистецтв, актовий зал
вул.Леніна, 22, смт Велика Багачка, Великобагачанський р-н, Полтавська обл., 38300","2172","1028","2164","76","1075","69","1144","","0","1075","69","1144","34","1110","12","378","28","12","43","13","81","435","11","91","6","29.10.12"
"530003","148","Полтавська область","школа, коридор
вул.Миру, 59А, с.Бутова Долина, Великобагачанський р-н, Полтавська обл., 38300","336","132","330","39","165","39","204","","0","165","39","204","11","193","1","37","5","4","3","5","39","78","3","16","2","28.10.12"
"530004","148","Полтавська область","фельдшерсько-акушерський пункт, каб.2
вул.Комсомольська, 26, с.Довгалівка, Великобагачанський р-н, Полтавська обл., 38300","378","138","367","54","187","53","240","","0","187","53","240","5","235","1","60","5","2","2","0","23","120","8","14","0","29.10.12"
"530005","148","Полтавська область","сільський клуб, приміщення для засідань
пров.Щорса, 1, с.Байрак, Великобагачанський р-н, Полтавська обл., 38305","312","84","306","19","210","18","228","","0","210","18","228","11","217","3","57","4","2","4","4","24","99","2","18","0","29.10.12"
"530006","148","Полтавська область","фельдшерсько-акушерський пункт, каб.2
пров.Леніна, 14, с.Затон, Великобагачанський р-н, Полтавська обл., 38300","180","59","175","28","93","28","121","","0","93","28","121","3","118","0","32","6","0","2","2","4","63","3","5","1","29.10.12"
"530007","148","Полтавська область","школа, коридор
вул.Жовтнева, 2А, с.Багачка Перша, Великобагачанський р-н, Полтавська обл., 38330","342","85","340","48","211","46","257","","0","211","46","257","6","251","1","47","4","4","3","1","11","163","2","11","4","28.10.12"
"530008","148","Полтавська область","фельдшерсько-акушерський пункт, кім.2
вул.Комарова, 16, с.Пушкареве, Великобагачанський р-н, Полтавська обл., 38330","162","40","158","6","116","6","122","","0","116","6","122","9","113","2","29","4","3","2","2","10","47","3","9","2","29.10.12"
"530009","148","Полтавська область","школа, коридор
вул.Щорса, 20, с.Семенівка, Великобагачанський р-н, Полтавська обл., 38331","222","72","218","19","131","19","150","","0","131","19","150","12","138","2","45","2","0","5","2","11","58","5","5","3","29.10.12"
"530010","148","Полтавська область","будинок культури, приміщення для засідань
вул.Станіслава Горєва, 27, смт Гоголеве, Великобагачанський р-н, Полтавська обл., 38310","2046","762","2020","110","1193","91","1284","","0","1193","91","1284","31","1253","18","429","13","11","38","11","53","589","20","67","4","29.10.12"
