"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Жеваго
Костянтин
Валентинович","Капустян
Ганна
Тимофіївна","Кафізов
Денис
Валерійович","Колісник
Юрій
Олексійович","Мітіна
Ірина
Валентинівна","Панасенко
Іван
Якимович","Савицька
Оксана
Анатоліївна","Сичевський
Анатолій
Павлович","Дата підписання протоколу"
"530089","150","Полтавська область","школа №5, фойє
вул.Г.Краснодону, 2А, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1792","869","1790","30","897","26","923","","0","897","26","923","25","898","539","106","15","30","16","42","142","8","29.10.12"
"530090","150","Полтавська область","приміщення райспоживспілки, актовий зал
вул.К.Маркса, 186, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1640","826","1638","69","753","61","814","","0","753","61","814","26","788","480","82","10","30","15","54","110","7","28.10.12"
"530091","150","Полтавська область","школа №4, фойє
вул.Леніна, 82, м.Глобине, Глобинський р-н, Полтавська обл., 39000","2008","860","2006","52","1101","47","1148","","0","1101","47","1148","21","1127","740","143","10","45","14","40","133","2","29.10.12"
"530092","150","Полтавська область","гімназія №1, хореографічний клас
вул.Леніна, 240, м.Глобине, Глобинський р-н, Полтавська обл., 39000","2336","983","2308","68","1289","64","1353","","0","1289","64","1353","16","1337","960","182","7","42","11","35","93","7","29.10.12"
"530093","150","Полтавська область","школа №3, фойє
вул.Гагаріна, 16, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1888","881","1885","41","968","39","1007","","0","968","39","1007","32","975","661","93","25","50","21","32","92","1","28.10.12"
"530094","150","Полтавська область","школа, фойє
вул.Шкільна, 3, с.Шепелівка, Глобинський р-н, Полтавська обл., 39007","408","148","401","12","249","11","260","","0","249","11","260","6","254","142","27","6","11","10","13","43","2","28.10.12"
"530095","150","Полтавська область","школа, с.Новомосковське, фойє
пров.Шкільний, 4, с.Новомосковське, Глобинський р-н, Полтавська обл., 39008","488","238","483","5","246","4","250","","0","246","4","250","9","241","179","15","2","10","9","16","10","0","28.10.12"
"530096","150","Полтавська область","селищний будинок культури, фойє
вул.Комсомольська, 2/80, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","1808","808","1802","70","936","64","1000","","0","936","64","1000","33","967","520","166","20","42","44","51","119","5","29.10.12"
"530097","150","Полтавська область","лікарня, актовий зал
вул.Гвардійська, 71А, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","2224","1209","2197","87","938","77","1015","","0","938","77","1015","33","982","443","184","26","59","32","96","136","6","29.10.12"
"530098","150","Полтавська область","зональний будинок культури, фойє
вул.Київська, 48, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","2432","1102","2430","89","1253","77","1330","","0","1253","77","1330","36","1294","629","236","19","62","39","111","188","10","29.10.12"
