"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Степан
Степанович","Дмитренко
Григорій
Миколайович","Жуковець
Сергій
Павлович","Крат
Ірма
Миколаївна","Кривошей
Михайло
Михайлович","Кутовий
Тарас
Вікторович","Овчаренко
Людмила
Миколаївна","Полупан
Володимир
Артемович","Свиридюк
Роман
Володимирович","Туник
Іван
Семенович","Дата підписання протоколу"
"530036","151","Полтавська область","гімназія №1, фоє
вул.Гетьманська, 35, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1698","672","1660","24","1004","22","1026","","0","1004","22","1026","42","984","18","28","120","79","125","345","258","3","5","3","30.10.12"
"530037","151","Полтавська область","училище культури, танцювальний зал
пл.Соборна, 9, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1110","469","1100","42","602","39","641","","0","602","39","641","18","623","20","27","58","40","74","213","183","3","4","1","29.10.12"
"530038","151","Полтавська область","школа №2, спортивний зал
вул.Українки Лесі, 8, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1410","621","1397","22","769","20","789","","0","769","20","789","24","765","14","29","59","63","86","265","239","2","5","3","29.10.12"
"530039","151","Полтавська область","школа №3, спортивний зал
вул.Степаненка, 41, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1650","707","1614","47","907","36","943","","0","907","36","943","45","898","22","15","100","49","92","339","273","1","4","3","29.10.12"
"530040","151","Полтавська область","професійний аграрний ліцей, навчальний клас
вул.50 років Жовтня, 88, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1620","639","1610","36","950","31","981","","0","950","31","981","35","946","18","22","83","73","136","343","263","2","4","2","29.10.12"
"530041","151","Полтавська область","гуртожиток училища культури, актова зала
вул.Драгоманова, 16, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1758","781","1741","25","953","24","977","","0","953","24","977","36","941","15","20","68","67","147","362","248","6","8","0","29.10.12"
"530042","151","Полтавська область","Інститут бджільництва імені П.І.Прокоповича, фоє
вул.Тельмана, 29, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1650","747","1617","30","875","28","903","","0","875","28","903","32","871","24","20","95","64","112","306","239","3","7","1","28.10.12"
"530043","151","Полтавська область","школа №4, фоє
вул.Швидкого, 2, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1872","803","1859","135","948","121","1069","","0","948","121","1069","32","1037","24","20","81","97","212","364","234","0","4","1","29.10.12"
"530044","151","Полтавська область","гуртожиток, актова зала
вул.50 років Жовтня, 17А, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","1680","696","1671","23","963","21","984","","0","963","21","984","21","963","19","37","58","97","126","357","258","2","7","2","29.10.12"
"530045","151","Полтавська область","ВАТ ""АТП-15337"", актова зала
вул.Кіндратенка, 25, м.Гадяч, Гадяцький р-н, Полтавська обл., 37300","984","418","970","19","550","16","566","","0","550","16","566","17","549","5","21","72","45","90","166","145","3","1","1","28.10.12"
