"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вознюк
Юрій
Володимирович","Заєць
Іван
Олександрович","Лебедюк
Назарій
Віталійович","Музичко
Олександр
Іванович","Нікішин
Олександр
Олександрович","Хахльов
Олексій
Володимирович","Шавурський
Валентин
Броніславович","Юхименко
Анатолій
Олексійович","Дата підписання протоколу"
"560105","153","Рівненська область","школа, фойє
вул.Радянська, 4, смт Гоща, Гощанський р-н, Рівненська обл., 35400","2136","842","2102","19","1275","19","1294","","0","1275","19","1294","45","1249","629","87","8","6","6","100","46","367","29.10.12"
"560106","153","Рівненська область","ДЮСШ, фойє
вул.Незалежності, 9, смт Гоща, Гощанський р-н, Рівненська обл., 35400","1968","808","1921","22","1138","22","1160","","0","1138","22","1160","42","1118","625","76","12","11","4","103","38","249","29.10.12"
"560107","153","Рівненська область","клуб, актовий зал
вул.Паркова, 2А, с.Бабин, Гощанський р-н, Рівненська обл., 35431","1832","766","1811","46","1030","36","1066","","0","1030","36","1066","41","1025","514","79","9","6","4","127","33","253","29.10.12"
"560108","153","Рівненська область","клуб, актовий зал
вул.Шевченка, 19А, с.Підліски, Гощанський р-н, Рівненська обл., 35432","208","78","198","3","128","2","130","","0","128","2","130","7","123","37","3","2","1","1","53","1","25","28.10.12"
"560109","153","Рівненська область","клуб, актовий зал
вул.В.Клімчука, 60А, с.Бочаниця, Гощанський р-н, Рівненська обл., 35409","784","338","771","11","437","9","446","","0","437","9","446","16","430","153","18","2","4","5","82","7","159","29.10.12"
"560110","153","Рівненська область","агротехнічний ліцей, кабінет іноземної мови
вул.Шкільна, 15, с.Бугрин, Гощанський р-н, Рівненська обл., 35442","1456","570","1438","64","830","56","886","","0","830","56","886","12","874","436","64","5","8","0","104","18","239","29.10.12"
"560111","153","Рівненська область","школа, кабінет фізичної підготовки
вул.Шкільна, 8А, с.Угільці, Гощанський р-н, Рівненська обл., 35442","328","97","323","19","216","15","231","","0","216","15","231","5","226","134","4","1","2","2","38","1","44","29.10.12"
"560112","153","Рівненська область","школа, класна кімната
вул.Шевченківська, 10, с.Новоставці, Гощанський р-н, Рівненська обл., 35443","336","117","331","25","202","17","219","","0","202","17","219","5","214","80","28","2","0","3","41","2","58","29.10.12"
"560113","153","Рівненська область","школа, кабінет початкових класів
вул.О.Євтушенка, 33, с.Вільгір, Гощанський р-н, Рівненська обл., 35444","544","185","548","33","331","28","359","","0","331","28","359","7","352","216","25","0","0","0","59","2","50","29.10.12"
"560114","153","Рівненська область","школа, фойє
вул.Молодіжна, 27, с.Воскодави, Гощанський р-н, Рівненська обл., 35423","512","144","507","11","358","10","368","","0","358","10","368","10","358","151","18","6","3","2","78","5","95","29.10.12"
