"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бернацький
Павло
Васильович","Вознюк
Олександр
Михайлович","Корилкевич
Данило
Михайлович","Королюк
Валентин
Анатолійович","Костючко
Сергій
Степанович","Кравець
Дмитро
Володимирович","Кушнірук
Борис
Борисович","Пшеюк
Ігор
Леонідович","Семенюк
Роман
Володимирович","Тимощук
Василь
Олексійович","Дата підписання протоколу"
"560157","154","Рівненська область","нотаріальна контора, зал засідань
вул.Млинівська, 4В, с.Лішня, Демидівський р-н, Рівненська обл., 35200","732","204","724","38","492","36","528","","0","492","36","528","6","522","4","14","135","223","96","19","6","0","2","23","29.10.12"
"560158","154","Рівненська область","школа, актовий зал
вул.Івана Франка, 45А, с.Дубляни, Демидівський р-н, Рівненська обл., 35200","582","174","578","45","366","42","408","","0","366","42","408","9","399","0","6","135","192","51","1","2","1","3","8","29.10.12"
"560159","154","Рівненська область","районний будинок культури, актовий зал
вул.Хмельницького, 12, смт Демидівка, Демидівський р-н, Рівненська обл., 35200","1332","407","1322","98","832","93","925","","0","832","93","925","21","904","2","22","216","443","155","17","5","2","5","37","29.10.12"
"560160","154","Рівненська область","філія ""Райавтодор"", актовий зал
вул.17 вересня, 40, смт Демидівка, Демидівський р-н, Рівненська обл., 35200","738","195","726","26","521","22","543","","0","521","22","543","11","532","2","18","113","243","104","16","7","1","5","23","29.10.12"
"560161","154","Рівненська область","будинок культури, танцювальний зал
вул.Замкова, 11, с.Рудка, Демидівський р-н, Рівненська обл., 35221","420","133","415","50","242","45","287","","0","242","45","287","4","283","0","1","78","150","44","0","0","1","0","9","29.10.12"
"560162","154","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 117, с.Ільпибоки, Демидівський р-н, Рівненська обл., 35221","258","70","252","16","173","15","188","","0","173","15","188","1","187","0","3","68","65","39","3","2","0","5","2","29.10.12"
"560163","154","Рівненська область","будинок культури, актовий зал
вул.Грушевського, 156А, с.Вовковиї, Демидівський р-н, Рівненська обл., 35224","996","358","978","84","555","83","638","","0","555","83","638","17","621","1","13","171","263","127","7","9","3","9","18","29.10.12"
"560164","154","Рівненська область","будинок культури, глядацька зала
вул.Перемоги, 12Б, с.Рогізне, Демидівський р-н, Рівненська обл., 35222","564","143","555","48","376","45","421","","0","376","45","421","11","410","1","4","117","185","64","6","11","0","9","13","29.10.12"
"560165","154","Рівненська область","сільський клуб, танцювальний зал
вул.Центральна, 41, с.Глибока Долина, Демидівський р-н, Рівненська обл., 35223","288","83","286","49","159","46","205","","0","159","46","205","4","201","2","4","58","110","17","2","1","0","3","4","28.10.12"
"560166","154","Рівненська область","будинок культури, тацювальний зал
вул.19 Березня, 10А, с.Вербень, Демидівський р-н, Рівненська обл., 35225","786","191","774","56","539","56","595","","0","539","56","595","9","586","1","6","77","233","244","8","2","0","5","10","28.10.12"
"560167","154","Рівненська область","приміщення ФАП, оглядовий кабінет
вул.Польова, 3, с.Товпижин, Демидівський р-н, Рівненська обл., 35220","252","71","248","30","151","30","181","","0","151","30","181","7","174","0","2","49","57","60","2","0","1","0","3","29.10.12"
"560168","154","Рівненська область","будинок культури, фойє
вул.Шкільна, 6, с.Хрінники, Демидівський р-н, Рівненська обл., 35220","612","142","591","51","425","45","470","","0","425","45","470","13","457","0","5","117","210","74","13","3","2","4","29","29.10.12"
"560169","154","Рівненська область","сільський клуб, глядацька зала
вул.Центральна, 61, с.Вичавки, Демидівський р-н, Рівненська обл., 35220","126","42","120","12","74","10","84","","0","74","10","84","7","77","0","2","48","17","4","0","2","0","1","3","29.10.12"
"560170","154","Рівненська область","сільський клуб, глядацька зала
вул.Бригадна, 6, с.Лисин, Демидівський р-н, Рівненська обл., 35220","132","30","134","15","87","15","102","","0","87","15","102","3","99","0","3","27","34","23","3","2","0","2","5","29.10.12"
"560171","154","Рівненська область","приміщення ФАП, дитяча кімната
вул.Зелена, 31, с.Лопавше, Демидівський р-н, Рівненська обл., 35220","348","111","347","37","201","36","237","","0","201","36","237","6","231","2","10","52","112","38","1","4","0","0","12","29.10.12"
"560172","154","Рівненська область","школа-колегіум, фойє
вул.Набережна, 27А, с.Боремель, Демидівський р-н, Рівненська обл., 35210","804","265","787","70","476","63","539","","0","476","63","539","10","529","3","12","143","188","125","11","20","1","5","21","29.10.12"
"560173","154","Рівненська область","приміщення гуртожитку школи, зал
вул.Набережна, 24Б, с.Набережне, Демидівський р-н, Рівненська обл., 35210","288","69","282","30","192","27","219","","0","192","27","219","3","216","0","1","121","38","41","3","1","1","1","9","29.10.12"
"560174","154","Рівненська область","школа, ідальня
вул.Шкільна, 9, с.Золочівка, Демидівський р-н, Рівненська обл., 35211","306","92","301","55","166","48","214","","0","166","48","214","9","205","3","1","51","77","47","1","4","0","0","21","29.10.12"
"560175","154","Рівненська область","приміщення ФАП, приймальна
вул.Івана Франка, 1, с.Берестечко, Демидівський р-н, Рівненська обл., 35212","342","93","325","20","229","20","249","","0","229","20","249","6","243","0","9","117","57","44","1","2","1","0","12","29.10.12"
"560176","154","Рівненська область","сільський клуб, актовий зал
вул.Набережна, 7, с.Малеве, Демидівський р-н, Рівненська обл., 35212","738","207","732","76","462","69","531","","0","462","69","531","16","515","1","6","221","147","115","3","1","0","3","18","29.10.12"
"560177","154","Рівненська область","школа, кл.1
вул.Черемельська, 2, с.Пашева, Демидівський р-н, Рівненська обл., 35212","216","45","216","24","148","23","171","","0","148","23","171","5","166","0","4","74","35","38","4","2","1","1","7","29.10.12"
"560178","154","Рівненська область","сільський клуб, глядацька зала
вул.17 Березня, 42, с.Княгинине, Демидівський р-н, Рівненська обл., 35213","600","225","596","54","326","49","375","","0","326","49","375","10","365","1","12","88","164","72","5","2","0","13","8","29.10.12"
"560179","154","Рівненська область","приміщення ФАП, оглядовий кабінет
вул.Першотравнева, 21, с.Перекалі, Демидівський р-н, Рівненська обл., 35213","300","67","303","36","199","34","233","","0","199","34","233","9","224","1","6","67","112","23","0","2","1","4","8","29.10.12"
"560180","154","Рівненська область","будинок культури, актова зала
вул.Радянська, 97А, с.Берег, Дубенський р-н, Рівненська обл., 35683","684","192","685","54","438","54","492","","0","438","54","492","12","480","3","23","149","196","56","5","0","1","13","34","29.10.12"
"560181","154","Рівненська область","клуб, актова зала
вул.Молодіжна, 34А, с.Миньківці, Дубенський р-н, Рівненська обл., 35683","666","195","661","63","410","61","471","","0","410","61","471","16","455","0","14","187","161","64","7","1","1","7","13","29.10.12"
"560182","154","Рівненська область","гімназіія, спортивна зала
вул.Шкільна, 2, с.Варковичі, Дубенський р-н, Рівненська обл., 35612","1698","651","1672","78","972","75","1047","","0","972","75","1047","35","1012","2","56","335","376","132","35","7","4","7","58","29.10.12"
"560183","154","Рівненська область","будинок культури, актова зала
вул.Сковороди, 2, с.Верба, Дубенський р-н, Рівненська обл., 35670","1314","522","1301","62","743","49","792","","0","743","49","792","32","760","2","26","274","257","127","16","10","1","2","45","29.10.12"
"560184","154","Рівненська область","сільська рада, актова зала
вул.Львівська, 88, с.Верба, Дубенський р-н, Рівненська обл., 35670","828","308","815","29","492","28","520","","0","492","28","520","12","508","2","16","131","173","119","17","9","7","5","29","29.10.12"
"560185","154","Рівненська область","клуб, актова зала
вул.Центральна, 33, с.Софіїівка Перша, Дубенський р-н, Рівненська обл., 35670","552","187","542","51","314","51","365","","0","314","51","365","10","355","0","7","145","90","76","1","1","5","4","26","28.10.12"
"560186","154","Рівненська область","клуб, глядацька зала
вул.Ковалівська, 8, с.Збитин, Дубенський р-н, Рівненська обл., 35652","144","27","141","16","101","16","117","","0","101","16","117","2","115","1","2","40","43","22","0","3","0","0","4","29.10.12"
"560187","154","Рівненська область","будинок культури, фойє 2
вул.Ватутіна, 9А, с.Здовбиця, Дубенський р-н, Рівненська обл., 35652","648","178","644","50","424","46","470","","0","424","46","470","8","462","0","14","193","162","61","5","0","0","2","25","29.10.12"
"560188","154","Рівненська область","школа, фойє
вул.Шкільна, 10, с.Клинці, Дубенський р-н, Рівненська обл., 35652","150","37","145","10","106","7","113","","0","106","7","113","2","111","0","9","53","29","15","0","0","0","1","4","28.10.12"
"560189","154","Рівненська область","клуб, фойє
вул.Клубна, 1, с.Бортниця, Дубенський р-н, Рівненська обл., 35621","288","88","284","6","194","6","200","","0","194","6","200","6","194","0","10","73","81","18","0","0","0","2","10","29.10.12"
"560190","154","Рівненська область","будинок культури, актова зала
вул.Шкільна, 13, с.Іваннє, Дубенський р-н, Рівненська обл., 35620","930","284","915","37","609","37","646","","0","609","37","646","20","626","4","17","266","225","62","5","1","0","7","39","28.10.12"
"560191","154","Рівненська область","клуб, актова зала
вул.В.Галія, 9, с.Кривуха, Дубенський р-н, Рівненська обл., 35600","252","73","253","21","158","21","179","","0","158","21","179","3","176","0","4","53","76","28","1","0","0","1","13","29.10.12"
"560192","154","Рівненська область","клуб, глядацька зала
вул.Миру, 23, с.Білоберіжжя, Дубенський р-н, Рівненська обл., 35630","192","69","192","16","110","13","123","","0","110","13","123","3","120","0","31","20","45","21","0","0","0","1","2","29.10.12"
"560193","154","Рівненська область","клуб, глядацька зала
вул.Зелена, 1А, с.Заруддя, Дубенський р-н, Рівненська обл., 35628","312","69","306","44","201","42","243","","0","201","42","243","6","237","0","15","94","83","23","4","0","1","0","17","28.10.12"
"560194","154","Рівненська область","будинок культури, глядацька зала
вул.Незалежності, 4, с.Княгинин, Дубенський р-н, Рівненська обл., 35630","810","351","801","53","409","50","459","","0","409","50","459","9","450","2","27","163","167","50","5","2","4","1","29","29.10.12"
"560195","154","Рівненська область","клуб, глядацька зала
вул.Садова, 1А, с.Листвин, Дубенський р-н, Рівненська обл., 35636","462","132","451","15","316","14","330","","0","316","14","330","12","318","0","42","122","81","39","7","1","1","7","18","29.10.12"
"560196","154","Рівненська область","клуб, глядацька зала
вул.Л.Українки, 40А, с.Нараїв, Дубенський р-н, Рівненська обл., 35630","204","47","198","11","147","10","157","","0","147","10","157","9","148","0","6","43","66","20","2","1","0","1","9","29.10.12"
"560197","154","Рівненська область","клуб, глядацька зала
вул.П.Сагайдачного, 48, с.Острів, Дубенський р-н, Рівненська обл., 35630","366","120","354","29","218","28","246","","0","218","28","246","7","239","0","25","98","64","21","0","1","0","0","30","29.10.12"
"560198","154","Рівненська область","клуб, актова зала
вул.Ковпака, 23, с.Майдан, Дубенський р-н, Рівненська обл., 35661","288","46","281","20","222","20","242","","0","222","20","242","5","237","1","11","96","99","18","2","0","0","0","10","29.10.12"
"560199","154","Рівненська область","клуб, актова зала
вул.24 Серпня, 4А, с.Великі Сади, Дубенський р-н, Рівненська обл., 35640","144","30","143","13","101","13","114","","0","101","13","114","3","111","0","7","42","34","15","0","0","1","0","12","29.10.12"
"560200","154","Рівненська область","школа, актова зала
вул.Центральна, 12, с.Малі Сади, Дубенський р-н, Рівненська обл., 35640","372","155","371","18","199","18","217","","0","199","18","217","13","204","3","19","71","70","26","2","0","0","1","12","28.10.12"
"560201","154","Рівненська область","клуб, актова зала
вул.Рикуна, 2А, с.Придорожне, Дубенський р-н, Рівненська обл., 35640","192","41","194","9","142","9","151","","0","142","9","151","5","146","3","4","62","39","29","2","1","0","1","5","29.10.12"
"560202","154","Рівненська область","будинок культури, танцювальна зала
вул.Миру, 19, с.Мильча, Дубенський р-н, Рівненська обл., 35642","456","140","452","32","285","31","316","","0","285","31","316","6","310","0","4","141","101","32","4","3","0","11","14","28.10.12"
