"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобрик
Олександр
Онуфрійович","Бурма
Віталій
Адамович","Кошин
Сергій
Мефодійович","Кушнір
Микола
Захарович","Сорока
Микола
Петрович","Яніцький
Василь
Петрович","Дата підписання протоколу"
"560049","155","Рівненська область","будинку культури, малий зал
вул.Соборна, 32, смт Володимирець, Володимирецький р-н, Рівненська обл., 34300","2224","1060","2207","10","1154","10","1164","","0","1154","10","1164","22","1142","379","73","272","59","196","163","29.10.12"
"560050","155","Рівненська область","школа №1, актова зала
вул.Шкільна, 6, смт Володимирець, Володимирецький р-н, Рівненська обл., 34300","2432","1264","2294","22","1151","17","1168","","0","1151","17","1168","27","1141","393","60","253","59","207","169","28.10.12"
"560051","155","Рівненська область","Володимирецький колегіум, спортивний зал
вул.Миру, 4, смт Володимирець, Володимирецький р-н, Рівненська обл., 34300","2216","968","2200","9","1239","9","1248","","0","1239","9","1248","32","1216","372","81","274","77","240","172","29.10.12"
"560052","155","Рівненська область","будинок культури, кабінет директора
вул.Б.Хмельницького, 2А, смт Рафалівка, Володимирецький р-н, Рівненська обл., 34371","2456","1053","2433","42","1367","36","1403","","0","1367","36","1403","44","1359","176","119","467","139","260","198","29.10.12"
"560053","155","Рівненська область","школа, спортзал
вул.Шкільна, 2, с.Антонівка, Володимирецький р-н, Рівненська обл., 34380","992","389","978","71","543","60","603","","0","543","60","603","9","594","83","40","170","56","125","120","28.10.12"
"560054","155","Рівненська область","будинок культури, актова зала
вул.Радгоспна, 10, с.Чаква, Володимирецький р-н, Рівненська обл., 34386","368","122","361","31","215","31","246","","0","215","31","246","6","240","29","11","54","32","96","18","28.10.12"
"560055","155","Рівненська область","СВК Нива, актова зала
вул.Ювілейна, 8, с.Балаховичі, Володимирецький р-н, Рівненська обл., 34373","736","313","727","39","386","37","423","","0","386","37","423","10","413","48","29","91","23","120","102","29.10.12"
"560056","155","Рівненська область","будинок культури, актовий зал
вул.Центральна, 68, с.Берестівка, Володимирецький р-н, Рівненська обл., 34361","584","267","583","6","311","6","317","","0","311","6","317","16","301","55","17","73","10","91","55","28.10.12"
"560057","155","Рівненська область","початкова школа, кімната сільського клубу
вул.В.Затірки, 23, с.Острівці, Володимирецький р-н, Рівненська обл., 34361","296","128","292","10","158","10","168","","0","158","10","168","8","160","17","7","28","17","64","27","28.10.12"
"560058","155","Рівненська область","будинок культури, актовий зал
вул.Радянська, 24А, с.Біле, Володимирецький р-н, Рівненська обл., 34310","496","170","490","18","310","16","326","","0","310","16","326","6","320","173","15","33","7","74","18","29.10.12"
