"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гречко
Володимир
Васильович","Данильчук
Олександр
Юрійович","Добриднік
Микола
Мусійович","Корнійко
Роман
Іванович","Кособуцький
Олексій
Миколайович","Кучерук
Микола
Герасимович","Максимов
Олександр
Іванович","Овчинніков
Сергій
Михайлович","Старовецький
Володимир
Миколайович","Сухан
Віктор
Григорович","Федас
Віктор
Васильович","Циганенко
Андрій
Володимирович","Шершун
Микола
Харитонович","Дата підписання протоколу"
"560001","156","Рівненська область","будинок культури, малий зал
вул.Київська, 10, м.Березне, Березнівський р-н, Рівненська обл., 34600","1428","590","1407","24","815","23","838","","0","815","23","838","20","818","8","413","6","9","2","200","2","4","10","23","59","3","79","29.10.12"
"560002","156","Рівненська область","Лісовий коледж, актовий зал
вул.В.Чорновола, 23, м.Березне, Березнівський р-н, Рівненська обл., 34600","1916","829","1913","10","1078","9","1087","","0","1078","9","1087","27","1060","3","462","12","8","4","286","0","3","15","21","54","5","187","29.10.12"
"560003","156","Рівненська область","Вище професійне училище, фойє
вул.Ціолковського, 2, м.Березне, Березнівський р-н, Рівненська обл., 34600","2520","1158","2472","12","1351","11","1362","","0","1351","11","1362","29","1333","7","677","4","24","2","344","4","1","31","15","74","15","135","29.10.12"
"560004","156","Рівненська область","школа №2, актовий зал
вул.Будівельників, 4, м.Березне, Березнівський р-н, Рівненська обл., 34600","2232","1029","2220","12","1193","10","1203","","0","1193","10","1203","26","1177","7","567","8","17","7","352","0","7","11","20","74","8","99","29.10.12"
"560005","156","Рівненська область","кінотеатр, фойє
вул.Андріївська, 19, м.Березне, Березнівський р-н, Рівненська обл., 34600","2388","1209","2367","32","1158","21","1179","","0","1158","21","1179","31","1148","5","545","8","17","5","292","2","3","5","42","99","9","116","29.10.12"
"560006","156","Рівненська область","будинок культури, зал
вул.С.Тулуба, 15, с.Балашівка, Березнівський р-н, Рівненська обл., 34640","1256","589","1242","14","653","14","667","","0","653","14","667","35","632","7","83","6","12","5","93","1","4","4","17","18","8","374","29.10.12"
"560007","156","Рівненська область","сільський клуб, зал
вул.Незалежності, 20, с.Михалин, Березнівський р-н, Рівненська обл., 34666","512","172","508","5","336","4","340","","0","336","4","340","18","322","2","56","7","6","0","8","0","0","0","9","8","3","223","29.10.12"
"560008","156","Рівненська область","сільський клуб, зал
вул.Незалежності, 63, с.Лінчин, Березнівський р-н, Рівненська обл., 34664","448","131","449","5","313","4","317","","0","313","4","317","10","307","0","65","6","3","1","18","0","3","2","5","2","1","201","29.10.12"
"560009","156","Рівненська область","сільський клуб, зал
вул.Незалежності, 15, с.Сівки, Березнівський р-н, Рівненська обл., 34640","100","13","98","0","87","0","87","","0","87","0","87","1","86","1","11","4","1","0","8","0","0","7","0","0","0","54","29.10.12"
"560010","156","Рівненська область","сільський клуб, зал
вул.Перемоги, 12, с.Білка, Березнівський р-н, Рівненська обл., 34633","884","264","874","19","603","17","620","","0","603","17","620","12","608","9","477","3","1","2","31","0","1","5","2","13","0","64","29.10.12"
