"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ананченко
Олег
Миколайович","Єпіфанов
Анатолій
Олександрович","Коробка
Олександр
Степанович","Маркевич
Валентина
Володимирівна","Матвєєнко
Євген
Георгійович","Медуниця
Олег
Вячеславович","Мовчан
Олексій
Леонідович","Мордовець
Леонід
Михайлович","Мотречко
Віра
Володимирівна","Перчаков
Олександр
Григорович","Тєлєтов
Олександр
Сергійович","Федина
Олексій
Миколайович","Шестак
Олег
В’ячеславович","Юрченко
Володимир
Сергійович","Дата підписання протоколу"
"000001","157","Сумська область","
проїзд Гайовий, 19, м. Суми, 40002","656","232","578","3","421","3","424","","0","421","3","424","6","418","11","151","19","29","16","43","43","11","19","11","8","16","27","14","29.10.12"
"590884","157","Сумська область","палац дітей та юнацтва, вестибюль
вул.Соборна, 37, м.Суми, 40000","1596","673","1595","38","888","35","923","","0","888","35","923","33","890","11","328","3","32","4","340","41","20","21","7","63","8","5","7","28.10.12"
"590885","157","Сумська область","Українська академія банківської справи, хол
вул.Петро-Павлівська, 57, м.Суми, 40000","2440","952","2408","45","1449","39","1488","","0","1449","39","1488","35","1453","15","555","16","41","4","564","82","10","30","3","98","9","12","14","29.10.12"
"590886","157","Сумська область","школа №4, коридор
вул.Петро-Павлівська, 79, м.Суми, 40000","1600","623","1588","19","960","17","977","","0","960","17","977","22","955","13","373","13","34","3","370","48","11","17","5","47","6","11","4","28.10.12"
"590887","157","Сумська область","будівельний коледж, ауд.101
вул.Петро-Павлівська, 108, м.Суми, 40021","2200","877","2200","33","1300","23","1323","","0","1300","23","1323","39","1283","16","408","13","45","11","550","78","17","35","11","66","15","8","10","29.10.12"
"590888","157","Сумська область","школа №2, вестибюль
вул.Кірова, 76, м.Суми, 40021","2440","943","2405","40","1459","38","1497","","0","1459","38","1497","38","1459","14","534","15","31","5","579","73","15","45","11","108","14","10","5","29.10.12"
"590889","157","Сумська область","школа №2, вестибюль
вул.Кірова, 76, м.Суми, 40021","2404","1079","2377","50","1282","43","1325","","0","1282","43","1325","57","1268","8","404","13","41","8","514","83","13","41","10","102","9","13","9","29.10.12"
"590890","157","Сумська область","школа №3, коридор
вул.20 років Перемоги, 9, м.Суми, 40021","1816","760","1808","26","1034","22","1056","","0","1034","22","1056","48","1008","9","326","7","46","8","399","61","9","31","8","67","18","12","7","28.10.12"
"590891","157","Сумська область","школа №1, коридор
вул.Кірова, 136, м.Суми, 40021","1544","634","1543","10","901","9","910","","0","900","9","909","25","884","18","364","16","27","8","214","84","15","31","1","70","16","10","10","29.10.12"
"590892","157","Сумська область","школа №1, коридор
вул.Кірова, 136, м.Суми, 40021","1928","730","1926","23","1179","19","1198","","0","1179","19","1198","47","1151","7","398","17","37","7","456","49","14","50","10","67","14","17","8","28.10.12"
"590893","157","Сумська область","Сумський національний аграрний університет, хол головного корпусу
вул.Кірова, 160, м.Суми, 40021","1928","885","1915","0","1043","0","1043","","0","1043","0","1043","55","988","22","309","129","54","18","227","83","5","29","6","17","22","50","17","29.10.12"
"590894","157","Сумська область","Сумський національний аграрний університет, хол факультету механізації
вул.Кірова, 160, м.Суми, 40021","2316","940","2304","17","1360","16","1376","","0","1360","16","1376","53","1323","12","485","34","42","8","533","61","12","40","6","57","15","10","8","28.10.12"
"590895","157","Сумська область","Сумський національний аграрний університет, хол економічного факультету
вул.Кірова, 160, м.Суми, 40021","2184","967","2162","45","1178","39","1217","","0","1178","39","1217","37","1180","12","362","10","34","8","550","52","12","33","7","61","9","17","13","29.10.12"
"590926","157","Сумська область","філія №14 Центральної міської бібліотечної системи ім.Т.Г.Шевченка, читальна зала
просп.Михайла Лушпи, 54, м.Суми, 40034","632","251","639","9","372","9","381","","0","372","9","381","15","366","4","111","7","19","1","151","13","7","14","2","25","7","4","1","29.10.12"
"590927","157","Сумська область","школа №23, фойє
просп.Михайла Лушпи, 36, м.Суми, 40034","2436","1101","2413","9","1326","9","1335","","0","1326","9","1335","40","1295","8","474","14","59","5","488","66","17","62","7","59","9","12","15","28.10.12"
"590928","157","Сумська область","школа №23, фойє
просп.Михайла Лушпи, 36, м.Суми, 40034","2440","958","2425","9","1473","9","1482","","0","1473","9","1482","62","1420","11","459","13","55","12","583","88","20","71","5","70","12","16","5","29.10.12"
"590929","157","Сумська область","школа №23, спортивна зала
просп.Михайла Лушпи, 36, м.Суми, 40034","2308","919","2289","8","1381","8","1389","","0","1381","8","1389","47","1342","7","451","14","51","5","573","69","11","49","6","61","17","18","10","29.10.12"
"590930","157","Сумська область","школа №29, фойє
вул.Заливна, 25, м.Суми, 40035","2380","1042","2335","3","1336","2","1338","","0","1336","2","1338","76","1262","15","392","10","77","7","564","72","8","51","5","30","18","8","5","29.10.12"
"590931","157","Сумська область","школа №29, фойє
вул.Заливна, 25, м.Суми, 40035","2444","1061","2427","5","1381","2","1383","","0","1381","2","1383","61","1322","9","463","10","49","5","536","74","17","52","7","55","22","14","9","29.10.12"
"590932","157","Сумська область","школа №29, фойє
вул.Заливна, 25, м.Суми, 40035","2168","854","2143","11","1306","8","1314","","0","1306","8","1314","50","1264","8","405","12","64","6","541","72","14","46","8","48","15","15","10","29.10.12"
"590933","157","Сумська область","Сумський міський центр науково-технічної творчості молоді, актова зала
вул.Інтернаціоналістів, 18, м.Суми, 40034","2460","1042","2430","19","1399","19","1418","","0","1399","19","1418","86","1332","11","424","16","36","7","527","94","11","76","7","87","14","11","11","29.10.12"
"590934","157","Сумська область","школа №17, коридор
просп.Михайла Лушпи, 18, м.Суми, 40034","2460","999","2420","23","1443","18","1461","","0","1443","18","1461","40","1421","6","521","13","63","7","507","92","12","72","16","70","18","17","7","28.10.12"
"590935","157","Сумська область","школа №17, коридор
просп.Михайла Лушпи, 18, м.Суми, 40034","2064","920","2042","15","1135","9","1144","","0","1135","9","1144","55","1089","9","369","9","38","6","442","55","13","79","5","39","12","10","3","29.10.12"
"590936","157","Сумська область","школа №17, коридор
просп.Михайла Лушпи, 18, м.Суми, 40034","1876","798","1867","6","1072","6","1078","","0","1072","6","1078","58","1020","5","325","4","48","4","429","72","8","44","7","42","12","16","4","28.10.12"
"590937","157","Сумська область","спортивно-оздоровчий центр, спортивна зала
вул.Дем’яна Коротченка, 19, м.Суми, 40034","2328","937","2301","16","1377","14","1391","","0","1377","14","1391","58","1333","14","468","18","63","14","521","70","17","61","5","44","15","15","8","29.10.12"
"590938","157","Сумська область","громадська організація ""Спорт для всіх"", спортивна зала
вул.Дем’яна Коротченка, 19, м.Суми, 40034","2120","840","2100","10","1272","8","1280","","0","1272","8","1280","47","1233","13","417","11","39","11","515","70","14","48","7","51","7","22","8","29.10.12"
"590939","157","Сумська область","школа №30, корпус 2, їдальня
вул.Дем’яна Коротченка, 2А, м.Суми, 40035","2060","863","2037","11","1189","8","1197","","0","1189","8","1197","44","1153","11","435","10","47","3","477","47","12","43","8","37","12","7","4","29.10.12"
"590940","157","Сумська область","Зарічна районна в м.Суми адміністрація, зала засідань
вул.Харківська, 35, м.Суми, 40024","2384","1127","2362","11","1249","9","1257","","0","1249","9","1258","51","1207","8","439","7","43","7","510","56","10","47","12","25","18","19","6","29.10.12"
"590941","157","Сумська область","сектор медичного забезпечення Головного управління УМВС , зала відпочинку
вул.Кірова, 23, м.Суми, 40030","60","33","31","0","27","0","27","","0","27","0","27","0","27","0","11","0","0","0","4","2","0","2","0","5","0","2","1","28.10.12"
"590942","157","Сумська область","Комунальна установа ""Сумська міська клінічна лікарня №1, хол""
вул.20 років Перемоги, 13, м.Суми, 40021","388","315","73","15","58","15","73","","0","58","15","73","5","68","3","28","2","3","0","16","8","0","2","0","2","3","0","1","28.10.12"
"590943","157","Сумська область","Сумська обласна інфекційна клінічна лікарня імені З.Й. Красовицького, конференційна зала
вул.20 років Перемоги, 15, м.Суми, 40021","104","63","41","0","41","0","41","","0","41","0","41","2","39","2","14","3","2","0","9","5","0","0","0","4","0","0","0","28.10.12"
"590947","157","Сумська область","облспоживспілка, актова зала
вул.Троїцька, 1, м.Суми, 40022","1344","524","1345","16","806","14","820","","0","806","14","820","22","798","5","285","2","33","5","306","50","14","17","3","62","5","10","1","29.10.12"
"590948","157","Сумська область","Олександрівська гімназія, фойє
вул.Троїцька, 5, м.Суми, 40022","1280","531","1263","18","733","16","749","","0","733","16","749","19","730","8","243","9","35","5","312","33","7","16","6","46","3","5","2","29.10.12"
"590949","157","Сумська область","кооперативний технікум, фойє
вул.Троїцька, 37, м.Суми, 40022","1708","623","1702","9","1077","8","1085","","0","1077","8","1085","39","1046","14","318","3","48","9","476","58","5","42","6","42","9","11","5","29.10.12"
"590950","157","Сумська область","школа №19, спортивна зала
вул.Червонозоряна, 3, м.Суми, 40022","1588","726","1565","17","847","15","862","","0","847","15","862","56","806","7","245","7","43","8","340","54","6","39","7","31","4","8","7","29.10.12"
"590951","157","Сумська область","міська лікарня ветмедицини, фойє
вул.Орджонікідзе, 89, м.Суми, 40022","1868","862","1841","9","999","7","1006","","0","999","7","1006","53","953","8","244","25","57","7","420","50","9","70","1","34","12","7","9","29.10.12"
"590952","157","Сумська область","школа №5, спортивна зала
вул.Доватора, 32, м.Суми, 40010","2008","1068","1992","13","928","12","940","","0","928","12","940","37","903","7","218","4","51","9","436","30","9","108","4","13","4","7","3","28.10.12"
"590953","157","Сумська область","школа №5, актова зала
вул.Доватора, 32, м.Суми, 40010","1920","944","1900","11","968","8","976","","0","965","8","973","33","940","4","212","6","41","9","418","39","8","166","6","18","3","9","1","29.10.12"
"590954","157","Сумська область","машинобудівний коледж, фойє
просп.Тараса Шевченка, 17, м.Суми, 40011","2200","879","2232","22","1302","19","1321","","0","1302","19","1321","51","1270","13","358","13","66","5","508","81","26","42","8","100","16","20","14","29.10.12"
"590955","157","Сумська область","школа №30, спортивна зала
вул.Рибалка, 7, м.Суми, 40011","1860","706","1840","20","1138","16","1154","","0","1138","16","1154","37","1116","11","364","8","40","5","505","73","14","30","8","38","6","11","3","29.10.12"
"590956","157","Сумська область","філія Олександрівської гімназії, спортивна зала
вул.Рибалка, 5, м.Суми, 40011","2372","1019","2354","21","1334","19","1353","","0","1334","19","1353","51","1302","7","395","9","76","8","561","62","12","53","7","79","15","13","5","29.10.12"
"590957","157","Сумська область","школа №10, спортивна зала
вул.Новомістенська, 30, м.Суми, 40011","2416","887","2382","42","1492","37","1529","","0","1492","37","1529","60","1469","14","425","9","48","7","654","97","24","42","6","113","14","10","6","29.10.12"
"590958","157","Сумська область","школа №10, фойє
вул.Новомістенська, 30, м.Суми, 40011","2360","855","2329","35","1472","33","1505","","0","1472","33","1505","69","1436","12","408","11","50","7","676","81","12","50","9","83","13","19","5","29.10.12"
"590959","157","Сумська область","школа №18, фойє
вул.Леваневського, 8, м.Суми, 40011","2396","945","2363","31","1430","21","1451","","0","1430","21","1451","48","1403","14","400","8","56","8","639","68","30","39","10","97","12","15","7","29.10.12"
"590960","157","Сумська область","клуб ЮТ ПАТ ""СМНВО ім.Фрунзе"", фойє
вул.Холодногірська, 35, м.Суми, 40004","2440","984","2444","12","1444","12","1456","","0","1444","12","1456","60","1396","8","393","12","53","8","681","73","11","54","4","42","28","21","8","29.10.12"
