"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Євген
Володимирович","Волков
Олександр
Михайлович","Дружченко
Андрій
Вікторович","Кіріченко
Сергій
Єфремович","Костенко
Олександр
Михайлович","Макаренко
Павло
Дмитрович","Парфило
Валерій
Андрійович","Приходько
Катерина
Степанівна","Сергієнко
Сергій
Анатолійович","Сугоняко
Олександр
Леонідович","Токар
Володимир
Миколайович","Дата підписання протоколу"
"590001","158","Сумська область","ліцей залізничного транспорту, фойє
вул.Клубна, 6, м.Білопілля, Білопільський р-н, Сумська обл., 41802","1440","784","1428","34","632","24","656","","0","632","24","656","19","637","4","215","90","13","236","3","2","3","14","38","19","29.10.12"
"590002","158","Сумська область","школа №4, спортзал
вул.Свердлова, 23, м.Білопілля, Білопільський р-н, Сумська обл., 41802","1470","756","1466","36","680","34","714","","0","680","34","714","22","692","3","231","102","25","221","5","2","4","4","54","41","29.10.12"
"590003","158","Сумська область","школа №2, фойє
вул.Леніна, 84, м.Білопілля, Білопільський р-н, Сумська обл., 41800","2418","1129","2378","48","1245","44","1289","","0","1245","44","1289","27","1262","12","405","232","37","374","9","2","7","5","102","77","29.10.12"
"590004","158","Сумська область","школа №1, актова зала
вул.Макаренка, 15, м.Білопілля, Білопільський р-н, Сумська обл., 41800","2508","1278","2481","37","1201","29","1230","","0","1201","29","1230","29","1201","10","475","174","31","308","14","6","15","8","83","77","29.10.12"
"590005","158","Сумська область","будинок дітей та юнацтва, фойє
вул.Олександра Олеся, 10, м.Білопілля, Білопільський р-н, Сумська обл., 41800","2442","1143","2419","54","1248","51","1299","","0","1248","51","1299","38","1261","11","427","192","34","386","13","4","20","8","84","82","29.10.12"
"590006","158","Сумська область","школа №3, спортзал
вул.Гагаріна, 12, м.Білопілля, Білопільський р-н, Сумська обл., 41800","2448","1423","2407","57","986","39","1025","","0","986","39","1025","29","996","7","374","163","32","252","10","8","19","4","59","68","29.10.12"
"590007","158","Сумська область","філія Будинку науки та техніки залізничників, фойє
вул.Жовтнева, 1, м.Ворожба, Білопільський р-н, Сумська обл., 41811","1284","699","1264","47","553","32","585","","0","553","32","585","18","567","3","145","309","9","57","1","1","4","1","26","11","29.10.12"
"590008","158","Сумська область","школа №3, фойє
вул.Комсомольська, 22, м.Ворожба, Білопільський р-н, Сумська обл., 41812","942","488","927","39","426","28","454","","0","426","28","454","11","443","1","85","257","5","55","3","0","2","2","16","17","29.10.12"
"590009","158","Сумська область","філія музичної школи, зала для засідань
пл.Комсомольська, 3, м.Ворожба, Білопільський р-н, Сумська обл., 41812","1152","594","1144","87","485","73","558","","0","485","73","558","15","543","1","165","280","13","44","2","3","5","4","15","11","28.10.12"
"590010","158","Сумська область","дільниця Бахмацької ДЗЛ, актова зала
вул.Новікова, 9, м.Ворожба, Білопільський р-н, Сумська обл., 41811","756","362","751","15","379","15","394","","0","379","15","394","6","388","2","81","192","5","65","2","1","3","3","20","14","28.10.12"
"590011","158","Сумська область","школа №4, фойє
пров.Островського, 1, м.Ворожба, Білопільський р-н, Сумська обл., 41812","480","221","470","60","203","56","259","","0","203","56","259","10","249","2","68","78","12","67","0","1","10","0","8","3","28.10.12"
"590012","158","Сумська область","селищний клуб, глядацька зала
вул.Молодіжна, 1, с-ще Шевченківка, Білопільський р-н, Сумська обл., 41854","234","112","226","15","109","13","122","","0","109","13","122","2","120","2","45","6","1","46","1","2","11","1","4","1","29.10.12"
"590013","158","Сумська область","школа, вестибюль
вул.Комсомольська, 6, смт Жовтневе, Білопільський р-н, Сумська обл., 41854","1140","626","1117","25","494","20","514","","0","494","20","514","18","496","6","225","24","4","120","5","1","18","8","46","39","29.10.12"
"590014","158","Сумська область","будинок культури, фойє
вул.Фрунзе, 4, смт Жовтневе, Білопільський р-н, Сумська обл., 41854","1446","732","1420","28","690","24","714","","0","690","24","714","12","702","9","301","30","9","168","9","2","19","13","85","57","29.10.12"
"590015","158","Сумська область","селищний клуб, фойє
вул.Заводська, 18, смт Жовтневе, Білопільський р-н, Сумська обл., 41854","996","555","992","37","405","36","441","","0","405","36","441","6","435","10","245","18","1","88","5","2","10","4","24","28","29.10.12"
"590016","158","Сумська область","об’єкт дозвілевої роботи, глядацька зала
вул.Молодіжна, 75Б, с.Сушилине, Білопільський р-н, Сумська обл., 41854","270","121","259","10","139","10","149","","0","139","10","149","8","141","2","67","6","1","50","2","0","5","2","2","4","29.10.12"
"590017","158","Сумська область","селищний клуб, глядацька зала
вул.Молодіжна, 6, с-ще Калинівка, Білопільський р-н, Сумська обл., 41854","246","62","241","9","175","9","184","","0","175","9","184","7","177","2","84","15","7","41","1","2","6","3","3","13","28.10.12"
"590018","158","Сумська область","об’єкт дозвілевої роботи, глядацька зала
вул.Центральна, 9, с.Веселе, Білопільський р-н, Сумська обл., 41854","228","93","225","20","115","20","135","","0","115","20","135","7","128","1","53","9","2","52","1","0","3","1","1","5","28.10.12"
"590019","158","Сумська область","будинок культури, мала зала
вул.Центральна, 3, смт Улянівка, Білопільський р-н, Сумська обл., 41856","1020","436","980","110","481","103","584","","0","481","103","584","11","573","3","295","17","41","123","10","1","13","3","25","42","29.10.12"
"590020","158","Сумська область","школа, фойє
пл.В.Колесніка, 20, смт Улянівка, Білопільський р-н, Сумська обл., 41856","996","373","992","70","557","66","623","","0","557","66","623","6","617","6","302","26","40","151","6","1","21","4","29","31","29.10.12"
"590021","158","Сумська область","школа, кабінет української мови
вул.Леніна, 30, с.Бобрик, Білопільський р-н, Сумська обл., 41858","390","127","381","44","221","42","263","","0","221","42","263","6","257","1","149","10","4","74","0","0","2","4","10","3","29.10.12"
"590022","158","Сумська область","школа, фойє
вул.Миру, 48, с.Верхосулка, Білопільський р-н, Сумська обл., 41872","432","119","425","63","251","62","313","","0","251","62","313","12","301","1","127","23","7","103","4","1","0","7","16","12","29.10.12"
"590023","158","Сумська область","фельдшерський пункт, к.1
вул.Червоних партизан, 20, с.Валіївка, Білопільський р-н, Сумська обл., 41872","120","23","114","24","73","24","97","","0","73","24","97","3","94","1","33","3","0","37","0","0","0","0","4","16","28.10.12"
"590024","158","Сумська область","фельдшерський пункт, к.1
вул.Лісова, 7, с.Курасове, Білопільський р-н, Сумська обл., 41872","96","36","95","7","55","5","60","","0","55","5","60","0","60","1","14","2","1","35","1","0","0","0","6","0","28.10.12"
"590025","158","Сумська область","школа, зала символіки
вул.Леніна, 23, с.Вири, Білопільський р-н, Сумська обл., 41850","1206","623","1187","117","476","107","583","","0","476","107","583","14","569","2","263","44","13","159","5","1","15","2","46","19","29.10.12"
"590026","158","Сумська область","школа, фойє
вул.8 Березня, 9, с.Білани, Білопільський р-н, Сумська обл., 41851","594","269","588","17","309","16","325","","0","309","16","325","17","308","3","152","13","8","81","5","3","3","4","22","14","28.10.12"
"590027","158","Сумська область","школа, кабінет історії
вул.Молодіжна, 12А, с.Воронівка, Білопільський р-н, Сумська обл., 41840","690","305","678","90","305","80","385","","0","305","80","385","3","382","4","183","21","9","115","5","1","5","1","12","26","29.10.12"
"590028","158","Сумська область","ТОВ ""Агріфас"", к.1
вул.Виселок, 4, с.Москаленки, Білопільський р-н, Сумська обл., 41841","360","127","356","73","167","66","233","","0","167","66","233","2","231","2","97","13","1","79","3","1","3","0","8","24","29.10.12"
"590029","158","Сумська область","будинок культури, фойє
вул.Глазуна, 40В, с.Ганнівка-Вирівська, Білопільський р-н, Сумська обл., 41846","486","133","485","52","302","51","353","","0","302","51","353","9","344","4","179","32","13","87","4","1","1","1","11","11","29.10.12"
"590030","158","Сумська область","бувша школа, к.1
вул.Жовтнева, 36В, с.Котенки, Білопільський р-н, Сумська обл., 41846","144","38","136","30","77","29","106","","0","77","29","106","7","99","3","46","4","1","35","0","0","2","0","4","4","29.10.12"
"590031","158","Сумська область","будинок культури, мала зала
вул.Гагаріна, 2А, с.Горобівка, Білопільський р-н, Сумська обл., 41833","318","106","310","50","167","45","212","","0","167","45","212","5","207","2","64","34","6","84","1","0","2","1","8","5","28.10.12"
"590032","158","Сумська область","будинок культури, глядацька зала
вул.40 років Перемоги, 45, с.Гуринівка, Білопільський р-н, Сумська обл., 41830","312","131","301","53","133","48","181","","0","133","48","181","0","181","2","44","21","4","98","0","0","2","0","6","4","28.10.12"
"590033","158","Сумська область","фельдшерський пункт, к.1
вул.Радянська, 12, с.Мороча, Білопільський р-н, Сумська обл., 41830","126","41","122","31","56","29","85","","0","56","29","85","0","85","1","39","9","2","32","0","0","1","0","1","0","29.10.12"
"590034","158","Сумська область","школа, фойє
вул.Молодіжна, 17, с.Іскрисківщина, Білопільський р-н, Сумська обл., 41821","498","229","485","44","227","42","269","","0","227","42","269","6","263","3","80","23","7","113","4","3","3","3","2","22","29.10.12"
"590035","158","Сумська область","школа, кабінет історії
вул.Центральна, 2, с.Кальченки, Білопільський р-н, Сумська обл., 41835","246","93","234","14","143","10","153","","0","143","10","153","4","149","1","76","11","3","39","1","1","0","1","10","6","28.10.12"
"590036","158","Сумська область","фельдшерський пункт, к.1
вул.Шевченка, 35, с.Червоне, Білопільський р-н, Сумська обл., 41835","222","93","212","38","94","35","129","","0","94","35","129","3","126","1","49","8","0","53","0","0","2","0","3","10","29.10.12"
"590037","158","Сумська область","школа, кабінет історії
вул.Шкільна, 1, с.Коршачина, Білопільський р-н, Сумська обл., 41852","492","216","478","81","206","70","276","","0","206","70","276","3","273","5","154","12","10","49","2","1","6","3","10","21","29.10.12"
"590038","158","Сумська область","будинок культури, актова зала
вул.Паркова, 18, с.Куянівка, Білопільський р-н, Сумська обл., 41842","768","262","750","64","447","59","506","","0","447","59","506","5","501","10","168","50","13","124","3","1","14","4","18","96","29.10.12"
"590039","158","Сумська область","об’єкт дозвілевої роботи, актова зала
вул.Клубна, 42, с.Новопетрівка, Білопільський р-н, Сумська обл., 41843","168","60","161","21","92","16","108","","0","92","16","108","0","108","1","56","6","1","22","0","0","1","0","9","12","29.10.12"
"590040","158","Сумська область","школа, кабінет історії
вул.Вигін, 1, с.Луциківка, Білопільський р-н, Сумська обл., 41874","396","123","385","52","227","46","273","","0","227","46","273","7","266","0","86","8","0","155","1","0","2","1","4","9","29.10.12"
"590041","158","Сумська область","школа, фойє
вул.Шкільна, 1, с.Марківка, Білопільський р-н, Сумська обл., 41875","648","212","637","122","326","110","436","","0","326","110","436","8","428","4","123","6","7","255","8","2","5","1","12","5","29.10.12"
"590042","158","Сумська область","сільська рада, зала для засідань
вул.Молодіжна, 7, с.Нові Вирки, Білопільський р-н, Сумська обл., 41817","372","144","364","55","180","48","228","","0","180","48","228","5","223","0","40","18","2","154","0","0","0","0","6","3","29.10.12"
"590043","158","Сумська область","школа, фойє, 1-й поверх
вул.Шевченка, 1А, с.Ободи, Білопільський р-н, Сумська обл., 41825","402","164","397","37","205","33","238","","0","205","33","238","4","234","0","111","18","15","78","2","0","1","1","3","5","29.10.12"
"590044","158","Сумська область","будинок культури, фойє
вул.8 Березня, 67, с.Павлівка, Білопільський р-н, Сумська обл., 41822","486","229","472","69","197","60","257","","0","197","60","257","6","251","6","85","47","20","60","1","0","8","1","10","13","28.10.12"
"590045","158","Сумська область","школа, фойє
вул.Хілкова, 23, с.Павлівка, Білопільський р-н, Сумська обл., 41822","510","234","501","113","175","101","276","","0","175","101","276","10","266","1","87","50","22","72","4","0","4","1","15","10","29.10.12"
"590046","158","Сумська область","будинок культури, танцювальна зала
вул.Центральна, 1, с.Річки, Білопільський р-н, Сумська обл., 41832","732","273","718","117","351","108","459","","0","351","108","459","19","440","4","181","57","6","65","5","4","18","4","29","67","29.10.12"
"590047","158","Сумська область","школа, фойє
вул.Шкільна, 6, с.Річки, Білопільський р-н, Сумська обл., 41832","630","251","619","101","283","96","379","","0","283","96","379","13","366","4","129","45","10","86","6","3","7","3","18","55","29.10.12"
"590048","158","Сумська область","будинок культури, актова зала
вул.Ювілейна, 14, с.Рижівка, Білопільський р-н, Сумська обл., 41820","684","338","678","82","275","71","346","","0","275","71","346","17","329","6","75","49","15","119","2","0","4","2","14","43","29.10.12"
